cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
18 1 2176 0 0 0 0 0 1.0041 0 0.9425 -0.1786 0.2793 0.2975 1 1.5513 0.9507 -0.1409 0.4468 0.5657 0.98 2.7117 0.9852 0.0068 0.2204 0.2782 1 2.1971 0.0588 0.0588 0.1175 1.1175 1 0.3777 0.129 0.129 0.0968 1.0968 1 1.5696 -0.0244 0.0244 -0.0244 0.9756 1 1.022 0 0
18 2 2251 0 0 0 0 0 1.0044 0 0.9673 0.4335 0.4403 0.488 1 1.4837 0.9428 0.3115 0.5509 0.699 0.925 2.5042 0.9917 0.3048 0.3719 0.4522 1 1.9809 0.0386 0.0386 0.0773 1.0773 1 0.3547 -0.2004 0.2004 -0.1503 0.8497 1 1.2472 -0.2173 0.2173 -0.2173 0.7827 1 0.7893 0 0
18 3 2387 0 0 0 0 0 1.0027 0 0.9346 -1.6627 1.6627 1.7216 0 1.7036 0.917 -1.5374 1.5622 1.7173 0.36 2.8115 0.9518 -1.599 1.599 1.6592 0.01 2.0742 0.0044 0.0044 0.0087 1.0087 1 0.4205 -0.2254 0.2254 -0.169 0.831 1 1.3296 -0.1964 0.1964 -0.1964 0.8036 1 0.9237 0 0
18 4 2046 0 0 0 0 0 1.0019 0 0.9813 -0.4122 0.4862 0.5654 0.9167 1.6107 0.9468 -0.3657 0.6581 0.8149 0.86 2.4701 0.9902 -0.2399 0.26 0.3129 1 2.1559 0.1332 0.1332 0.2665 1.2665 1 0.3435 -0.3105 0.3105 -0.2329 0.7671 1 1.3174 -0.412 0.412 -0.412 0.588 0 0.6614 0 0
18 5 1415 0 0 0 0 0 1.002 0 0.9407 -0.8987 0.8987 0.9586 0.4167 1.5655 0.931 -0.8578 0.971 1.104 0.68 2.5534 0.9794 -0.7645 0.7645 0.8166 0.475 1.6812 -0.1704 0.1704 -0.3409 0.6591 1 0.5038 -0.5616 0.5616 -0.4212 0.5788 0 0.8774 -0.3269 0.3269 -0.3269 0.6731 1 0.7581 0 0
18 6 2412 0 0 0 0 0 1.0032 0 0.9709 0.5596 0.5596 0.593 0.8333 1.5451 0.9464 0.4874 0.6264 0.7735 0.925 2.6622 0.9544 0.3627 0.3823 0.5574 0.995 2.2459 0.0777 0.0777 0.1553 1.1553 1 0.372 0.0051 0.0051 0.0038 1.0038 1 1.5936 -0.1401 0.1401 -0.1401 0.8599 1 0.9331 0 0
18 7 1720 0 0 0 0 0 1.0047 0 0.9742 0.3004 0.3266 0.3562 1 1.5167 0.9324 0.3081 0.584 0.7464 0.92 2.7925 0.9796 0.4024 0.4235 0.4958 1 2.2448 0.051 0.051 0.102 1.102 1 0.3678 0.3114 0.3114 0.2335 1.2335 1 1.7799 0.1113 0.1113 0.1113 1.1113 1 1.0734 0 0
18 8 2312 0 0 0 0 0 1.0037 0 0.9373 0.6593 0.6593 0.7375 0.5833 1.5842 0.9448 0.5542 0.6972 0.838 0.885 2.6181 0.9876 0.7448 0.7448 0.7815 0.955 2.1466 0.088 0.088 0.1761 1.1761 1 0.3723 -0.2006 0.2006 -0.1505 0.8495 1 1.3464 -0.2829 0.2829 -0.2829 0.7171 1 0.8018 0 0
18 9 1741 0 0 0 0 0 1.0066 0 0.9639 0.3207 0.3537 0.4875 0.9167 1.5481 0.9426 0.2769 0.5577 0.7363 0.91 2.405 0.9507 0.2028 0.43 0.52 0.99 1.9221 0.0334 0.0334 0.0668 1.0668 1 0.453 -0.3963 0.3963 -0.2972 0.7028 1 1.1264 -0.3576 0.3576 -0.3576 0.6424 1 0.7188 0 0
18 10 2139 0 0 0 0 0 1.0024 0 0.9286 -0.2211 0.3456 0.4202 0.9167 1.5449 0.9508 -0.2501 0.5123 0.6676 0.965 2.5221 0.989 0.131 0.2516 0.3139 1 1.8519 -0.0056 0.0056 -0.0113 0.9887 1 0.3887 -0.2971 0.2971 -0.2228 0.7772 1 1.1299 -0.2357 0.2357 -0.2357 0.7643 1 0.8034 0 0
