cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
40 1 2443 0 0 0 0 0 1.0002 0 0.8696 -0.1872 0.2182 0.2345 0.7745 0.9923 0.3232 0.3934 0.5574 5.3684 0.758 -0.0232 0.5052 0.6434 4.042 -0.0368 0.0368 0.3601 0 0
40 2 2448 0 0 0 0 0 1.0005 0 0.8873 -0.0523 0.1134 0.1348 0.8355 0.9861 0.0311 0.1306 0.1986 2.2546 0.738 -0.0269 0.5328 0.6926 4.0317 -0.079 0.079 0.3251 0 0
40 3 2493 0 0 0 0 0 1.0004 0 0.6141 0.0059 0.1486 0.1828 0.8306 0.993 -0.0418 0.1262 0.1494 1.2346 0.7623 -0.035 0.5024 0.6472 4.0726 -0.0425 0.0425 0.3024 0 0
40 4 2448 0 0 0 0 0 1.0005 0 0.6498 -0.1788 0.2438 0.3021 0.6796 0.9838 -0.1611 0.269 0.3256 1.9137 0.746 -0.1118 0.5046 0.6401 4.108 0.0126 0.0126 0.2923 0 0
40 5 2451 0 0 0 0 0 1.0009 0 0.9557 -0.0146 0.1016 0.1139 0.9332 0.9871 -0.0296 0.1218 0.192 2.6686 0.7586 -0.0195 0.517 0.692 4.0628 -0.0129 0.0129 0.3043 0 0
40 6 2524 0 0 0 0 0 1.0005 0 0.7512 -0.0649 0.0704 0.0837 0.6649 0.9947 0.134 0.2057 0.2515 2.6294 0.7 0.0813 0.5656 0.7331 4.1031 -0.0129 0.0129 0.3569 0 0
40 7 2404 0 0 0 0 0 1.0005 0 0.6299 -0.0414 0.1237 0.2085 0.7733 0.9858 0.0866 0.1787 0.2648 2.7668 0.7732 0.0244 0.4916 0.6373 4.0576 -0.0163 0.0163 0.3031 0 0
40 8 2428 0 0 0 0 0 1.0003 0 0.8414 -0.0772 0.1389 0.152 0.7939 0.9792 0.0298 0.2172 0.268 2.0149 0.7304 0.0408 0.5243 0.6591 4.1611 0.0347 0.0347 0.3425 0 0
40 9 2419 0 0 0 0 0 1.0006 0 0.922 -0.0878 0.1001 0.1225 0.6817 0.9944 -0.0963 0.1499 0.1851 3.325 0.7668 -0.0944 0.5438 0.6946 4.1149 0.0272 0.0272 0.2825 0 0
40 10 2432 0 0 0 0 0 1.0003 0 0.7984 0.0121 0.1949 0.217 0.8299 0.9852 -0.1635 0.2129 0.3603 3.8938 0.7665 -0.0643 0.506 0.6648 4.0535 -0.0348 0.0348 0.279 0 0
40 11 2408 0 0 0 0 0 1.0002 0 0.8853 -0.0092 0.0774 0.0884 0.7232 0.9948 -0.1196 0.1548 0.1828 1.5655 0.7752 -0.0978 0.5382 0.6904 4.1402 0.093 0.093 0.2949 0 0
40 12 2548 0 0 0 0 0 1.0009 0 0.8693 -0.1141 0.1412 0.1721 0.7449 0.9949 -0.0494 0.1981 0.2977 3.5275 0.755 0.0245 0.5244 0.6636 4.0922 0.1045 0.1045 0.2818 0 0
40 13 2465 0 0 0 0 0 1.0003 0 0.5007 -0.0347 0.1244 0.1661 0.8043 0.9868 0.0628 0.1971 0.2788 3.5477 0.6794 -0.0255 0.5936 0.7526 4.1263 0.0045 0.0045 0.4007 0 0
40 14 2504 0 0 0 0 0 1.0009 0 0.8659 -0.0237 0.1112 0.1393 0.6922 0.9835 0.0226 0.1972 0.2272 1.7785 0.7708 0.0512 0.5236 0.6677 4.254 0.0685 0.0685 0.2865 0 0
40 15 2412 0 0 0 0 0 1.0007 0 0.716 -0.0708 0.14 0.1523 0.7448 0.9936 -0.0323 0.1054 0.1479 1.6144 0.7495 -0.0527 0.561 0.7179 4.2022 0.1231 0.1231 0.3005 0 0
40 16 2461 0 0 0 0 0 1.0004 0 0.6759 -0.0698 0.128 0.1686 0.7853 0.9917 0.0811 0.1927 0.2646 2.122 0.7602 -0.0091 0.5097 0.6437 4.1123 -0.0016 0.0016 0.3001 0 0
40 17 2376 0 0 0 0 0 1.0004 0 0.8822 -0.0508 0.0878 0.1294 0.6796 0.995 -0.0402 0.1112 0.1432 1.9163 0.7638 -0.0726 0.5423 0.6922 4.0838 0.0092 0.0092 0.2964 0 0
