cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
42 1 1833 0 0 0 0 0 1.0015 0 0.9568 -0.4922 0.4922 0.5637 0.9167 1.6096 0.9123 -0.4827 0.7152 0.8865 0.92 2.8752 0.9617 -0.5479 0.5767 0.6778 0.75 1.916 -0.0443 0.0443 -0.0887 0.9113 1 0.4552 -0.3321 0.3321 -0.2491 0.7509 1 1.2456 -0.2314 0.2314 -0.2314 0.7686 1 0.8891 0 0
42 2 1101 0 0 0 0 0 1.0025 0 0.9388 -0.2641 0.3654 0.4342 1 1.6463 0.8862 -0.06 0.6537 0.8481 0.94 3.0548 0.9743 -0.3352 0.4842 0.5953 0.87 2.1061 0.0376 0.0376 0.0752 1.0752 1 0.4755 -0.0467 0.0467 -0.035 0.965 1 1.6398 -0.1255 0.1255 -0.1255 0.8745 1 1.0436 0 0
42 3 1477 0 0 0 0 0 1.0029 0 0.9751 0.355 0.3855 0.4616 1 1.6515 0.91 0.3775 0.6779 0.8633 0.9 2.8228 0.9685 0.5515 0.6092 0.6545 0.96 2.1083 0.078 0.078 0.1559 1.1559 1 0.4291 -0.3978 0.3978 -0.2984 0.7016 1 1.228 -0.4031 0.4031 -0.4031 0.5969 1 0.7527 0 0
42 4 1283 0 0 0 0 0 1.0045 0 0.9524 -0.2608 0.3897 0.4783 0.9167 1.7803 0.8885 -0.3553 0.6827 0.9037 0.95 3.4045 0.9765 -0.3739 0.4682 0.5853 0.89 2.0463 -0.0835 0.0835 -0.167 0.833 1 0.4862 0.238 0.238 0.1785 1.1785 1 1.839 0.263 0.263 0.263 1.263 1 1.4595 0 0
42 5 1201 0 0 0 0 0 1.0061 0 0.9649 0.1144 0.2259 0.2925 1 1.6811 0.8849 0.17 0.6214 0.7954 0.945 2.8872 0.9678 0.3142 0.472 0.5381 1 2.4948 0.1617 0.1617 0.3235 1.3235 1 0.4324 -0.0591 0.0591 -0.0443 0.9557 1 1.9066 -0.3352 0.3352 -0.3352 0.6648 1 0.8404 0 0
42 6 1634 0 0 0 0 0 1.0023 0 0.9327 0.81 0.81 0.9728 0.6667 1.7543 0.8978 0.5698 0.8454 1.036 0.805 2.8698 0.9734 0.685 0.685 0.8043 0.625 1.9946 -0.0023 0.0023 -0.0047 0.9953 1 0.5235 -0.3835 0.3835 -0.2876 0.7124 1 1.3404 -0.3151 0.3151 -0.3151 0.6849 1 0.8968 0 0
42 7 1674 0 0 0 0 0 1.0058 0 0.9422 0.0328 0.1962 0.2514 1 1.5992 0.8929 -0.0045 0.5304 0.7232 0.965 2.8491 0.9757 0.0599 0.4737 0.5353 1 2.2921 0.114 0.114 0.228 1.228 1 0.4251 0.0172 0.0172 0.0129 1.0129 1 1.8157 -0.202 0.202 -0.202 0.798 1 0.9565 0 0
42 8 1708 0 0 0 0 0 1.0022 0 0.9715 0.9598 0.9598 1.0884 0.5 1.8176 0.9326 0.6238 0.8284 1.0245 0.795 2.8367 0.9404 0.5978 0.6518 0.777 0.75 1.9261 0.0106 0.0106 0.0212 1.0212 1 0.4345 -0.4627 0.4627 -0.347 0.653 1 1.153 -0.3755 0.3755 -0.3755 0.6245 1 0.8165 0 0
42 9 936 0 0 0 0 0 1.0024 0 0.9584 -1.7768 1.7768 1.843 0 1.8438 0.894 -1.4342 1.4782 1.67 0.54 3.4272 0.9917 -1.4163 1.4163 1.436 0.025 1.9325 -0.2653 0.2653 -0.5307 0.4693 1 0.7048 -0.1733 0.1733 -0.13 0.87 1 1.5132 0.0518 0.0518 0.0518 1.0518 1 1.3647 0 0
42 10 1085 0 0 0 0 0 1.0027 0 0.9604 -0.4603 0.4643 0.5699 0.8333 1.7082 0.8708 -0.3815 0.7302 0.9221 0.89 2.8606 0.965 -0.1982 0.6623 0.7713 0.815 2.171 0.127 0.127 0.254 1.254 1 0.387 -0.1257 0.1257 -0.0943 0.9057 1 1.6047 -0.3007 0.3007 -0.3007 0.6993 1 0.8637 0 0
42 11 1184 0 0 0 0 0 1.0036 0 0.9616 0.7119 0.7119 0.7846 0.6667 1.7001 0.9137 0.7286 0.8914 1.0632 0.86 3.1501 0.9532 0.5826 0.6007 0.7334 0.825 2.0918 -0.0039 0.0039 -0.0077 0.9923 1 0.4877 -0.1953 0.1953 -0.1465 0.8535 1 1.4836 -0.1752 0.1752 -0.1752 0.8248 1 1.0291 0 0
42 12 1468 0 0 0 0 0 1.0016 0 0.9358 -0.3257 0.3589 0.4404 1 1.6614 0.9216 -0.3274 0.5884 0.7389 0.97 3.1816 0.9922 -0.2515 0.2583 0.3262 1 2.1397 0.0046 0.0046 0.0093 1.0093 1 0.4812 0.03 0.03 0.0225 1.0225 1 1.6921 -0.0213 0.0213 -0.0213 0.9787 1 1.1353 0 0
42 13 1342 0 0 0 0 0 1.0026 0 0.8778 0.0387 0.4443 0.566 0.8333 1.6791 0.91 0.1089 0.6181 0.7903 0.95 2.8538 0.9506 -0.0492 0.3509 0.4523 0.92 1.861 -0.0909 0.0909 -0.1818 0.8182 1 0.5495 -0.3809 0.3809 -0.2857 0.7143 1 1.202 -0.2357 0.2357 -0.2357 0.7643 1 0.9182 0 0
42 14 1096 0 0 0 0 0 1.0038 0 0.8825 -0.9865 0.9865 1.0959 0.4167 1.7346 0.8905 -1.0776 1.1632 1.3702 0.77 3.5778 0.9313 -1.388 1.388 1.4938 0.255 2.0555 -0.2065 0.2065 -0.413 0.587 1 0.6142 0.0747 0.0747 0.056 1.056 1 1.6817 0.2455 0.2455 0.2455 1.2455 1 1.4831 0 0
42 15 1343 0 0 0 0 0 1.0035 0 0.8931 0.142 0.3397 0.428 0.9167 1.6158 0.8921 0.0301 0.7659 1.0099 0.845 2.6007 0.9932 0.1695 0.397 0.4403 1 1.7988 0.011 0.011 0.0219 1.0219 1 0.5204 -0.664 0.664 -0.498 0.502 0 0.9655 -0.5243 0.5243 -0.5243 0.4757 0 0.6874 0 0
42 16 1234 0 0 0 0 0 1.0106 0 0.9537 -0.5166 0.5782 0.6363 0.75 1.6474 0.9366 -0.5367 0.7627 0.928 0.88 3.0519 0.9913 -0.6635 0.6635 0.691 0.975 2.1885 0.041 0.041 0.082 1.082 1 0.463 -0.1029 0.1029 -0.0772 0.9228 1 1.6568 -0.1714 0.1714 -0.1714 0.8286 1 1.0147 0 0
42 17 1617 0 0 0 0 0 1.0052 0 0.9319 0.1617 0.2977 0.3239 1 1.6744 0.902 0.2821 0.6327 0.8063 0.96 3.2903 0.9735 0.0997 0.2231 0.342 1 2.1509 -0.0151 0.0151 -0.0303 0.9697 1 0.4349 0.0555 0.0555 0.0416 1.0416 1 1.6531 0.0341 0.0341 0.0341 1.0341 1 1.2368 0 0
42 18 1567 0 0 0 0 0 1.0012 0 0.8346 0.4637 0.5825 0.731 0.6667 1.6898 0.902 0.3352 0.7107 0.8884 0.895 2.9746 0.9757 0.281 0.4205 0.5529 0.905 1.8785 -0.05 0.05 -0.1001 0.8999 1 0.549 -0.338 0.338 -0.2535 0.7465 1 1.2655 -0.2345 0.2345 -0.2345 0.7655 1 1.0007 0 0
42 19 1182 0 0 0 0 0 1.0036 0 0.8616 0.507 0.5968 0.7379 0.8333 1.7406 0.8982 0.4767 0.7765 0.966 0.9 3.205 0.9956 0.577 0.5808 0.629 0.93 1.9203 -0.1067 0.1067 -0.2134 0.7866 1 0.5045 -0.2377 0.2377 -0.1783 0.8217 1 1.3975 -0.1016 0.1016 -0.1016 0.8984 1 1.1251 0 0
42 20 1178 0 0 0 0 0 1.0033 0 0.9299 0.4596 0.5557 0.7091 0.9167 1.8084 0.9099 0.3238 0.7253 0.8976 0.865 2.6749 0.9451 0.4229 0.5687 0.6857 0.86 2.33 0.1635 0.1635 0.327 1.327 1 0.4501 -0.3223 0.3223 -0.2417 0.7583 1 1.6002 -0.4778 0.4778 -0.4778 0.5222 0 0.7177 0 0
42 21 1150 0 0 0 0 0 1.0065 0 0.9739 -0.0381 0.1967 0.2375 1 1.6282 0.8932 -0.0281 0.6435 0.8548 0.895 2.6257 0.9853 0.0375 0.3827 0.4516 1 1.7272 -0.0604 0.0604 -0.1209 0.8791 1 0.592 -0.6748 0.6748 -0.5061 0.4939 0 0.8686 -0.4874 0.4874 -0.4874 0.5126 0 0.7282 0 0
42 22 1366 0 0 0 0 0 1.0016 0 0.9628 0.7223 0.7223 0.7768 0.5 1.6481 0.8931 0.4619 0.7987 0.9872 0.85 2.833 0.9682 0.3717 0.4545 0.5514 0.86 1.9669 0.0066 0.0066 0.0132 1.0132 1 0.5628 -0.4426 0.4426 -0.3319 0.6681 1 1.2811 -0.3748 0.3748 -0.3748 0.6252 1 0.8154 0 0
42 23 1169 0 0 0 0 0 1.0029 0 0.912 -0.738 0.7691 0.8698 0.5 1.6683 0.9168 -0.6848 0.822 1.0372 0.815 2.8929 0.9643 -0.7156 0.733 0.8518 0.66 2.2339 0.0931 0.0931 0.1862 1.1862 1 0.4825 -0.2128 0.2128 -0.1596 0.8404 1 1.724 -0.3229 0.3229 -0.3229 0.6771 1 0.8931 0 0
42 24 1117 0 0 0 0 0 1.0037 0 0.973 -0.634 0.634 0.7275 0.75 1.6997 0.8923 -0.4349 0.7934 0.9676 0.87 2.854 0.9081 -0.4663 0.6024 0.7578 0.775 1.7914 -0.1815 0.1815 -0.3631 0.6369 1 0.6068 -0.5521 0.5521 -0.4141 0.5859 1 1.0489 -0.324 0.324 -0.324 0.676 1 0.8778 0 0
42 25 1221 0 0 0 0 0 1.0062 0 0.9767 -0.5328 0.5363 0.5776 0.9167 1.6943 0.9298 -0.5688 0.7104 0.8852 0.945 3.1534 0.9469 -0.5677 0.6252 0.7274 0.88 2.4657 0.1023 0.1023 0.2047 1.2047 1 0.4119 0.205 0.205 0.1538 1.1538 1 2.0502 -0.0669 0.0669 -0.0669 0.9331 1 1.0831 0 0
42 26 1213 0 0 0 0 0 1.0023 0 0.9298 -0.7434 0.7434 0.8036 0.5833 1.6264 0.9155 -0.5998 0.82 0.9647 0.82 2.7698 0.9426 -0.6986 0.7455 0.8532 0.61 1.8392 -0.0136 0.0136 -0.0271 0.9729 1 0.4678 -0.5093 0.5093 -0.382 0.618 1 1.0554 -0.3903 0.3903 -0.3903 0.6097 1 0.7964 0 0
42 27 1095 0 0 0 0 0 1.0037 0 0.9585 0.0637 0.2903 0.3549 1 1.6323 0.904 -0.1289 0.6066 0.8227 0.945 2.7569 0.9693 -0.0809 0.3484 0.3931 1 1.7358 -0.1545 0.1545 -0.309 0.691 1 0.5759 -0.5946 0.5946 -0.446 0.554 0 0.956 -0.3712 0.3712 -0.3712 0.6288 1 0.8153 0 0
42 28 1485 0 0 0 0 0 1.0023 0 0.8752 0.1859 0.366 0.4756 0.9167 1.7328 0.9216 0.1919 0.66 0.8402 0.965 3.5329 0.9871 0.1117 0.2538 0.327 1 2.3111 -0.0097 0.0097 -0.0194 0.9806 1 0.4605 0.2714 0.2714 0.2036 1.2036 1 2.1075 0.1752 0.1752 0.1752 1.1752 1 1.4272 0 0
42 29 1448 0 0 0 0 0 1.0013 0 0.954 -0.0391 0.2714 0.3101 1 1.6701 0.9333 -0.0607 0.5584 0.7361 0.965 2.7629 0.9734 0.0387 0.2805 0.3385 1 1.8408 -0.0574 0.0574 -0.1149 0.8851 1 0.5628 -0.5628 0.5628 -0.4221 0.5779 1 1.0242 -0.4037 0.4037 -0.4037 0.5963 1 0.7994 0 0
42 30 1175 0 0 0 0 0 1.0039 0 0.9319 0.1442 0.3177 0.4324 0.9167 1.6867 0.9082 0.1578 0.5716 0.7426 0.975 3.1954 0.9827 0.3198 0.3616 0.4587 1 1.9948 -0.0841 0.0841 -0.1681 0.8319 1 0.4708 -0.04 0.04 -0.03 0.97 1 1.5449 0.0393 0.0393 0.0393 1.0393 1 1.1866 0 0
42 31 1440 0 0 0 0 0 1.0046 0 0.9286 0.133 0.3264 0.3849 1 1.6693 0.9125 0.2337 0.5985 0.7638 0.975 3.2756 0.9758 0.1327 0.3349 0.3757 1 1.8913 -0.1524 0.1524 -0.3049 0.6951 1 0.4864 -0.0435 0.0435 -0.0326 0.9674 1 1.4523 0.1072 0.1072 0.1072 1.1072 1 1.2226 0 0
42 32 1285 0 0 0 0 0 1.0042 0 0.9587 -0.3464 0.4234 0.5403 0.9167 1.6548 0.9036 -0.2368 0.6716 0.8614 0.885 2.6123 0.9754 -0.2239 0.3119 0.4138 0.945 2.0199 0.074 0.074 0.1481 1.1481 1 0.5287 -0.5154 0.5154 -0.3865 0.6135 1 1.1687 -0.4818 0.4818 -0.4818 0.5182 0 0.7242 0 0
42 33 994 0 0 0 0 0 1.0023 0 0.9418 0.0637 0.275 0.3439 1 1.6883 0.9094 0.251 0.6635 0.8958 0.94 3.0524 0.9906 -0.001 0.1676 0.2177 1 1.9342 -0.0563 0.0563 -0.1127 0.8873 1 0.4901 -0.2952 0.2952 -0.2214 0.7786 1 1.3906 -0.1943 0.1943 -0.1943 0.8057 1 1.0151 0 0
42 34 969 0 0 0 0 0 1.0022 0 0.9632 0.0508 0.2623 0.3503 1 1.7207 0.9116 -0.0408 0.673 0.9053 0.925 3.0117 0.9775 0.1123 0.2707 0.3774 1 1.983 -0.0588 0.0588 -0.1176 0.8824 1 0.571 -0.2936 0.2936 -0.2202 0.7798 1 1.3437 -0.1995 0.1995 -0.1995 0.8005 1 1.0059 0 0
42 35 1165 0 0 0 0 0 1.0027 0 0.982 0.3313 0.3434 0.4173 1 1.7236 0.8948 0.3063 0.6741 0.8761 0.915 2.8555 0.9765 0.3436 0.3989 0.4618 1 1.8998 -0.0369 0.0369 -0.0738 0.9262 1 0.4627 -0.4402 0.4402 -0.3301 0.6699 1 1.2013 -0.3193 0.3193 -0.3193 0.6807 1 0.8811 0 0
42 36 1542 0 0 0 0 0 1.0013 0 0.9669 -0.3319 0.3319 0.4008 0.9167 1.6226 0.8917 -0.3959 0.7123 0.9297 0.95 3.0572 0.9866 -0.2344 0.4041 0.4885 1 1.9962 -0.0209 0.0209 -0.0418 0.9582 1 0.4449 -0.1223 0.1223 -0.0917 0.9083 1 1.438 -0.0934 0.0934 -0.0934 0.9066 1 1.0671 0 0
42 37 1192 0 0 0 0 0 1.0014 0 0.9273 -0.0251 0.7221 0.9177 0.75 1.7634 0.9116 -0.1175 0.7977 1.0061 0.765 2.1487 0.9543 0.0889 0.4618 0.5534 0.83 1.604 0.0154 0.0154 0.0308 1.0308 1 0.5699 -0.9986 0.9986 -0.749 0.251 0 0.6041 -0.767 0.767 -0.767 0.233 0 0.4054 0 0
42 38 1272 0 0 0 0 0 1.0046 0 0.8675 -0.3881 0.4302 0.5974 0.6667 1.7063 0.9158 -0.4166 0.7088 0.9186 0.92 3.1877 0.9719 -0.3752 0.392 0.511 1 2.928 0.1797 0.1797 0.3594 1.3594 1 0.4122 0.309 0.309 0.2317 1.2317 1 2.8256 -0.1952 0.1952 -0.1952 0.8048 1 1.0198 0 0
