cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
48 1 7330 0 0 0 0 0 1.0086 0 0.9817 0.0089 0.2797 0.3717 0.9167 1.1454 0.9271 0.0465 0.5164 0.6934 0.942 2.4197 0.9853 -0.0427 0.2287 0.2867 0.954 1.1181 -0.1772 0.1772 -0.3544 0.6456 0 0.3225 -0.4466 0.4466 -0.3349 0.6651 0 0.5013 -0.2132 0.2132 -0.2132 0.7868 1 0.4527 0 0
48 2 11705 0 0 0 0 0 1.0061 0 0.9801 -0.0946 0.209 0.2891 0.9583 1.1672 0.9299 -0.056 0.5236 0.6843 0.96 2.5808 0.9841 0.0123 0.2766 0.3165 1 1.4093 0.0498 0.0498 0.0995 1.0995 1 0.221 0.0112 0.0112 0.0084 1.0084 1 0.7757 -0.0704 0.0704 -0.0704 0.9296 1 0.5239 0 0
48 3 10798 0 0 0 0 0 1.0046 0 0.9914 0.0177 0.1662 0.1913 1 1.1467 0.9285 0.0851 0.4926 0.6744 0.942 2.4214 0.9862 0.033 0.223 0.2655 1 1.304 0.0196 0.0196 0.0392 1.0392 1 0.2455 -0.2456 0.2456 -0.1842 0.8158 1 0.625 -0.2135 0.2135 -0.2135 0.7865 1 0.4569 0 0
48 4 12809 0 0 0 0 0 1.0042 0 0.9859 0.3583 0.3793 0.4218 0.9167 1.161 0.9349 0.3306 0.567 0.7185 0.948 2.655 0.9764 0.3802 0.4053 0.5015 0.7 1.4011 0.0145 0.0145 0.0289 1.0289 1 0.2361 0.107 0.107 0.0803 1.0803 1 0.8105 0.0493 0.0493 0.0493 1.0493 1 0.5502 0 0
48 5 12531 0 0 0 0 0 1.0044 0 0.9824 -0.3726 0.3726 0.4171 0.8333 1.1382 0.9346 -0.374 0.614 0.7818 0.906 2.7707 0.9898 -0.2591 0.2973 0.3518 1 1.4084 -0.0055 0.0055 -0.011 0.989 1 0.2338 0.1265 0.1265 0.0949 1.0949 1 0.8305 0.0934 0.0934 0.0934 1.0934 1 0.5917 0 0
48 6 10159 0 0 0 0 0 1.0079 0 0.9799 0.1542 0.2161 0.2835 0.9167 1.167 0.929 0.083 0.5208 0.6917 0.962 2.6489 0.9823 0.1214 0.2194 0.2924 0.962 1.3881 0.0259 0.0259 0.0519 1.0519 1 0.2463 -0.1086 0.1086 -0.0814 0.9186 1 0.7218 -0.1233 0.1233 -0.1233 0.8767 1 0.4986 0 0
48 7 11889 0 0 0 0 0 1.0035 0 0.9798 -0.392 0.3924 0.4432 0.8333 1.1283 0.9372 -0.3665 0.5894 0.7507 0.922 2.5618 0.9838 -0.1907 0.2356 0.3207 0.934 1.3766 0.0271 0.0271 0.0543 1.0543 1 0.2221 -0.0284 0.0284 -0.0213 0.9787 1 0.7278 -0.0664 0.0664 -0.0664 0.9336 1 0.4954 0 0
48 8 11379 0 0 0 0 0 1.0028 0 0.9746 -0.3529 0.3924 0.4852 0.7917 1.1323 0.919 -0.2932 0.5951 0.7577 0.908 2.3302 0.9927 -0.3012 0.3619 0.4128 0.832 1.2093 0.0034 0.0034 0.0068 1.0068 1 0.2546 -0.4009 0.4009 -0.3007 0.6993 0 0.5218 -0.3107 0.3107 -0.3107 0.6893 0 0.3844 0 0
48 9 9783 0 0 0 0 0 1.0056 0 0.9761 -0.1242 0.1873 0.2437 1 1.1238 0.9125 -0.1081 0.5418 0.7323 0.954 2.5248 0.9957 -0.2506 0.3356 0.3894 0.852 1.2247 -0.0823 0.0823 -0.1645 0.8355 1 0.2839 -0.333 0.333 -0.2497 0.7503 0 0.5545 -0.1809 0.1809 -0.1809 0.8191 1 0.471 0 0
48 10 10411 0 0 0 0 0 1.0049 0 0.9742 -0.2506 0.281 0.3741 0.9167 1.1519 0.9363 -0.24 0.551 0.7262 0.936 2.4733 0.9856 -0.2707 0.2996 0.3638 0.82 1.2561 -0.0285 0.0285 -0.057 0.943 1 0.2519 -0.3658 0.3658 -0.2743 0.7257 0 0.5706 -0.2541 0.2541 -0.2541 0.7459 0 0.431 0 0
