cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
53 1 258 0 0 0 0 0 1.0004 0 0.9486 0.2391 0.3903 0.4923 2.886 0.7953 0.227 0.5143 0.6658 4.0682 0.0362 0.0362 0.5846 0 0
53 2 305 0 0 0 0 0 1.0008 0 0.9417 -0.083 0.2649 0.3331 2.8084 0.7598 -0.0908 0.4747 0.6377 4.189 0.2456 0.2456 0.6006 0 0
53 3 279 0 0 0 0 0 1.0013 0 0.9014 0.0691 0.3642 0.4656 2.6569 0.7006 0.0631 0.5173 0.6808 4.0374 -0.2074 0.2074 0.5711 0 0
53 4 331 17 0 0 0 0 1.0002 0 0.8177 -0.3294 0.4834 0.9084 3.2849 0.8176 -0.0688 0.4273 0.5612 4.1155 0.2372 0.2372 0.6871 1 0
53 5 304 0 0 0 0 0 1.0004 0 0.8993 -0.2135 0.391 0.4783 1.7705 0.7709 -0.0674 0.5399 0.7015 4.2099 0.034 0.034 0.5897 0 0
53 6 220 0 0 0 0 0 1.0004 0 0.8696 -0.1302 0.3569 0.4828 2.3977 0.8076 -0.104 0.4124 0.5308 4.0186 0.0336 0.0336 0.5945 0 0
53 7 319 0 0 0 0 0 1.0003 0 0.9534 -0.1275 0.3343 0.4444 2.4868 0.6782 -0.0935 0.5472 0.7691 4.1362 0.0938 0.0938 0.6687 0 0
53 8 260 0 0 0 0 0 1.0008 0 0.9266 0.07 0.3068 0.3539 2.1314 0.7026 0.075 0.4907 0.7141 4.1697 0.0449 0.0449 0.6441 0 0
53 9 425 110 0 0 0 0 1.0008 0 0.9183 0.594 0.6075 0.7762 2.7606 0.7721 0.3935 0.5747 0.7395 4.4238 0.379 0.379 0.6811 1 0
53 10 309 0 0 0 0 0 1.0003 0 0.9251 -0.0024 0.3189 0.4136 2.2228 0.8287 0.0255 0.4606 0.5833 4.381 0.036 0.036 0.6881 0 0
53 11 278 1 0 0 0 0 1.0002 0 0.9485 -0.0395 0.3154 0.3846 2.5212 0.7523 -0.0925 0.5166 0.7286 4.2889 -0.24 0.24 0.6679 1 0
53 12 294 0 0 0 0 0 1.0013 0 0.8284 0.1247 0.375 0.4651 2.118 0.791 0.1001 0.4962 0.6796 4.1661 -0.2749 0.2749 0.5672 0 0
53 13 251 0 0 0 0 0 1.0002 0 0.9451 0.2821 0.3907 0.4737 2.8072 0.7488 0.1056 0.4927 0.6454 4.0753 0.0222 0.0222 0.6377 0 0
53 14 274 0 0 0 0 0 1.0004 0 0.928 -0.155 0.3399 0.4638 2.9125 0.8802 0.0066 0.3277 0.4139 4.0824 -8e-04 8e-04 0.6058 0 0
53 15 279 0 0 0 0 0 1.0005 0 0.9533 -0.0098 0.2294 0.4133 2.8146 0.7216 -0.0898 0.4547 0.6356 4.1832 0.0281 0.0281 0.6482 0 0
53 16 254 0 0 0 0 0 1.0005 0 0.9298 -0.1193 0.3181 0.4876 2.5674 0.7645 -0.0669 0.4769 0.6356 4.3398 0.0259 0.0259 0.6923 0 0
53 17 275 0 0 0 0 0 1.0015 0 0.9385 -0.1487 0.4033 0.5219 2.7565 0.7932 -0.1612 0.4712 0.5935 4.0251 0.2475 0.2475 0.6236 0 0
53 18 274 0 0 0 0 0 1.0002 0 0.9215 -0.0439 0.4597 0.6142 2.9503 0.762 0.0197 0.457 0.6187 4.1009 -0.2282 0.2282 0.6386 0 0
53 19 266 0 0 0 0 0 1.0003 0 0.917 -0.1833 0.3963 0.5298 2.2851 0.8345 -0.1424 0.4355 0.5818 4.1564 0.0533 0.0533 0.6214 0 0
53 20 264 0 0 0 0 0 1.0005 0 0.8764 -0.3155 0.4181 0.496 2.0579 0.7927 -0.0088 0.5056 0.6655 4.063 -0.2506 0.2506 0.5815 0 0
53 21 218 0 0 0 0 0 1.0002 0 0.9402 -0.2012 0.339 0.4272 2.2335 0.7067 -0.0305 0.5087 0.7242 4.0224 0.0705 0.0705 0.5901 0 0
53 22 239 0 0 0 0 0 1.0016 0 0.9113 -0.0403 0.3575 0.4879 2.8046 0.7461 0.0847 0.5152 0.7317 4.0787 0.0143 0.0143 0.6222 0 0
53 23 284 0 0 0 0 0 1.0005 0 0.9465 -0.0284 0.2085 0.2913 1.9856 0.8526 -0.005 0.4024 0.538 4.0325 0.0232 0.0232 0.5494 0 0
53 24 246 0 0 0 0 0 1.0019 0 0.8926 -0.1467 0.3864 0.4731 2.1905 0.7913 -0.1217 0.4887 0.6207 4.1143 -0.1305 0.1305 0.6497 0 0
53 25 255 0 0 0 0 0 1.0011 0 0.9413 -0.0721 0.3081 0.4128 2.7684 0.7659 -0.0708 0.5316 0.711 4.0288 0.1915 0.1915 0.5607 0 0
53 26 286 0 0 0 0 0 1.0007 0 0.9089 -0.0762 0.2822 0.381 2.2564 0.8338 -0.0631 0.3637 0.5465 4.4523 -0.0059 0.0059 0.6586 0 0
53 27 227 0 0 0 0 0 1.0005 0 0.9436 -0.2041 0.3977 0.5168 2.8186 0.743 -0.1681 0.5276 0.7123 4.043 0.0075 0.0075 0.6171 0 0
53 28 298 0 0 0 0 0 1.0011 0 0.935 -0.0787 0.4242 0.6141 2.8968 0.7706 -0.0139 0.4751 0.6269 4.1247 0.1108 0.1108 0.7182 0 0
53 29 304 0 0 0 0 0 1.0018 0 0.8387 0.0093 0.3541 0.5384 2.7209 0.8432 -0.0177 0.3892 0.5289 4.179 0.0188 0.0188 0.6269 0 0
53 30 333 0 0 0 0 0 1.0006 0 0.929 -0.0805 0.3209 0.4015 2.2245 0.8637 -0.1472 0.402 0.5381 3.9889 0.2848 0.2848 0.5292 0 0
53 31 288 0 0 0 0 0 1.0001 0 0.9463 -0.163 0.2753 0.3418 2.0121 0.7179 -0.0595 0.5161 0.6908 4.1505 0.0757 0.0757 0.6597 0 0
53 32 257 0 0 0 0 0 1.001 0 0.9075 0.192 0.4787 0.5704 2.8022 0.6874 0.0437 0.5318 0.7423 4.2397 -0.1157 0.1157 0.683 0 0
53 33 262 0 0 0 0 0 1.0002 0 0.9286 -0.1128 0.3751 0.5438 2.6742 0.7943 0.0895 0.4519 0.5809 4.2435 -0.0412 0.0412 0.7117 0 0
53 34 325 0 0 0 0 0 1.0009 0 0.9627 0.1644 0.265 0.3707 2.5969 0.8206 0.0942 0.4463 0.5483 4.2198 0.1139 0.1139 0.5998 0 0
53 35 265 0 0 0 0 0 1.0014 0 0.9144 0.1463 0.3978 0.5175 2.7801 0.7493 0.1177 0.5004 0.695 4.3199 -0.1029 0.1029 0.7213 0 0
53 36 268 0 0 0 0 0 1.0004 0 0.9489 -0.0715 0.3863 0.46 2.5607 0.7988 -0.1026 0.5018 0.6686 4.1535 0.1691 0.1691 0.6792 0 0
53 37 260 0 0 0 0 0 1.0005 0 0.8902 -0.0292 0.3704 0.4611 2.2612 0.8292 0.154 0.4556 0.6722 4.1958 0.1424 0.1424 0.5936 0 0
53 38 216 0 0 0 0 0 1.0007 0 0.95 -0.1389 0.281 0.3565 2.351 0.7535 -0.0206 0.4996 0.6637 4.4049 -0.0447 0.0447 0.6199 0 0
53 39 303 0 0 0 0 0 1.0011 0 0.9236 0.1864 0.3193 0.4275 2.1138 0.8104 0.0168 0.4152 0.5565 4.254 0.1021 0.1021 0.6347 0 0
53 40 310 0 0 0 0 0 1.001 0 0.9541 0.0183 0.2328 0.3067 2.3917 0.8535 0.054 0.433 0.57 4.0791 -0.1893 0.1893 0.5585 0 0
53 41 296 0 0 0 0 0 1.0003 0 0.8897 -0.313 0.3952 0.5048 1.9043 0.8544 -0.1997 0.4521 0.5968 4.0692 0.1762 0.1762 0.5781 0 0
53 42 334 0 0 0 0 0 1.0004 0 0.9268 -0.1767 0.4191 0.5817 2.893 0.8302 -0.0014 0.4546 0.6353 3.9783 0.159 0.159 0.5719 0 0
53 43 231 0 0 0 0 0 1.0002 0 0.9175 0.046 0.4384 0.5789 2.9272 0.7469 0.208 0.4953 0.6803 4.0003 0.0722 0.0722 0.5967 0 0
53 44 315 0 0 0 0 0 1.0005 0 0.8761 -0.1203 0.4708 0.6697 2.4521 0.8641 -0.1796 0.467 0.6086 4.015 0.0708 0.0708 0.525 0 0
53 45 228 0 0 0 0 0 1.0003 0 0.9467 0.0424 0.2151 0.2778 2.3492 0.7941 0.1173 0.4862 0.6799 4.109 0.0724 0.0724 0.6203 0 0
53 46 294 0 0 0 0 0 1.0005 0 0.917 -0.276 0.4282 0.5414 2.3431 0.8386 -0.1306 0.5075 0.6368 4.17 0.1831 0.1831 0.6412 0 0
53 47 295 0 0 0 0 0 1.0011 0 0.8889 -0.2124 0.3991 0.5895 2.6174 0.7821 -0.084 0.5096 0.7037 4.4452 -0.0723 0.0723 0.6665 0 0
53 48 240 0 0 0 0 0 1.0008 0 0.9314 -0.1338 0.3145 0.4278 1.9295 0.8526 -0.1042 0.4337 0.534 3.9922 -0.0252 0.0252 0.5508 0 0
53 49 199 0 0 0 0 0 1.0008 0 0.9267 -0.1634 0.4218 0.5845 2.9468 0.7209 -0.13 0.5259 0.7099 4.1425 -0.0071 0.0071 0.6578 0 0
53 50 204 0 0 0 0 0 1.0005 0 0.9594 -0.0591 0.2596 0.322 2.5649 0.8223 -0.1244 0.4403 0.5944 4.0435 0.0044 0.0044 0.6284 0 0
53 51 251 0 0 0 0 0 1.0019 0 0.9299 -0.0721 0.2962 0.3742 2.2832 0.7726 -0.0641 0.4466 0.5724 4.0961 -0.0225 0.0225 0.6385 0 0
53 52 221 0 0 0 0 0 1.0011 0 0.9286 -0.0503 0.2429 0.3189 1.8099 0.7871 0.0089 0.4825 0.6648 4.1461 -0.035 0.035 0.666 0 0
53 53 303 0 0 0 0 0 1.0014 0 0.921 -0.2388 0.5322 0.6884 2.9671 0.738 -0.2313 0.5029 0.6646 4.0371 0.1548 0.1548 0.6397 0 0
53 54 258 0 0 0 0 0 1.0021 0 0.9186 0.0056 0.3533 0.5455 3.0899 0.8054 0.0212 0.3925 0.5417 4.1118 -0.0451 0.0451 0.649 0 0
53 55 249 0 0 0 0 0 1.0002 0 0.9051 0.0717 0.5319 0.8111 3.133 0.7394 -0.1289 0.4547 0.6476 4.0366 -0.0647 0.0647 0.6158 0 0
53 56 261 2 0 0 0 0 1.0004 0 0.9505 -0.1329 0.2874 0.3897 2.8959 0.7313 -0.1862 0.4673 0.641 4.1601 0.0041 0.0041 0.6848 1 0
53 57 275 0 0 0 0 0 1.0005 0 0.9042 -0.0672 0.3463 0.4205 2.2213 0.7892 -0.0411 0.4421 0.6056 4.3926 0.1552 0.1552 0.6404 0 0
53 58 304 0 0 0 0 0 1.0016 0 0.9494 0.3469 0.412 0.474 2.3043 0.6501 0.1993 0.5141 0.7199 4.2057 0.161 0.161 0.6723 0 0
53 59 222 0 0 0 0 0 1.0004 0 0.9141 -0.1468 0.3307 0.3899 2.3031 0.752 -0.05 0.4488 0.6216 4.1269 0.03 0.03 0.6423 0 0
53 60 258 0 0 0 0 0 1.0006 0 0.9694 -0.0488 0.3147 0.387 2.5976 0.803 -0.0784 0.4355 0.5672 4.0673 0.0851 0.0851 0.609 0 0
53 61 321 2 0 0 0 0 1.0005 0 0.9226 -0.2501 0.3994 0.5561 2.8349 0.7494 -0.1182 0.5498 0.7621 4.2801 0.1189 0.1189 0.7272 1 0
53 62 251 0 0 0 0 0 1.0015 0 0.9349 0.013 0.3397 0.4042 2.8294 0.7162 -0.0107 0.4382 0.6266 4.2497 -0.2859 0.2859 0.6181 0 0
53 63 229 0 0 0 0 0 1.0007 0 0.9479 -0.0725 0.2838 0.3449 2.5905 0.7661 0.0763 0.4839 0.659 4.0675 0.0166 0.0166 0.6004 0 0
53 64 290 51 0 0 0 0 1.0005 0 0.9278 0.3383 0.4638 0.5981 2.9834 0.7754 0.1526 0.5211 0.6536 4.5913 0.2643 0.2643 0.7991 1 0
53 65 361 0 0 0 0 0 1.0003 0 0.9243 0.0152 0.3252 0.4307 2.2601 0.851 0.0777 0.4425 0.5529 4.2992 0.1011 0.1011 0.5949 0 0
53 66 274 1 0 0 0 0 1.0009 0 0.9058 -0.0308 0.3437 0.4281 2.2353 0.7068 0.0299 0.5287 0.7281 4.1182 -0.1196 0.1196 0.6315 1 0
53 67 301 0 0 0 0 0 1.0016 0 0.8885 0.0812 0.4224 0.5234 2.7868 0.8193 -0.0055 0.4584 0.5981 4.2491 -0.2895 0.2895 0.666 0 0
53 68 244 0 0 0 0 0 1.0008 0 0.9251 0.0516 0.2935 0.3899 2.1314 0.7956 -0.0662 0.4308 0.5641 4.0511 -0.0672 0.0672 0.5743 0 0
53 69 274 0 0 0 0 0 1.0007 0 0.932 -0.3283 0.4719 0.5648 2.4436 0.7987 -0.2054 0.5011 0.6438 4.1596 0.137 0.137 0.6115 0 0
53 70 249 0 0 0 0 0 1.0003 0 0.8981 0.0412 0.3866 0.4689 2.3159 0.7488 -0.0452 0.4437 0.6151 4.0618 -0.0449 0.0449 0.5874 0 0
53 71 243 0 0 0 0 0 1.0003 0 0.9248 0.2159 0.5156 0.6485 2.5752 0.8035 0.0126 0.4683 0.615 4.2599 0.0439 0.0439 0.6873 0 0
53 72 235 0 0 0 0 0 1.0017 0 0.9496 0.0405 0.2756 0.3807 2.3483 0.7851 -0.0105 0.4466 0.5602 4.185 0.0562 0.0562 0.5812 0 0
53 73 297 0 0 0 0 0 1.0006 0 0.9441 -0.217 0.2867 0.3569 2.0513 0.8261 -0.0958 0.4367 0.5708 4.3243 0.0328 0.0328 0.6516 0 0
53 74 215 0 0 0 0 0 1.0013 0 0.8901 -0.3819 0.4661 0.5704 2.4362 0.7368 -0.218 0.516 0.6747 4.3859 0.0534 0.0534 0.6503 0 0
53 75 272 0 0 0 0 0 1.0002 0 0.9306 -0.0838 0.3027 0.375 1.8103 0.8453 -0.1211 0.4608 0.6347 4.2432 -0.109 0.109 0.5822 0 0
53 76 300 0 0 0 0 0 1.0003 0 0.9263 0.0282 0.2678 0.3203 1.8073 0.7967 -0.0574 0.4315 0.5985 4.0119 0.1212 0.1212 0.549 0 0
53 77 288 0 0 0 0 0 1.0008 0 0.9391 0.0125 0.2657 0.3341 2.4122 0.8426 -0.0875 0.3831 0.5315 3.9791 -0.0496 0.0496 0.5155 0 0
53 78 280 0 0 0 0 0 1.0001 0 0.9715 -0.2695 0.2927 0.3946 2.6147 0.776 -0.1243 0.4806 0.6296 4.2913 0.0235 0.0235 0.6324 0 0
53 79 280 0 0 0 0 0 1.0001 0 0.934 -0.3461 0.3871 0.615 2.9055 0.7525 -0.0109 0.5595 0.7083 4.183 -0.0939 0.0939 0.6387 0 0
53 80 293 4 0 0 0 0 1.0019 0 0.9276 -0.3088 0.4161 0.5314 2.9279 0.7003 -0.1632 0.5743 0.7448 4.1476 0.2163 0.2163 0.7087 1 0
53 81 300 0 0 0 0 0 1.0015 0 0.8853 0.0138 0.3422 0.4122 2.3413 0.6723 0.0471 0.5256 0.7937 4.7581 -0.1321 0.1321 0.81 0 0
53 82 319 0 0 0 0 0 1.0002 0 0.935 0.0498 0.2999 0.4329 2.6888 0.8364 -0.0601 0.4165 0.5395 4.0853 -0.3103 0.3103 0.606 0 0
53 83 251 0 0 0 0 0 1.001 0 0.9533 -0.2151 0.3446 0.4313 2.7424 0.7884 -0.1554 0.4549 0.6127 4.0434 -0.1408 0.1408 0.5653 0 0
53 84 292 0 0 0 0 0 1.0002 0 0.9201 -0.0809 0.3494 0.4249 2.5489 0.6756 -0.0012 0.5178 0.7379 4.2136 0.3774 0.3774 0.592 0 0
53 85 260 0 0 0 0 0 1.0008 0 0.9257 -0.1467 0.3432 0.4487 2.7257 0.6968 -0.1004 0.569 0.7802 4.1825 -0.0092 0.0092 0.6585 0 0
53 86 322 2 0 0 0 0 1.0012 0 0.9314 -0.1991 0.4881 0.6375 2.834 0.8103 -0.0741 0.4343 0.5671 4.065 0.1973 0.1973 0.6425 1 0
53 87 304 1 0 0 0 0 1.0005 0 0.8988 0.0785 0.313 0.4017 2.3489 0.7562 0.0225 0.4497 0.6163 4.2086 -0.3085 0.3085 0.6088 1 0
53 88 319 0 0 0 0 0 1.0005 0 0.9238 0.0811 0.3192 0.4164 2.5075 0.7354 0.0102 0.4257 0.6321 4.0639 -0.0746 0.0746 0.6116 0 0
53 89 311 0 0 0 0 0 1.0001 0 0.8948 0.103 0.3666 0.4563 2.4457 0.8617 0.0892 0.4162 0.5622 4.2732 -0.0376 0.0376 0.6004 0 0
53 90 286 1 0 0 0 0 1.0005 0 0.8937 -0.3317 0.4644 0.6099 2.6772 0.8188 -0.1483 0.459 0.6047 4.105 0.1805 0.1805 0.6312 1 0
53 91 292 0 0 0 0 0 1.0004 0 0.9148 -0.0934 0.3566 0.4537 2.2151 0.8167 -0.0706 0.4358 0.5738 4.0936 0.1767 0.1767 0.6125 0 0
