cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
6 1 2448 0 0 0 0 0 1.0026 0 0.9653 -0.3783 0.418 0.4822 0.7917 1.2641 0.9293 -0.3419 0.4556 0.5602 0.915 1.8522 0.9829 -0.3559 0.3559 0.4026 0.905 1.1551 0.0161 0.0161 NA NA 1 0.363 -0.0324 0.0324 -0.0324 0.9676 1 0.648 -0.0411 0.0411 -0.0411 0.9589 1 0.6398 0 0
6 2 2590 0 0 0 0 0 1.0037 0 0.9737 -0.3169 0.3683 0.4647 0.9167 1.3203 0.9265 -0.335 0.4734 0.5694 0.89 1.8459 0.9946 -0.3839 0.3839 0.4021 0.83 1.09 -0.0478 0.0478 NA NA 1 0.3718 -0.1847 0.1847 -0.1847 0.8153 1 0.5471 -0.1943 0.1943 -0.1943 0.8057 1 0.542 0 0
6 3 2719 0 0 0 0 0 1.002 0 0.9634 -0.0611 0.2485 0.3165 0.9167 1.3111 0.9416 -0.0393 0.349 0.4299 0.97 1.8769 0.9745 -0.029 0.1546 0.1877 1 1.1843 0.1047 0.1047 NA NA 1 0.3549 0.0304 0.0304 0.0304 1.0304 1 0.6692 0.0099 0.0099 0.0099 1.0099 1 0.6513 0 0
6 4 2742 0 0 0 0 0 1.0047 0 0.9695 -0.282 0.312 0.4686 0.875 1.3676 0.9231 -0.2395 0.4288 0.5401 0.915 1.8992 0.9916 -0.2456 0.246 0.2622 1 1.1656 0.0075 0.0075 NA NA 1 0.373 -0.0938 0.0938 -0.0938 0.9062 1 0.6073 -0.1022 0.1022 -0.1022 0.8978 1 0.5999 0 0
6 5 3681 0 0 0 0 0 1.0034 0 0.9286 -0.0977 0.3316 0.4669 0.875 1.3308 0.9328 -0.0794 0.3614 0.4497 0.975 1.775 0.9398 -0.0457 0.2034 0.2792 0.955 1.118 0.0792 0.0792 NA NA 1 0.3742 -0.2731 0.2731 -0.2731 0.7269 0 0.4867 -0.2844 0.2844 -0.2844 0.7156 0 0.4771 0 0
6 6 2737 0 0 0 0 0 1.0014 0 0.9563 0.7497 0.7539 0.8681 0.375 1.4416 0.9255 0.6118 0.6636 0.7692 0.72 1.8982 0.9699 0.4861 0.4861 0.5411 0.525 1.1364 0.037 0.037 NA NA 1 0.3553 -0.0691 0.0691 -0.0691 0.9309 1 0.6518 -0.0781 0.0781 -0.0781 0.9219 1 0.6367 0 0
6 7 2035 0 0 0 0 0 1.0059 0 0.9617 0.3115 0.426 0.5816 0.875 1.4386 0.9053 0.2583 0.4735 0.5758 0.915 1.8934 0.9869 0.1581 0.2262 0.2941 0.875 1.103 -0.0471 0.0471 NA NA 1 0.3763 -0.1748 0.1748 -0.1748 0.8252 1 0.562 -0.1842 0.1842 -0.1842 0.8158 1 0.5514 0 0
6 8 2367 0 0 0 0 0 1.0083 0 0.9642 -0.1523 0.2595 0.3731 0.9583 1.2501 0.9214 -0.1014 0.4058 0.4967 0.925 1.8166 0.9738 -0.1674 0.2115 0.2652 1 1.1376 0.0647 0.0647 NA NA 1 0.3481 -0.0724 0.0724 -0.0724 0.9276 1 0.6113 -0.0842 0.0842 -0.0842 0.9158 1 0.5967 0 0
6 9 3185 0 0 0 0 0 1.0067 0 0.9645 -0.3217 0.3293 0.4767 0.9583 1.3162 0.9225 -0.3159 0.4574 0.5646 0.885 1.8448 0.9595 -0.3223 0.3392 0.3875 0.765 1.0767 -0.0108 0.0108 NA NA 1 0.3579 -0.2162 0.2162 -0.2162 0.7838 1 0.5317 -0.2228 0.2228 -0.2228 0.7772 1 0.5277 0 0
6 10 2559 0 0 0 0 0 1.0092 0 0.9777 0.2484 0.3231 0.3934 0.9167 1.319 0.9218 0.2057 0.3889 0.5039 0.935 1.8747 0.9766 0.1822 0.2657 0.3122 1 1.1633 0.0854 0.0854 NA NA 1 0.3508 -0.0179 0.0179 -0.0179 0.9821 1 0.6342 -0.034 0.034 -0.034 0.966 1 0.613 0 0
6 11 3055 0 0 0 0 0 1.0077 0 0.9691 -0.2376 0.2859 0.3251 1 1.2605 0.9392 -0.2654 0.4152 0.5273 0.945 1.9735 0.9743 -0.3733 0.3858 0.462 0.835 1.1926 -0.0119 0.0119 NA NA 1 0.3553 0.0704 0.0704 0.0704 1.0704 1 0.7044 0.0613 0.0613 0.0613 1.0613 1 0.698 0 0
6 12 2204 0 0 0 0 0 1.0057 0 0.9687 -0.1671 0.2742 0.352 0.9583 1.319 0.9309 -0.1369 0.3885 0.4696 0.96 1.9008 0.993 -0.2109 0.2684 0.3357 0.87 1.1093 -0.0481 0.0481 NA NA 1 0.3402 0.1346 0.1346 0.1346 1.1346 1 0.7304 0.1229 0.1229 0.1229 1.1229 1 0.7208 0 0
6 13 2416 0 0 0 0 0 1.0029 0 0.9774 0.4344 0.4743 0.5985 0.875 1.384 0.9178 0.3398 0.4877 0.6232 0.895 1.9415 0.9837 0.2206 0.2429 0.2743 1 1.2111 0.1114 0.1114 NA NA 1 0.3724 0.0758 0.0758 0.0758 1.0758 1 0.7208 0.0523 0.0523 0.0523 1.0523 1 0.6961 0 0
6 14 2459 0 0 0 0 0 1.0018 0 0.9737 0.8403 0.8403 0.911 0.375 1.4247 0.9221 0.7216 0.791 0.8915 0.62 1.8949 0.9833 0.7083 0.7083 0.7334 0.37 1.1949 0.2113 0.2113 NA NA 0 0.383 -0.2457 0.2457 -0.2457 0.7543 1 0.5437 -0.2884 0.2884 -0.2884 0.7116 0 0.4954 0 0
6 15 2784 0 0 0 0 0 1.0068 0 0.9492 0.4526 0.4743 0.5655 0.7083 1.3016 0.9323 0.4623 0.5236 0.6328 0.845 1.8961 0.964 0.4174 0.4396 0.4595 0.87 1.1271 -0.0656 0.0656 NA NA 1 0.3503 -0.0564 0.0564 -0.0564 0.9436 1 0.637 -0.0681 0.0681 -0.0681 0.9319 1 0.6334 0 0
6 16 1832 0 0 0 0 0 1.0239 0 0.9558 -0.5192 0.6196 0.7078 0.625 1.3734 0.9151 -0.4444 0.569 0.6916 0.785 1.7512 0.9967 -0.5358 0.5358 0.5905 0.455 1.0147 -0.1148 0.1148 NA NA 1 0.3944 -0.4533 0.4533 -0.4533 0.5467 0 0.3908 -0.4662 0.4662 -0.4662 0.5338 0 0.383 0 0
6 17 2772 0 0 0 0 0 1.0018 0 0.9618 0.5027 0.5027 0.573 0.7083 1.3071 0.9367 0.5518 0.5965 0.7006 0.835 1.9458 0.9832 0.6049 0.6049 0.6201 0.59 1.1623 0.0187 0.0187 NA NA 1 0.3421 0.0792 0.0792 0.0792 1.0792 1 0.7085 0.0703 0.0703 0.0703 1.0703 1 0.6976 0 0
6 18 3231 0 0 0 0 0 1.0067 0 0.9709 -0.7397 0.7397 0.7916 0.4167 1.3189 0.9052 -0.7007 0.7478 0.8562 0.645 1.8644 0.9699 -0.7186 0.7186 0.7891 0.36 1.0992 -0.0134 0.0134 NA NA 1 0.3739 -0.1019 0.1019 -0.1019 0.8981 1 0.5993 -0.1107 0.1107 -0.1107 0.8893 1 0.5886 0 0
6 19 2611 0 0 0 0 0 1.0084 0 0.9557 0.4291 0.4494 0.5664 0.7917 1.2678 0.9285 0.3308 0.4518 0.5706 0.89 1.8872 0.9635 0.3637 0.3819 0.4125 0.79 1.1449 0.0485 0.0485 NA NA 1 0.3547 -0.0558 0.0558 -0.0558 0.9442 1 0.628 -0.0661 0.0661 -0.0661 0.9339 1 0.6167 0 0
6 20 2531 0 0 0 0 0 1.008 0 0.9502 -0.4064 0.4468 0.4951 0.7917 1.2365 0.9354 -0.4254 0.5105 0.6019 0.86 1.8822 0.9863 -0.3902 0.3902 0.4139 0.8 1.0898 -0.1039 0.1039 NA NA 1 0.3498 0.0552 0.0552 0.0552 1.0552 1 0.6882 0.0349 0.0349 0.0349 1.0349 1 0.6724 0 0
6 21 2922 0 0 0 0 0 1.0031 0 0.9698 -0.183 0.2468 0.3375 0.9583 1.3004 0.925 -0.195 0.3894 0.4916 0.94 1.8434 0.9731 -0.1533 0.1905 0.2344 1 1.1477 0.099 0.099 NA NA 1 0.3571 -0.102 0.102 -0.102 0.898 1 0.6029 -0.1188 0.1188 -0.1188 0.8812 1 0.5837 0 0
