cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
58 1 284 0 0 0 0 0 1.0005 0 0.9498 -0.1556 0.2812 0.346 2.0628 0.7394 0.0238 0.5251 0.6742 4.0961 -0.1601 0.1601 0.5143 0 0
58 2 326 0 0 0 0 0 1.0002 0 0.9743 -0.1251 0.2072 0.272 1.6656 0.7205 -0.0448 0.5463 0.7229 4.2038 0.1568 0.1568 0.4013 0 0
58 3 330 0 0 0 0 0 1.0005 0 0.8987 -0.097 0.3092 0.3196 1.2655 0.7948 -0.1199 0.4686 0.6182 4.0601 -0.0519 0.0519 0.4462 0 0
58 4 292 0 0 0 0 0 1.0014 0 0.9695 0.1531 0.2149 0.3622 2.1118 0.7295 0.1164 0.5509 0.7048 4.3906 -0.2294 0.2294 0.6493 0 0
58 5 268 0 0 0 0 0 1.0007 0 0.9493 0.2123 0.3317 0.392 1.6779 0.7431 0.0741 0.5436 0.7288 4.1445 -0.1075 0.1075 0.4941 0 0
58 6 313 0 0 0 0 0 1.0005 0 0.8976 0.1029 0.3239 0.421 1.4993 0.7401 0.1945 0.5771 0.7746 4.181 -0.0634 0.0634 0.4762 0 0
58 7 337 0 0 0 0 0 1.0005 0 0.9664 0.097 0.2033 0.2639 1.7511 0.7783 0.0863 0.5106 0.6841 4.1673 0.0798 0.0798 0.4252 0 0
58 8 312 0 0 0 0 0 1.0006 0 0.8933 -0.0473 0.3221 0.3842 1.3893 0.7429 -0.0284 0.513 0.6794 4.1094 -0.032 0.032 0.4798 0 0
58 9 285 0 0 0 0 0 1.0003 0 0.9152 0.1098 0.3113 0.4212 1.9421 0.7185 -0.0128 0.5263 0.6845 4.0669 -0.0988 0.0988 0.4982 0 0
58 10 339 0 0 0 0 0 1.0003 0 0.942 -0.0605 0.264 0.3581 1.572 0.766 -0.087 0.5621 0.7194 4.4451 0.2332 0.2332 0.3591 0 0
58 11 277 0 0 0 0 0 1.0004 0 0.961 0.0946 0.4472 0.559 2.2498 0.7718 0.0593 0.5963 0.7548 4.1281 0.0259 0.0259 0.4841 0 0
58 12 298 0 0 0 0 0 1.0002 0 0.9569 -0.449 0.4567 0.5492 1.8397 0.7482 -0.3667 0.5845 0.7588 4.0662 -0.1627 0.1627 0.5148 0 0
58 13 317 0 0 0 0 0 1.0004 0 0.9533 -0.1546 0.2377 0.3765 1.8646 0.7949 -0.0624 0.4844 0.6282 4.1 -0.0299 0.0299 0.4284 0 0
58 14 330 0 0 0 0 0 1.001 0 0.9555 -0.0698 0.3094 0.4152 2.3254 0.7581 -0.0678 0.5853 0.7226 4.2151 0.1312 0.1312 0.4357 0 0
58 15 339 0 0 0 0 0 1.0004 0 0.974 -0.0782 0.2752 0.384 2.372 0.772 -0.0544 0.5251 0.6684 4.2489 0.1501 0.1501 0.4119 0 0
58 16 283 0 0 0 0 0 1.0003 0 0.9636 -0.1469 0.3126 0.3723 2.2167 0.6944 -0.1019 0.5528 0.7228 4.1537 -0.0848 0.0848 0.4699 0 0
58 17 332 0 0 0 0 0 1.0008 0 0.9155 0.0996 0.2623 0.4194 2.0603 0.7226 -0.0075 0.4884 0.64 4.1441 0.0985 0.0985 0.4293 0 0
58 18 313 0 0 0 0 0 1.0002 0 0.9718 -0.1299 0.2495 0.3082 1.5125 0.776 -0.131 0.5104 0.6676 4.0993 0.026 0.026 0.4776 0 0
58 19 307 0 0 0 0 0 1.0003 0 0.9395 0.1086 0.2575 0.279 1.3104 0.7645 -0.0139 0.5286 0.691 4.1297 0.0303 0.0303 0.4685 0 0
58 20 227 0 0 0 0 0 1.0007 0 0.9775 0.0182 0.2277 0.3221 1.7499 0.7322 0.0203 0.5607 0.7397 4.0391 -0.1364 0.1364 0.4895 0 0
58 21 324 0 0 0 0 0 1.0001 0 0.9681 -0.063 0.2672 0.3093 1.9545 0.7388 -0.087 0.5322 0.7087 4.2273 0.0889 0.0889 0.4561 0 0
58 22 291 0 0 0 0 0 1.0006 0 0.979 -0.0298 0.2314 0.3152 2.2237 0.7128 0.0524 0.5487 0.696 4.0754 -0.0567 0.0567 0.5145 0 0
58 23 269 0 0 0 0 0 1.0002 0 0.9589 0.2103 0.289 0.3333 1.811 0.7158 0.0852 0.5227 0.6573 4.0757 -0.2318 0.2318 0.4789 0 0
58 24 285 0 0 0 0 0 1.0003 0 0.922 0.0276 0.2733 0.3479 1.96 0.7204 -0.0404 0.5563 0.704 4.1265 -0.1472 0.1472 0.5638 0 0
58 25 339 0 0 0 0 0 1.0004 0 0.9559 0.1358 0.2685 0.4393 2.0892 0.7423 0.0987 0.5746 0.7284 4.2104 -0.0138 0.0138 0.5215 0 0
58 26 298 0 0 0 0 0 1.0003 0 0.9733 0.0267 0.2024 0.2565 1.7673 0.7465 0.0988 0.4957 0.7033 4.0868 -0.0483 0.0483 0.5054 0 0
58 27 309 1 0 0 0 0 1.0001 0 0.9787 -0.0245 0.1778 0.2311 2.2609 0.682 -0.0852 0.5224 0.7002 4.1963 0.0667 0.0667 0.4753 1 0
58 28 320 0 0 0 0 0 1.0001 0 0.8745 0.0619 0.3035 0.3633 1.2413 0.7524 0.1484 0.5267 0.7322 4.1382 -0.1746 0.1746 0.5139 0 0
58 29 313 0 0 0 0 0 1.0005 0 0.9727 0.1408 0.2988 0.3495 2.4061 0.6985 0.0279 0.5165 0.6591 4.2671 -0.0898 0.0898 0.5554 0 0
