cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
61 1 424 4 0 0 0 0 1.0008 0 0.5317 -0.0176 0.2047 0.2253 1.876 0.8523 -0.3578 0.5717 0.9169 13.4252 0.7062 0.0851 0.582 0.7521 4.1273 0.0522 0.0522 0.7668 1 0
61 2 393 7 0 0 0 0 1.0007 0 0.0868 2e-04 0.4068 0.4844 2.3714 0.7864 0.0165 0.7099 1.0509 16.1475 0.5151 0.0539 0.7733 0.9543 4.6221 -0.4685 0.4685 0.896 1 0
61 3 414 3 0 0 0 0 1.0007 0 0.648 -0.1453 0.1977 0.2292 1.5761 0.9533 0.5337 0.6121 0.7667 11.3129 0.6496 0.1195 0.5829 0.8037 4.3077 -0.4715 0.4715 0.9036 1 0
61 4 361 50 0 0 0 0 1.0013 0 -0.5641 -0.1013 0.3381 0.3864 2.2488 0.8594 0.0318 0.8063 1.2128 17.4571 0.6262 -0.2427 0.6105 0.7868 4.4716 0.0332 0.0332 0.8499 1 0
61 5 431 2 0 0 0 0 1.001 0 0.3257 -0.1049 0.2492 0.2739 1.8098 0.9333 -0.2797 0.5117 0.6966 7.7587 0.6125 -0.019 0.5997 0.7746 4.3452 0.058 0.058 0.7211 1 0
61 6 612 780 0 0 0 0 1.0007 0 0.447 -0.0602 0.1975 0.2313 1.9962 0.9362 -0.0961 0.629 0.8191 13.9988 0.6325 0.2007 0.5981 0.7299 5.1218 0.2733 0.2733 0.8392 1 0
61 7 497 6 0 0 0 0 1.0003 0 0.3594 -0.1892 0.3051 0.372 1.9677 0.9676 -0.0276 0.493 0.6721 9.4474 0.6816 0.0028 0.514 0.6989 4.338 0.1682 0.1682 0.6467 1 0
61 8 430 0 0 0 0 0 1.0004 0 0.7731 -0.0846 0.2371 0.2939 2.5814 0.9248 -0.4318 0.6746 1.044 14.7945 0.6191 -0.0792 0.6187 0.7781 4.2221 -0.5757 0.5757 0.6686 0 0
61 9 439 22 0 0 0 0 1.0003 0 0.4862 -0.2876 0.3229 0.3643 1.6466 0.8558 0.7153 1.0532 1.7098 19.2738 0.7247 0.089 0.544 0.7125 4.62 0.2121 0.2121 0.7935 1 0
61 10 721 387 0 0 0 0 1.0011 0 0.5158 -0.037 0.2063 0.2303 1.9006 0.9615 -0.3984 0.5273 0.6595 9.909 0.7477 -0.3354 0.5792 0.7526 4.665 0.2515 0.2515 0.7384 1 0
