cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
48 1 2414 0 0 0 0 0 1.0004 0 0.8476 0.0467 0.0888 0.1061 0.7424 0.9916 0.0227 0.1446 0.1906 1.4187 0.797 0.0618 0.5354 0.6696 4.0788 -0.1355 0.1355 0.282 0 0
48 2 2537 0 0 0 0 0 1.0005 0 0.91 0.0299 0.1365 0.1457 0.7666 0.9784 -0.1244 0.2156 0.3031 2.8221 0.8396 -0.0243 0.515 0.67 4.3756 0.0145 0.0145 0.2282 0 0
48 3 2487 0 0 0 0 0 1.0003 0 0.9467 -0.0513 0.0777 0.0822 0.6559 0.996 0.0333 0.0917 0.1141 1.3608 0.7854 -0.015 0.5391 0.6977 4.1547 -0.0498 0.0498 0.2693 0 0
48 4 2520 0 0 0 0 0 1.0004 0 0.8558 0.093 0.1238 0.1658 0.7502 0.9922 -0.1446 0.1752 0.2182 1.5741 0.8315 -0.0697 0.5026 0.6556 4.3069 -0.0243 0.0243 0.2472 0 0
48 5 2478 0 0 0 0 0 1.0004 0 0.8978 0.0239 0.1322 0.1579 0.7947 0.9914 -0.0453 0.1173 0.1514 1.2736 0.8283 -0.0543 0.5312 0.6599 4.3133 -0.0076 0.0076 0.2226 0 0
48 6 3923 0 0 0 0 0 1.0003 0 0.9228 -0.0533 0.0931 0.117 0.6819 0.9937 0.1538 0.1717 0.2026 1.3612 0.8273 0.2171 0.5672 0.7005 4.6267 0.1539 0.1539 0.2158 0 0
48 7 2517 0 0 0 0 0 1.0002 0 0.8362 -0.0606 0.1282 0.1716 0.7263 0.9699 -0.3469 0.4209 0.6661 6.1478 0.7667 -0.2244 0.5887 0.76 4.4235 0.0116 0.0116 0.2531 0 0
48 8 2517 0 0 0 0 0 1.0002 0 0.9081 0.0051 0.0889 0.1281 0.8588 0.995 -0.036 0.119 0.1501 2.2575 0.8024 0.0097 0.5253 0.6599 4.2845 -0.071 0.071 0.2752 0 0
48 9 2509 0 0 0 0 0 1.0007 0 0.9249 -0.0305 0.114 0.1339 0.7311 0.9947 0.1071 0.1397 0.1768 2.0228 0.7937 0.0768 0.5455 0.6927 4.5174 -0.0055 0.0055 0.2448 0 0
48 10 2444 0 0 0 0 0 1.0004 0 0.9297 -0.0351 0.0671 0.0789 0.6737 0.995 -0.0374 0.0897 0.1084 1.3822 0.8054 0.0134 0.4969 0.6413 4.3759 -0.0334 0.0334 0.2651 0 0
48 11 2515 0 0 0 0 0 1.0007 0 0.8964 0.0025 0.0813 0.0939 0.7026 0.991 -0.0497 0.1212 0.2124 2.0789 0.8071 -0.069 0.5235 0.6936 4.3593 -0.061 0.061 0.2729 0 0
48 12 2455 0 0 0 0 0 1.0005 0 0.9865 0.0653 0.0716 0.0985 0.9721 0.9914 0.0748 0.1734 0.2172 1.5664 0.8058 0.0507 0.5402 0.7115 4.3041 -0.0517 0.0517 0.2426 0 0
48 13 2855 0 0 0 0 0 1.0008 0 0.9517 0.0325 0.0986 0.1356 0.8035 0.9941 -0.1554 0.1775 0.2307 2.1399 0.8486 -0.0553 0.4546 0.6111 4.3051 -0.004 0.004 0.2131 0 0
48 14 2495 0 0 0 0 0 1.0002 0 0.9695 0.1523 0.1839 0.2024 0.7988 0.9922 -0.0776 0.1906 0.2379 1.5971 0.7937 -0.0416 0.5762 0.7517 4.2624 -0.1596 0.1596 0.2462 0 0
48 15 2637 0 0 0 0 0 1.0008 0 0.9375 -5e-04 0.078 0.0993 0.7416 0.9923 0.0759 0.1366 0.1718 1.5643 0.8375 0.0823 0.5132 0.6761 4.1071 0.0606 0.0606 0.2248 0 0
48 16 3349 0 0 0 0 0 1.0007 0 0.9657 -0.0693 0.1022 0.1165 0.849 0.9828 0.1956 0.239 0.2899 1.8058 0.8002 0.1425 0.5432 0.6991 4.3682 0.0555 0.0555 0.231 0 0
48 17 2474 0 0 0 0 0 1.0006 0 0.9079 0.0264 0.1286 0.1483 0.7138 0.9776 0.03 0.1674 0.2625 2.2943 0.7991 0.0155 0.5318 0.6774 4.3351 -0.0637 0.0637 0.2651 0 0
48 18 2471 0 0 0 0 0 1.0002 0 0.8516 -0.1227 0.1389 0.1784 0.6458 0.9849 -0.0378 0.2051 0.2403 1.4457 0.7534 -0.1322 0.5783 0.7478 4.4937 0.0207 0.0207 0.2422 0 0
48 19 2611 0 0 0 0 0 1.001 0 0.8611 3e-04 0.1274 0.1682 0.7172 0.9929 -0.0729 0.1348 0.1865 1.4513 0.8304 -0.0813 0.5358 0.701 4.1159 0.0532 0.0532 0.2142 0 0
48 20 2494 0 0 0 0 0 1.0005 0 0.7947 -0.0601 0.119 0.1343 0.7307 0.9912 0.0442 0.1976 0.2967 3.5023 0.7572 7e-04 0.5977 0.7547 4.1785 0.0299 0.0299 0.2644 0 0
48 21 2507 0 0 0 0 0 1.0005 0 0.8159 -0.0268 0.1358 0.1489 0.8528 0.9825 0.0976 0.1786 0.2252 2.1604 0.7728 0.1598 0.5701 0.7215 4.2797 -0.0743 0.0743 0.2865 0 0
48 22 2510 0 0 0 0 0 1.0003 0 0.7551 -0.0056 0.1172 0.1603 0.6603 0.9945 0.0843 0.1509 0.196 2.7584 0.7755 0.1395 0.5763 0.7258 4.36 0.0345 0.0345 0.2543 0 0
48 23 2496 0 0 0 0 0 1.0004 0 0.9125 0.023 0.0861 0.0998 0.6742 0.9922 -0.0715 0.1326 0.1623 1.8016 0.8088 -0.1099 0.548 0.7221 4.5021 0.0633 0.0633 0.2431 0 0
48 24 2476 0 0 0 0 0 1.0005 0 0.9876 -0.0399 0.0996 0.1098 0.7779 0.996 -0.0855 0.1597 0.2082 2.7631 0.7721 -0.1139 0.6056 0.787 4.6015 0.1025 0.1025 0.2218 0 0
48 25 2489 0 0 0 0 0 1.0004 0 0.747 -0.1302 0.1816 0.2046 0.7056 0.996 -0.2737 0.3315 0.3857 2.5928 0.7948 -0.1753 0.5898 0.7728 4.6093 0.1131 0.1131 0.2367 0 0
48 26 3957 0 0 0 0 0 1.0003 0 0.8094 0.0626 0.1167 0.1485 0.728 0.9835 -0.1153 0.1714 0.2337 1.3196 0.8607 -0.1158 0.5196 0.6604 4.1721 0.0982 0.0982 0.2001 0 0
48 27 2370 0 0 0 0 0 1.0002 0 0.8406 -0.0134 0.0857 0.1033 0.6743 0.9913 0.0334 0.1388 0.1764 1.7773 0.759 0.0677 0.5609 0.7248 4.3413 -0.0281 0.0281 0.2751 0 0
48 28 2595 0 0 0 0 0 1.0008 0 0.9739 0.0596 0.0831 0.1038 0.8158 0.9943 0.1962 0.2033 0.2315 0.9923 0.8344 0.1996 0.5153 0.6595 4.0835 -0.073 0.073 0.2301 0 0
48 29 2508 0 0 0 0 0 1.0003 0 0.5334 -0.1193 0.1543 0.1726 0.6312 0.9806 -0.1286 0.2162 0.3162 1.5646 0.8014 -0.0722 0.5238 0.6584 4.4569 0.0579 0.0579 0.2398 0 0
48 30 2546 0 0 0 0 0 1.0003 0 0.613 0.014 0.0817 0.0978 0.6504 0.9962 -0.0085 0.1025 0.145 1.9534 0.7526 -0.0896 0.6052 0.759 4.2923 -0.0646 0.0646 0.2813 0 0
48 31 3038 0 0 0 0 0 1.0005 0 0.9326 0.006 0.0984 0.1199 0.7048 0.9921 -0.0151 0.1554 0.1925 1.5971 0.8397 -0.0953 0.5128 0.6525 4.5023 0.1021 0.1021 0.2147 0 0
48 32 2420 0 0 0 0 0 1.0012 0 0.8035 -0.0066 0.0995 0.1332 0.7577 0.9924 0.0825 0.176 0.2002 1.7345 0.784 0.1007 0.5489 0.6922 4.3371 -4e-04 4e-04 0.2667 0 0
48 33 2453 0 0 0 0 0 1.0003 0 0.9556 -0.0089 0.1196 0.1579 1.0695 0.9876 -0.1619 0.1887 0.2466 1.6819 0.8214 -0.0485 0.5203 0.6765 4.2158 -0.116 0.116 0.2503 0 0
48 34 2536 0 0 0 0 0 1.0003 0 0.973 0.0286 0.0759 0.082 0.7056 0.993 0.0614 0.1482 0.1697 1.4376 0.8161 0.066 0.5078 0.6592 4.3494 -0.0097 0.0097 0.2368 0 0
