cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
32 1 2474 0 0 0 0 0 1.0008 0 0.9188 -0.0145 0.0825 0.0908 0.7468 0.9954 0.0307 0.0777 0.11 1.3533 0.7895 0.0181 0.4781 0.6133 4.0356 -0.0221 0.0221 0.2955 0 0
32 2 2359 0 0 0 0 0 1.0011 0 0.9326 -0.0738 0.1402 0.1927 1.1115 0.9758 -0.0812 0.2693 0.5031 4.1674 0.711 0.0511 0.5478 0.725 4.1205 -0.152 0.152 0.3546 0 0
32 3 2290 0 0 0 0 0 1.0013 0 0.2625 -0.2022 0.2816 0.312 0.9298 0.9695 0.1836 0.565 0.9213 7.6631 0.6639 0.0095 0.5906 0.7506 4.0644 0.0185 0.0185 0.4355 0 0
32 4 2367 0 0 0 0 0 1.0002 0 0.7873 -0.1657 0.1733 0.2304 0.6888 0.9936 0.034 0.1778 0.245 2.2867 0.7329 0.0931 0.5393 0.6848 4.043 0.2038 0.2038 0.3011 0 0
32 5 2369 0 0 0 0 0 1.0004 0 0.9584 0.0113 0.0724 0.1127 0.8508 0.9958 -0.0997 0.1066 0.1392 1.7546 0.7519 -0.0448 0.5246 0.6713 4.0793 0.1439 0.1439 0.313 0 0
32 6 2278 0 0 0 0 0 1.0005 0 0.8765 0.0058 0.1276 0.1537 0.7794 0.9814 -0.0799 0.155 0.2147 1.8969 0.6936 -0.0749 0.573 0.7515 4.0507 0.0256 0.0256 0.3549 0 0
32 7 2305 0 0 0 0 0 1.0003 0 0.8014 -0.0676 0.1731 0.2482 1.0021 0.9889 0.3052 0.3512 0.4851 7.3633 0.749 0.0105 0.5194 0.6732 4.0123 0.11 0.11 0.3282 0 0
32 8 2398 0 0 0 0 0 1.0004 0 0.8856 -0.0014 0.1067 0.1162 0.7346 0.9937 0.1128 0.1482 0.1709 1.3824 0.7553 0.0073 0.5019 0.6475 4.0039 -0.0102 0.0102 0.2961 0 0
32 9 2429 0 0 0 0 0 1.0004 0 0.6665 -0.1457 0.1815 0.2144 0.7417 0.9849 -0.0668 0.2024 0.2756 2.1686 0.689 -0.0319 0.5567 0.7145 4.0339 -0.0684 0.0684 0.334 0 0
32 10 2380 0 0 0 0 0 1.0002 0 0.7971 0.0551 0.1113 0.1678 0.8352 0.9924 -0.0986 0.1659 0.2088 1.7331 0.7388 -0.0694 0.5207 0.6646 4.06 -0.0427 0.0427 0.333 0 0
32 11 2385 0 0 0 0 0 1.0002 0 0.6766 0.062 0.0731 0.1151 0.7093 0.9966 0.0408 0.1243 0.1663 1.5699 0.7288 0.0231 0.5461 0.7006 4.0229 -0.0319 0.0319 0.3075 0 0
32 12 2433 0 0 0 0 0 1.0002 0 0.6614 -0.0121 0.1503 0.1785 0.7252 0.9904 0.1192 0.1457 0.1854 1.9657 0.7738 0.0418 0.5076 0.6462 3.9893 -0.0258 0.0258 0.2975 0 0
32 13 2484 0 0 0 0 0 1.0004 0 0.7207 0.0336 0.0738 0.0953 0.6501 0.9964 0.0419 0.0804 0.1119 1.5923 0.7845 0.0244 0.4785 0.604 4.0434 0.1256 0.1256 0.2973 0 0
