cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
20 1 1507 0 0 0 0 0 1.0006 0 -0.4577 -0.113 0.1575 0.2051 0.7392 0.9882 -0.056 0.1649 0.2344 1.4151 0.7609 -0.0625 0.5854 0.735 3.6324 0.0622 0.0622 0.2646 0 0
20 2 1499 0 0 0 0 0 1.0007 0 0.7861 -0.0154 0.1931 0.2255 1.0528 0.9888 -0.1297 0.1806 0.2287 1.3309 0.7683 -0.0398 0.5632 0.7118 3.4682 -0.0623 0.0623 0.3051 0 0
20 3 1535 0 0 0 0 0 1.0003 0 0.8776 -0.0117 0.3455 0.373 0.7594 0.9883 0.0578 0.1483 0.1666 0.9967 0.8121 0.1126 0.537 0.6703 3.2154 0.0036 0.0036 0.2401 0 0
20 4 1581 0 0 0 0 0 1.0002 0 -0.983 -0.026 0.1046 0.1233 0.693 0.9985 0.0977 0.1103 0.1409 1.5201 0.7575 0.0094 0.5808 0.7261 3.454 0.0023 0.0023 0.3035 0 0
20 5 1538 0 0 0 0 0 1.0005 0 0.4887 -0.1324 0.1366 0.1731 0.7019 0.9951 -0.0971 0.1209 0.1676 1.1488 0.8308 -0.1229 0.5398 0.6737 3.3007 0.0462 0.0462 0.2468 0 0
20 6 1479 0 0 0 0 0 1.0008 0 0.9718 -0.2172 0.2172 0.231 0.8825 0.9849 0.2188 0.3073 0.4241 4.013 0.7216 0.0145 0.5737 0.7264 3.6387 -0.0194 0.0194 0.3263 0 0
20 7 1524 0 0 0 0 0 1.0007 0 0.9958 -0.0606 0.0773 0.0868 0.913 0.9967 0.3252 0.3252 0.3386 0.9773 0.8333 0.2825 0.544 0.6779 3.1686 -0.0318 0.0318 0.2572 0 0
20 8 1518 0 0 0 0 0 1.0004 0 0.9418 0.0303 0.0933 0.0935 0.7206 0.9959 -0.0205 0.0678 0.0798 1.0324 0.7926 -0.0228 0.5878 0.7321 3.3947 0.0646 0.0646 0.2567 0 0
20 9 1505 0 0 0 0 0 1.0007 0 0.5006 -0.0597 0.1194 0.1607 0.8104 0.9866 -0.0394 0.1778 0.2223 1.2734 0.7731 -0.0447 0.5798 0.7311 3.3523 0.0209 0.0209 0.2633 0 0
20 10 1488 0 0 0 0 0 1.0016 0 0.892 0.0012 0.1755 0.2107 1.1237 0.9674 -0.128 0.3193 0.4126 3.1518 0.6882 -0.0816 0.6956 0.8855 3.7146 -0.0109 0.0109 0.3288 0 0
