cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
9 1 1804 1.0131 0 0.9805 0.3907 1.93 0.9769 0.3489 1.4513 0
9 2 1923 1.0068 0 0.9711 -0.1576 2.7516 0.972 -0.1207 1.4001 0
9 3 1738 1.002 0 0.9506 0.5799 2.3292 0.9868 0.4943 1.5768 0
9 4 1605 1.0142 0 0.9597 -0.7419 2.9195 0.968 -0.6591 1.5229 0
9 5 1773 1.0104 0 0.9752 -0.1368 2.6139 0.9603 -0.2044 1.4052 0
9 6 1759 1.0027 0 0.9756 -0.3752 2.0546 0.9762 -0.3552 1.5801 0
9 7 1719 1.0055 0 0.9869 0.1938 2.176 0.9785 0.2423 1.4211 0
9 8 1752 1.0028 0 0.9289 0.5918 2.1415 0.9884 0.5124 1.6061 0
9 9 1861 1.0065 0 0.9846 -0.1529 1.5896 0.9864 -0.1604 1.4596 0
9 10 1681 1.0106 0 0.9932 0.3761 2.5362 0.9886 0.3189 1.6006 0
9 11 1909 1.0147 0 0.9788 0.3221 1.871 0.9727 0.3295 1.409 0
9 12 1852 1.0092 0 0.9698 -0.1195 1.2019 0.974 -0.1308 1.3604 0
9 13 1869 1.0052 0 0.9838 0.1871 1.9727 0.9792 0.2224 1.704 0
9 14 1759 1.0046 0 0.9702 0.4135 2.5133 0.9732 0.3644 1.6658 0
9 15 1791 1.0047 0 0.9314 -0.1405 2.9058 0.9785 -0.0948 1.5965 0
9 16 1713 1.0052 0 0.9637 0.6885 2.7616 0.9769 0.6449 1.6976 0
9 17 1717 1.0078 0 0.9713 0.2988 1.993 0.9824 0.3246 1.4073 0
9 18 1732 1.0076 0 0.974 0.3763 2.4608 0.9763 0.3488 1.8068 0
9 19 1656 1.0136 0 0.9605 -0.0287 2.7371 0.9686 0.059 1.5871 0
9 20 1684 1.0035 0 0.9359 0.4117 3.0149 0.9786 0.3201 1.5194 0
9 21 1681 1.0075 0 0.9609 -0.3439 2.5538 0.9548 -0.2925 1.4246 0
9 22 1819 1.0046 0 0.9864 -0.2151 1.4887 0.9687 -0.214 1.4124 0
9 23 1717 1.0037 0 0.9833 0.5865 2.7268 0.9696 0.5517 1.4311 0
9 24 1713 1.0152 0 0.9877 -0.0482 2.3063 0.9824 -0.0925 1.4668 0
