cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
20 1 1089 1.0086 0 0.9828 -0.001 1.5656 0.9614 -0.0019 2.3146 -0.0114 0.1814 0
20 2 994 1.0068 0 0.9869 0.0313 1.2564 0.9616 0.0342 2.2087 -0.0277 0.1664 0
20 3 1109 1.0081 0 0.9892 -0.0486 1.6295 0.9601 -0.0224 2.3058 0.0101 0.1688 0
20 4 1137 1.0051 0 0.9818 0.1729 1.1895 0.9573 0.1624 2.3821 0.0064 0.1685 0
20 5 1298 1.0035 0 0.9879 -0.0694 2.1081 0.9618 -0.0767 2.1969 0.0643 0.1607 0
20 6 831 1.0049 0 0.9917 0.0308 1.9294 0.9572 0.0366 2.238 -0.0558 0.1856 0
20 7 921 1.0051 0 0.9841 0.2108 1.8245 0.9599 0.2283 2.0445 -0.0419 0.1695 0
20 8 1211 1.0044 0 0.987 -0.0392 1.0168 0.9639 -0.0573 2.3106 0.0529 0.1529 0
20 9 844 1.0079 0 0.9887 0.0613 1.2918 0.9507 0.0457 2.56 -0.0509 0.1696 0
20 10 1131 1.0103 0 0.9898 -0.076 2.2425 0.9636 -0.077 2.3367 0.0118 0.1592 0
20 11 852 1.0045 0 0.9905 -0.0365 1.797 0.9619 -0.0011 2.233 -0.0413 0.1741 0
20 12 1081 1.0091 0 0.9911 0.1315 1.6915 0.9568 0.1378 2.2017 0.0142 0.1658 0
20 13 799 1.002 0 0.9877 0.0786 1.3093 0.9541 0.0596 2.1617 -0.0907 0.1758 0
20 14 883 1.0237 0 0.9896 0.0717 1.9365 0.9566 0.0438 2.5421 -0.0331 0.1792 0
20 15 1100 1.0052 0 0.9884 0.2277 1.3018 0.9599 0.1836 2.3352 -0.0211 0.1632 0
20 16 1153 1.0057 0 0.9892 -0.1151 1.3806 0.9615 -0.0914 2.1835 0.0055 0.1687 0
20 17 1325 1.0023 0 0.988 0.0438 1.3823 0.9679 0.0469 2.2454 0.0664 0.1595 0
20 18 1393 1.0029 0 0.9884 0.0305 1.2882 0.9633 0.0422 2.4692 0.1104 0.1512 0
20 19 1269 1.006 0 0.9896 0.0599 1.4875 0.9653 0.0441 2.2371 0.0566 0.1781 0
20 20 1204 1.0036 0 0.9883 -0.0739 1.5742 0.9639 -0.069 2.0518 0.0533 0.1569 0
20 21 1004 1.0032 0 0.9868 -0.111 1.1258 0.9617 -0.0832 2.4286 -0.0257 0.167 0
20 22 1030 1.0029 0 0.9836 -0.0673 1.297 0.9532 -0.0951 2.2316 -0.0085 0.1673 0
20 23 793 1.0094 0 0.9854 -0.1145 1.7488 0.9465 -0.1233 2.1654 -0.069 0.1895 0
20 24 873 1.0058 0 0.9837 -0.0839 1.602 0.9598 -0.0337 2.3314 -0.0469 0.1844 0
