cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
5 1 1895 1.0037 0 0.8711 -0.1203 2.5282 0.9755 0.3142 4.035 0.9284 0.6411 5.063 1
5 2 1846 1.0028 0 0.4993 -0.1098 2.2835 0.9903 -0.4053 5.8373 0.9343 -0.4671 4.0266 1
5 3 1621 1.0009 0 0.9997 -0.1556 2.2547 0.9983 -0.6295 4.5701 0.9533 -0.7664 5.5905 1
5 4 1539 1.0062 0 0.9993 0.1125 2.0099 0.9821 0.6906 4.7711 0.8353 0.7858 4.0878 1
5 5 1751 1.0025 0 0.9933 -0.2041 2.3652 0.9966 0.0788 4.6686 0.9261 -0.0085 3.9745 1
5 6 1919 1.0048 0 0.9867 0.0477 2.8762 0.9952 0.0517 5.2349 0.9098 0.0986 3.3298 1
5 7 1655 1.005 0 0.7526 0.1187 1.9354 0.9921 0.2797 5.259 0.9418 0.3454 4.048 1
5 8 1572 1.0023 0 0.8039 -0.1024 1.8231 0.993 -0.2628 5.1944 0.9244 -0.1815 4.2281 1
5 9 1793 1.0017 0 0.9842 0.0297 2.2509 0.9971 -0.0035 6.1545 0.8877 -0.1525 4.4477 1
5 10 1612 1.003 0 0.632 -0.1031 1.806 0.9969 0.1282 5.6341 0.9148 0.0892 4.0201 1
5 11 1486 1.0045 0 -0.4614 0.1398 1.7593 0.9873 -0.4131 3.6354 0.9038 -0.4246 3.9061 1
5 12 1517 1.0018 0 0.0901 0.1255 1.8683 0.9504 0.5044 5.6696 0.9071 0.4863 3.8907 1
5 13 1541 1.0048 0 0.999 0.0798 2.0613 0.9971 -0.1843 5.1019 0.9416 -0.2648 4.506 1
5 14 1466 1.0083 0 0.1579 -0.1196 1.7479 0.9985 0.2962 6.4556 0.9204 0.3259 4.0341 1
5 15 1841 1.0046 0 0.9997 0.0355 3.0523 0.9987 0.7946 3.7301 0.9328 0.9184 5.4425 1
5 16 1740 1.0041 0 -0.5952 -0.1017 2.0622 0.9791 0.2452 4.8788 0.9339 0.23 4.9561 1
5 17 1989 1.0021 0 0.9913 -0.1661 2.2757 0.9918 0.2759 4.2992 0.9443 0.4196 3.7412 1
5 18 1387 1.0095 0 0.8358 -0.0452 2.1853 0.9922 0.2406 10.0598 0.8096 0.0066 3.6778 1
5 19 1692 1.0049 0 0.8769 -0.1272 2.1678 0.9627 0.7581 6.0472 0.8809 1.0671 4.8723 1
5 20 1687 1.0048 0 0.9109 0.0035 2.3709 0.9786 -0.1822 3.1364 0.9354 -0.2776 4.7301 1
5 21 1951 1.0083 0 0.9492 0.0034 3.3148 0.9885 -0.1578 7.4667 0.9579 0.1129 3.5754 1
5 22 1693 1.0048 0 0.9394 0.0132 2.7557 0.991 -0.2362 6.222 0.9005 -0.1645 4.2993 1
5 23 1995 1.0026 0 0.9982 0.153 2.4134 0.9958 -0.0453 3.1189 0.917 -0.0541 3.6623 1
5 24 2154 1.0033 0 0.9817 0.0719 2.6595 0.9921 0.5291 3.6195 0.9219 0.6122 4.073 1
