cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
9 1 282 1.0073 0 0.9879 -0.1707 2.0835 0.9329 -0.126 2.5077 -7e-04 0.2267 0
9 2 272 1.0103 0 0.9847 -0.0563 1.677 0.9248 -0.0716 2.484 -0.0114 0.2172 0
9 3 281 1.0035 0 0.9905 -0.1435 1.471 0.9281 -0.165 2.3887 0.0061 0.2158 0
9 4 258 1.0063 0 0.9776 0.0918 1.2154 0.9183 0.1073 2.5802 -0.057 0.2177 0
9 5 270 1.0033 0 0.984 -0.0268 1.429 0.9209 -0.026 2.4362 -0.0153 0.2178 0
9 6 268 1.0036 0 0.9819 -0.0206 1.4575 0.9318 0.0038 2.5571 -0.0309 0.2271 0
9 7 281 1.0045 0 0.9665 -0.2429 2.3499 0.9236 -0.1213 2.7405 0.0062 0.2215 0
9 8 346 1.0024 0 0.9851 -0.015 1.2625 0.9351 -7e-04 2.4873 0.058 0.1979 0
9 9 269 1.0024 0 0.9745 -0.1409 1.6554 0.9185 -0.1537 2.4775 -0.0147 0.2303 0
9 10 328 1.0022 0 0.9823 -0.224 1.6986 0.9159 -0.1818 2.5105 0.0406 0.2276 0
9 11 283 1.0043 0 0.9855 0.1174 1.5476 0.9177 0.1145 2.6265 -0.0034 0.2157 0
9 12 268 1.0013 0 0.9808 -0.1198 1.583 0.9216 -0.1604 2.4862 -0.0376 0.2158 0
9 13 278 1.0062 0 0.9635 -0.0351 2.3066 0.9369 -0.0452 2.7584 0.02 0.2132 0
9 14 276 1.0075 0 0.9753 -0.0829 2.1708 0.9334 -0.0884 2.5976 -0.0011 0.2073 0
9 15 274 1.0115 0 0.9811 0.1504 2.4082 0.9343 0.0506 2.426 0.005 0.2141 0
9 16 279 1.0067 0 0.9833 -0.2547 2.232 0.9231 -0.2029 2.7273 0.0047 0.2251 0
9 17 281 1.0084 0 0.9827 -0.0715 1.6905 0.9225 -0.0277 2.5827 0.0168 0.2275 0
9 18 263 1.0017 0 0.9877 0.1569 1.2293 0.9236 0.1603 2.5195 -0.0132 0.2117 0
9 19 291 1.0059 0 0.9941 0.1062 1.8151 0.9206 0.1108 2.6776 0.0118 0.2212 0
9 20 308 1.0066 0 0.9889 -0.0769 1.6604 0.9193 -0.1044 2.6137 0.0503 0.2177 0
9 21 304 1.0038 0 0.9764 -0.1322 1.569 0.934 -0.069 2.6138 0.0483 0.2028 0
9 22 274 1.01 0 0.9881 -0.16 1.838 0.927 -0.1543 2.2466 0.038 0.2133 0
9 23 268 1.0027 0 0.9851 0.0579 1.1075 0.934 0.0304 2.6419 0.0022 0.2124 0
9 24 268 1.0051 0 0.9845 -0.2116 1.1048 0.927 -0.2032 2.7243 -0.0423 0.2268 0
