cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
3 1 93 1.0044 0 0.9847 0.1346 2.0148 0.8973 0.1872 2.9912 0.109 0.2894 0
3 2 68 1.002 0 0.9663 0.1306 2.2628 0.8623 0.0621 3.0345 -0.1248 0.3667 0
3 3 77 1.0018 0 0.941 -0.4334 2.1818 0.8664 -0.3546 3.3655 -0.0147 0.3823 0
3 4 72 1.003 0 0.9773 0.4067 1.1915 0.8666 0.3349 2.9612 -0.0822 0.3411 0
3 5 73 1.002 0 0.976 -0.1521 1.5381 0.8813 -0.0945 2.834 -0.0537 0.3279 0
3 6 73 1.0028 0 0.9629 -0.144 1.3439 0.8671 -0.1082 2.8246 -0.0602 0.3198 0
3 7 75 1.0021 0 0.9805 -0.0382 1.6912 0.8821 0.0155 2.9054 0.0614 0.2978 0
3 8 67 1.0016 0 0.9596 -0.2083 1.4835 0.8688 -0.1962 2.8626 -0.0967 0.3376 0
3 9 74 1.002 0 0.9769 0.254 1.7656 0.8861 0.1351 2.872 -0.0451 0.342 0
3 10 76 1.0012 0 0.9841 0.0363 1.3775 0.8454 0.0235 2.818 -0.0457 0.3286 0
3 11 67 1.0025 0 0.9661 0.0761 1.8733 0.8565 0.0013 2.6606 -0.2123 0.395 0
3 12 78 1.003 0 0.99 -0.2664 1.4632 0.8771 -0.1262 3.0441 0.0162 0.3172 0
3 13 81 1.0036 0 0.9564 0.2468 1.5564 0.8929 0.1971 3.407 0.0771 0.3013 0
3 14 73 1.0029 0 0.9802 -0.2507 1.3023 0.9033 -0.2097 2.9712 -0.0398 0.3154 0
3 15 88 1.0016 0 0.9682 -0.0462 1.4998 0.8753 -0.1329 3.2833 0.1259 0.2896 0
3 16 71 1.0032 0 0.9483 0.1539 2.0319 0.8685 0.1352 3.0637 -0.0786 0.3838 0
3 17 73 1.0014 0 0.9768 -0.049 1.959 0.8648 0.0249 2.7419 -0.0383 0.3348 0
3 18 72 1.0041 0 0.9648 -0.1032 1.656 0.853 -0.0142 2.9898 -0.0235 0.3392 0
3 19 66 1.0061 0 0.8816 0.2153 2.7241 0.8317 -0.0316 3.1535 -0.1612 0.4059 0
3 20 80 1.0028 0 0.9406 0.2006 1.2222 0.9021 0.086 3.195 0.0582 0.3047 0
3 21 67 1.0082 0 0.984 0.1818 1.7463 0.832 0.0329 2.9387 -0.1478 0.3492 0
3 22 86 1.0033 0 0.9495 -0.3729 2.2517 0.9003 -0.1934 3.2358 0.1209 0.2924 0
3 23 73 1.0031 0 0.9665 0.0646 1.3631 0.8752 0.0474 2.9327 -0.066 0.3272 0
3 24 74 1.0015 0 0.9428 0.0693 1.5624 0.8696 0.0436 2.8081 -0.0592 0.3359 0
