cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
2 1 119 1.0057 0 0.9785 -0.2103 1.9425 0.9215 -0.1515 2.2479 0
2 2 120 1.003 0 0.9562 -0.2906 2.1204 0.982 -0.1612 2.0789 0
2 3 115 1.003 0 0.898 0.2297 3.2317 0.9656 -0.061 1.9268 0
2 4 114 1.0048 0 0.9217 0.4352 2.7335 0.9172 0.2001 1.9157 0
2 5 114 1.0058 0 0.8659 -0.1442 2.0641 0.944 -0.2139 1.9334 0
2 6 113 1.0062 0 0.9524 0.3614 1.8334 0.9499 0.34 1.7824 0
2 7 121 1.0035 0 0.9798 -0.3856 2.2867 0.9807 -0.3864 2.0274 0
2 8 110 1.0056 0 0.9088 -0.5447 3.1813 0.9602 -0.5187 2.0513 0
2 9 117 1.0058 0 0.9721 0.223 2.1688 0.9787 0.2432 1.8874 0
2 10 114 1.0033 0 0.9311 -0.1175 2.498 0.9645 -0.1366 1.8906 0
2 11 103 1.001 0 0.9657 0.0727 2.474 0.7981 0.0295 1.8142 0
2 12 122 1.0042 0 0.9674 0.242 1.9713 0.9627 0.201 2.6398 0
2 13 133 1.0027 0 0.9504 -0.2348 1.5631 0.99 -0.1608 2.0372 0
2 14 111 1.0013 0 0.9024 0.498 2.9759 0.9649 0.2831 1.8817 0
2 15 123 1.0018 0 0.9642 0.4065 1.8395 0.9473 0.4148 2.0401 0
2 16 126 1.0018 0 0.9824 0.0575 2.3957 0.9624 -0.0598 2.2834 0
2 17 115 1.0011 0 0.9548 -0.1756 2.828 0.9674 -0.1612 2.3132 0
2 18 117 1.001 0 0.7402 0.5666 3.3517 0.9756 0.5736 2.2516 0
2 19 100 1.0032 0 0.8314 0.8779 2.4268 0.8736 0.7698 2.2088 0
2 20 118 1.0018 0 0.9439 0.4642 2.034 0.986 0.4187 1.9657 0
2 21 118 1.0017 0 0.9183 -0.0346 2.6206 0.9431 -0.0091 2.6989 0
2 22 115 1.0025 0 0.9375 0.8962 1.8174 0.9709 0.9048 2.4241 0
2 23 112 1.0124 0 0.9344 0.4978 2.2924 0.9202 0.5031 1.8589 0
2 24 125 1.0037 0 0.8843 0.1733 2.1699 0.9897 0.0917 3.1412 0
