cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
6 1 42 1.0016 0 0.9383 -0.0846 2.5193 0.9339 -0.1596 2.3603 -0.0742 0.5789 0
6 2 38 1.0017 0 0.9381 -0.1097 2.5322 0.909 -0.0658 1.9447 -0.2246 0.744 0
6 3 57 1.0047 0 0.8985 -0.2582 2.6059 0.9548 -0.3458 2.5135 0.1005 0.5244 0
6 4 41 1.0053 0 0.9126 -0.1592 2.5456 0.9219 -0.0642 2.1459 -0.067 0.5804 0
6 5 123 1.0014 0 0.9214 -0.5012 3.1549 0.9243 -0.4827 3.3849 0.2827 0.3667 0
6 6 46 1.0036 0 0.8778 0.2565 2.4868 0.9057 0.3743 2.7487 -0.0312 0.601 0
6 7 42 1.0022 0 0.8949 -0.2135 2.7513 0.9116 -0.1361 2.3772 -0.1488 0.682 0
6 8 38 1.0015 0 0.8538 0.0014 2.6943 0.9609 0.1096 2.3716 -0.0996 0.5359 0
6 9 46 1.0038 0 0.9379 -8e-04 2.1759 0.9312 0.0282 2.2154 0.0574 0.5155 0
6 10 42 1.0157 0 0.9264 -0.1628 2.9945 0.9188 -0.2252 2.3375 -0.048 0.613 0
6 11 51 1.0058 0 0.9046 -0.4318 3.0157 0.922 -0.3271 2.4584 0.0018 0.6292 0
6 12 37 1.0051 0 0.9087 0.2121 2.1205 0.9521 0.2461 2.3065 -0.1495 0.596 0
6 13 41 1.0033 0 0.8938 0.3406 2.2702 0.91 0.3263 2.5576 -0.039 0.5223 0
6 14 51 1.0032 0 0.8613 -0.102 2.3904 0.956 -0.0451 2.6117 0.0984 0.5048 0
6 15 72 1.0026 0 0.9482 0.0546 2.8199 0.9513 0.0356 2.3078 0.1623 0.4498 0
6 16 43 1.0046 0 0.9452 0.0926 2.5653 0.9248 0.1366 2.3317 -0.0205 0.5771 0
6 17 32 1.0051 0 0.9227 0.0565 2.7041 0.8975 0.0699 2.3504 -0.2761 0.712 0
6 18 40 1.0025 0 0.9367 0.1732 2.6385 0.9351 0.1251 2.2405 -0.1062 0.5976 0
6 19 40 1.0047 0 0.9324 0.0366 2.5401 0.9515 -0.0082 2.2795 -0.0639 0.5366 0
6 20 33 1.0017 0 0.8782 0.1757 2.2598 0.9109 0.0967 2.1729 -0.2396 0.6336 0
6 21 43 1.0049 0 0.8906 0.5712 2.6258 0.9138 0.5168 2.2516 -0.0035 0.5903 0
6 22 52 1.002 0 0.9387 -0.5542 2.5769 0.9244 -0.6134 2.5549 0.0902 0.508 0
6 23 52 1.0094 0 0.8925 -0.1515 2.8151 0.9441 -0.2093 2.3406 0.0802 0.5291 0
6 24 47 1.001 0 0.905 0.0904 3.1063 0.9052 -0.1529 2.1327 -0.1063 0.6955 0
