cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
15 1 797 1.0028 0 0.9221 -0.1183 0.7028 0.9913 -0.1962 1.7787 0.9028 -0.2136 2.6374 -0.0243 0.2113 0
15 2 797 1.0047 0 0.968 0.0289 0.7193 0.9941 -0.0443 3.0906 0.9106 -0.0315 2.449 -0.0574 0.199 0
15 3 824 1.0052 0 0.7077 0.0096 0.5236 0.9943 0.0211 1.7311 0.8701 -0.0335 2.8763 0.0371 0.1996 0
15 4 765 1.0099 0 0.9117 -0.0285 0.6256 0.994 0.0762 1.1534 0.9018 0.1281 2.6885 -0.0408 0.1888 0
15 5 745 1.0085 0 0.8199 -0.0117 0.6463 0.9852 -7e-04 1.7291 0.8582 -0.0694 2.9087 -0.0165 0.229 0
15 6 922 1.009 0 0.9348 -0.1017 0.5762 0.9953 0.0059 1.2792 0.8887 -0.0124 2.6705 0.0395 0.1915 0
15 7 723 1.004 0 0.8318 -0.0058 0.6164 0.9947 0.0365 1.8753 0.853 -0.0045 2.7784 -0.0471 0.2127 0
15 8 770 1.0036 0 0.8811 0.0325 0.6109 0.9892 -0.0714 2.6223 0.8909 -0.1066 2.7044 -0.0647 0.2164 0
15 9 815 1.0042 0 0.9226 -0.0721 0.6582 0.9962 0.1295 1.9871 0.9044 0.1204 2.7502 0.0265 0.1909 0
15 10 970 1.0096 0 0.9419 -4e-04 0.5959 0.9932 -0.0155 1.9732 0.8918 0.0075 2.9411 0.0883 0.1845 0
15 11 953 1.0044 0 0.9403 -0.0571 0.5585 0.9947 0.0207 1.2556 0.8966 0.0055 2.7537 0.0396 0.1836 0
15 12 726 1.0028 0 0.8478 0.0452 0.6033 0.9883 -0.0551 2.0682 0.8815 0.0019 2.6379 -0.0817 0.2119 0
15 13 762 1.0069 0 0.9714 -0.001 0.5924 0.9958 -0.0547 1.4766 0.8778 -0.017 2.6606 -0.0413 0.1963 0
15 14 779 1.0026 0 0.9545 -0.0236 0.6541 0.9913 -0.0321 1.3608 0.8998 0.0096 2.6005 -0.072 0.2076 0
15 15 766 1.0021 0 0.7872 0.0336 0.5427 0.9923 -0.0801 1.2925 0.9043 -0.0783 2.808 -0.034 0.1962 0
15 16 987 1.0036 0 0.9585 0.0362 0.5833 0.9963 0.2435 1.1245 0.9112 0.2292 2.8116 0.0314 0.1885 0
15 17 1117 1.0043 0 0.8243 -0.0816 0.559 0.9906 0.0018 2.1156 0.8757 0.0388 3.1275 0.1259 0.1877 0
15 18 808 1.0057 0 0.9344 -0.0294 0.6857 0.9953 0.0203 1.5886 0.8816 0.0332 2.8713 -0.0064 0.2155 0
15 19 722 1.0037 0 0.951 -0.0271 0.7178 0.9885 -0.1136 1.5781 0.8877 -0.1303 2.6516 -0.0957 0.2 0
15 20 1057 1.0075 0 0.9804 -0.0361 0.6463 0.9944 -0.0968 1.8379 0.9075 -0.1296 2.7454 0.0931 0.1741 0
15 21 1112 1.0047 0 0.9887 -0.107 0.543 0.9977 -0.0355 2.1048 0.895 -0.0943 2.7895 0.1024 0.1859 0
15 22 814 1.0043 0 0.9425 -0.0056 0.5818 0.9952 -0.0724 2.2555 0.9089 0.0074 2.6377 0.0301 0.1861 0
15 23 1022 1.0027 0 0.484 -0.1697 0.5053 0.9891 0.1131 3.382 0.8449 0.1016 2.933 0.1072 0.1979 0
15 24 867 1.0051 0 0.9857 0.0944 0.6264 0.9958 -0.1573 1.0687 0.9133 -0.0918 2.4555 -0.0233 0.1852 0
