cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
18 1 385 1.0052 0 0.8877 -0.0336 1.0395 0.9855 0.0687 4.3624 0.9061 0.0521 2.4144 -0.0436 0.3186 1
18 2 378 1.003 0 0.8493 0.0625 0.8862 0.984 -0.0186 6.0151 0.901 0.005 2.3802 -0.0082 0.2909 1
18 3 404 1.0055 0 0.7943 0.0054 0.8728 0.9683 -0.1238 5.4583 0.9078 -0.0589 2.4032 0.001 0.2918 1
18 4 396 1.0092 0 0.8449 -0.0252 1.0618 0.9746 0.0639 10.843 0.9058 -0.0227 2.7959 0.0023 0.3045 1
18 5 379 1.0054 0 0.7553 -0.1502 0.9897 0.9887 0.1337 7.0906 0.8848 0.1177 2.5907 -0.0406 0.3522 1
18 6 404 1.0068 0 0.9283 -0.0743 1.029 0.984 0.3457 4.5081 0.9131 0.2462 2.3807 0.0225 0.2843 1
18 7 398 1.0025 0 0.8907 -0.0529 0.8182 0.9877 -0.008 3.0232 0.9123 0.0275 2.6357 0.0557 0.2793 0
18 8 386 1.003 0 0.4791 -0.0614 1.2281 0.9285 -0.2235 14.2875 0.9039 0.0252 2.6756 -0.0092 0.3087 1
18 9 509 1.0045 0 0.6731 -0.0367 0.7968 0.9896 -0.0033 3.3606 0.9251 0.0246 3.0041 0.1103 0.2687 0
18 10 408 1.0037 0 0.9181 -0.011 1.1534 0.9695 -0.1716 6.3205 0.9267 -0.1071 2.6738 0.0125 0.2889 1
18 11 456 1.0055 0 0.8132 -0.1406 0.8713 0.984 -0.3226 2.6562 0.905 -0.331 2.5199 0.0788 0.2882 0
18 12 402 1.0023 0 0.9101 0.0461 0.9297 0.9879 -0.2115 3.4414 0.9014 -0.1174 2.4194 0.0472 0.2736 0
18 13 418 1.0067 0 0.8569 0.0702 0.9195 0.9904 -0.034 2.6102 0.9027 -0.021 2.4097 0.0573 0.2632 0
18 14 393 1.006 0 0.9102 -0.0895 1.0787 0.9714 -0.3339 5.5555 0.8939 -0.2135 2.7234 0.0052 0.3293 1
18 15 406 1.0022 0 0.9185 0.1408 0.9589 0.9887 -0.1579 2.4555 0.9228 -0.1192 2.342 0.0458 0.2736 0
18 16 429 1.0051 0 0.9044 -0.0587 1.0619 0.9819 -0.1742 8.1066 0.9228 -0.0876 2.4698 0.0827 0.2633 1
18 17 399 1.0045 0 0.9352 -0.1084 0.8273 0.9695 -0.0881 6.2453 0.9055 0.0426 2.4798 -0.0282 0.2983 1
18 18 403 1.006 0 0.7373 0.0353 0.8381 0.9813 -0.1812 3.1567 0.9144 -0.0695 2.6217 0.0025 0.2988 0
18 19 367 1.004 0 0.8564 -0.002 0.8681 0.9726 0.1461 5.5093 0.8979 0.0953 2.5937 -0.0345 0.3145 1
18 20 400 1.0031 0 0.9432 0.0028 0.9582 0.9768 0.1239 3.1685 0.924 0.0708 2.6725 0.0136 0.2887 0
18 21 448 1.0049 0 0.7771 -0.0888 1.0761 0.9851 -0.2095 5.5225 0.8897 -0.3315 2.7799 0.0751 0.3015 1
18 22 390 1.0038 0 0.8811 0.002 1.0622 0.949 0.1981 8.0334 0.9132 0.0555 2.312 -0.0401 0.2928 1
18 23 460 1.015 0 0.8835 -0.0591 0.9942 0.9717 0.0666 4.6905 0.9118 0.0638 2.5572 0.0231 0.3382 1
18 24 365 1.0075 0 0.7481 0.0099 1.2589 0.9795 -0.2821 3.0527 0.8777 -0.2598 2.6515 -0.1473 0.3449 0
