cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
5 1 1653 1.0029 0 0.9926 0.0568 1.4597 0.9621 0.0963 2.7964 0
5 2 1600 1.007 0 0.9662 -0.5564 2.5678 0.9555 -0.5291 2.2464 0
5 3 1632 1.0045 0 0.9938 0.3719 2.2122 0.9641 0.257 1.968 0
5 4 1684 1.01 0 0.9316 -0.1079 2.1984 0.9672 0.1091 2.1848 0
5 5 1648 1.0093 0 0.9814 -0.3401 1.3834 0.9597 -0.2573 1.876 0
5 6 1613 1.0032 0 0.9897 0.2828 1.6404 0.9544 0.2166 1.8242 0
5 7 1543 1.0058 0 0.9902 0.5995 2.3264 0.9606 0.5449 2.1703 0
5 8 1745 1.0056 0 0.9919 -0.2472 1.7832 0.9678 -0.1856 1.8873 0
5 9 1640 1.0067 0 0.9634 -0.0347 1.9504 0.954 0.0445 2.0486 0
5 10 1707 1.0015 0 0.9914 0.2907 1.3465 0.9596 0.3769 2.0756 0
5 11 1625 1.0046 0 0.9695 -0.4639 2.0989 0.9631 -0.3941 1.9231 0
5 12 1494 1.0071 0 0.9756 -0.56 2.721 0.9412 -0.5119 1.9915 0
5 13 1749 1.0095 0 0.9863 -0.5409 1.4655 0.9831 -0.5519 1.9735 0
5 14 1825 1.0042 0 0.9878 0.3406 1.093 0.9708 0.2978 1.8492 0
5 15 1603 1.0053 0 0.9886 0.229 2.1119 0.959 0.2609 2.2118 0
5 16 1584 1.0078 0 0.9941 0.2124 1.8367 0.9617 0.1596 2.1429 0
5 17 1752 1.0027 0 0.9848 0.0792 1.1082 0.9757 0.0746 1.869 0
5 18 1606 1.005 0 0.9791 0.3763 1.829 0.946 0.3026 1.7861 0
5 19 1399 1.0058 0 0.88 -0.4846 3.2186 0.9209 0.0811 2.2001 0
5 20 1793 1.0026 0 0.9937 0.3492 1.8611 0.9628 0.3536 2.2654 0
5 21 1730 1.0073 0 0.963 0.2925 2.6163 0.9677 0.1706 2.1059 0
5 22 1788 1.0056 0 0.9951 0.6753 1.2785 0.961 0.6209 2.4345 0
5 23 1616 1.0135 0 0.932 0.4711 2.9309 0.9721 0.3351 2.6775 0
5 24 1670 1.0082 0 0.993 -0.3235 1.7162 0.9672 -0.2679 2.0023 0
