cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
19 1 564 1.0059 0 0.9789 0.0121 1.9271 0.9585 0.0053 2.1661 -0.0475 0.218 0
19 2 536 1.0077 0 0.971 -0.0845 2.449 0.9515 -0.0717 1.8665 -0.0575 0.2028 0
19 3 709 1.0048 0 0.9879 -0.1371 1.2413 0.9578 -0.1601 2.2462 0.0201 0.2045 0
19 4 537 1.0129 0 0.9841 -0.0615 1.8547 0.9598 -0.0429 2.1999 -0.0835 0.2006 0
19 5 539 1.0105 0 0.9779 0.2401 1.9553 0.9551 0.177 2.3758 -0.0444 0.2231 0
19 6 625 1.0107 0 0.9872 0.0258 1.7462 0.965 -0.0198 2.2247 -0.0078 0.1912 0
19 7 585 1.0102 0 0.985 -0.1172 1.602 0.9625 -0.0972 2.0313 0.0024 0.2163 0
19 8 637 1.0103 0 0.9817 -0.2412 1.355 0.955 -0.2427 2.3806 0.0172 0.1957 0
19 9 921 1.002 0 0.9816 -0.0327 1.3017 0.9622 -0.0485 2.1332 0.0757 0.2004 0
19 10 631 1.0042 0 0.9805 0.0979 1.4608 0.96 0.1095 2.4209 -0.0108 0.1837 0
19 11 713 1.0067 0 0.9884 -0.1959 1.6052 0.9587 -0.1953 2.2327 0.0449 0.2017 0
19 12 555 1.005 0 0.9872 -0.013 1.4796 0.9565 -0.0165 2.464 -0.0328 0.2102 0
19 13 606 1.0051 0 0.9896 0.0042 1.2804 0.9634 0.0292 2.1516 7e-04 0.1907 0
19 14 601 1.0166 0 0.9843 0.1131 2.4644 0.9549 0.1255 2.0215 0.0182 0.2073 0
19 15 557 1.0074 0 0.9836 -0.1378 1.3469 0.9612 -0.1025 2.047 -0.0707 0.2091 0
19 16 718 1.0077 0 0.9877 -0.3073 2.0266 0.9548 -0.2762 2.4384 0.0433 0.2043 0
19 17 548 1.0061 0 0.9803 -0.1759 1.2286 0.9586 -0.1917 2.2318 -0.0455 0.2002 0
19 18 822 1.0041 0 0.9608 0.2898 2.8365 0.9578 0.1909 2.412 0.0498 0.1977 0
19 19 860 1.007 0 0.9823 -0.0332 1.5378 0.9596 -0.0743 2.7022 0.0808 0.1897 0
19 20 600 1.0119 0 0.9852 -0.0797 1.303 0.9552 -0.0844 2.4997 -0.0174 0.2056 0
19 21 553 1.0051 0 0.993 0.0468 1.8102 0.9544 0.0234 1.989 -0.0165 0.2206 0
19 22 637 1.0111 0 0.9854 -0.0067 1.5465 0.9623 -0.052 2.0741 -0.0185 0.2067 0
19 23 546 1.0043 0 0.9817 0.0074 1.8466 0.9606 0.0434 2.1127 -0.0477 0.2103 0
19 24 635 1.0119 0 0.9877 0.0472 1.7706 0.9591 0.0423 2.1836 -0.0062 0.1902 0
