cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
12 1 392 1.0019 0 0.8559 1.1774 3.4561 0.9899 0.9 1.35 0
12 2 428 1.0071 0 0.948 0.3269 2.8949 0.9882 0.273 1.4152 0
12 3 408 1.0079 0 0.964 -0.3832 3.0258 0.9897 -0.347 1.2828 0
12 4 408 1.0092 0 0.9121 0.3526 3.0202 0.9638 0.2465 1.3563 0
12 5 405 1.0079 0 0.947 0.0018 2.4208 0.977 -0.0265 1.0937 0
12 6 421 1.0055 0 0.9604 0.5734 2.7051 0.9896 0.5487 1.4644 0
12 7 413 1.006 0 0.9279 -0.0023 2.7502 0.98 -0.0168 1.2438 0
12 8 406 1.0017 0 0.9208 -0.18 2.697 0.9834 -0.123 1.2082 0
12 9 435 1.0036 0 0.8663 0.2628 3.005 0.984 0.1989 1.321 0
12 10 422 1.0026 0 0.9267 -0.1463 2.7434 0.991 -0.0412 1.5757 0
12 11 409 1.0121 0 0.8722 -0.3708 3.2686 0.9502 -0.2221 1.2511 0
12 12 412 1.0164 0 0.9622 0.0285 2.1954 0.9914 0.095 1.3281 0
12 13 418 1.0165 0 0.9188 0.0693 3.0612 0.9475 0.081 1.3008 0
12 14 397 1.005 0 0.9296 0.0477 2.9993 0.9881 -0.0494 1.2509 0
12 15 424 1.0026 0 0.9465 0.0302 2.8513 0.9795 -0.024 1.2238 0
12 16 422 1.0029 0 0.9381 0.3474 2.9884 0.9824 0.3479 1.3396 0
12 17 391 1.0033 0 0.8678 -0.1997 3.208 0.9868 -0.0114 1.2316 0
12 18 405 1.0073 0 0.9009 0.5388 3.0647 0.9658 0.4092 1.4657 0
12 19 407 1.011 0 0.957 -0.0237 2.6974 0.9946 -0.0134 1.2733 0
12 20 389 1.007 0 0.9063 -0.1062 3.0061 0.9523 -0.0298 1.1701 0
12 21 474 1.0129 0 0.9356 0.0502 3.0085 0.9794 0.102 1.5592 0
12 22 422 1.0162 0 0.9175 0.1268 3.2896 0.967 8e-04 1.2466 0
12 23 439 1.004 0 0.919 0.1495 2.8504 0.9904 0.0377 1.1639 0
12 24 408 1.0085 0 0.9578 0.405 2.8478 0.9786 0.4034 1.3741 0
