cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
13 1 1150 1.0055 0 0.3972 0.0786 1.8091 0.9499 0.2274 8.2647 0.96 0.0509 2.325 1
13 2 1247 1.0052 0 0.8493 0.0315 1.9139 0.9936 -0.467 4.7461 0.9814 -0.4946 2.6742 1
13 3 1155 1.005 0 0.5811 0.0053 3.0091 0.8994 0.3238 9.6897 0.9084 0.3248 1.7818 1
13 4 1110 1.0037 0 0.4315 0.1289 2.7003 0.932 0.5017 10.3917 0.9571 0.464 2.4028 1
13 5 1137 1.0068 0 0.3447 0.0172 3.711 0.9347 0.875 9.7013 0.9367 0.5375 2.7991 1
13 6 1033 1.0094 0 0.6057 -0.1745 1.7846 0.9836 0.1591 8.5264 0.9787 0.4396 2.0602 1
13 7 1101 1.0049 0 0.7507 -0.1722 2.0803 0.8468 0.1907 26.3698 0.9724 -0.0438 2.2304 1
13 8 1107 1.0065 0 0.5864 -0.1278 2.9207 0.9332 0.1514 27.9122 0.8614 0.3801 1.819 1
13 9 1116 1.0028 0 0.4015 0.0203 2.7413 0.8696 0.27 19.9006 0.9224 0.2107 2.9497 1
13 10 1212 1.0017 0 0.8746 0.131 2.8287 0.9055 0.3829 13.1222 0.908 0.314 2.1032 1
13 11 1250 1.0028 0 0.7358 0.0853 3.5169 0.9282 0.8227 29.9638 0.9264 0.195 2.1046 1
13 12 1183 1.0036 0 0.678 -0.1309 2.0176 0.9755 -0.1064 7.416 0.9703 -0.1246 2.4649 1
13 13 1060 1.0057 0 -0.4062 -0.1214 2.1094 0.9283 -0.6759 10.63 0.9286 -0.6686 3.239 1
13 14 1137 1.0042 0 0.7264 -0.094 2.1411 0.9735 0.2271 9.9059 0.9644 0.4031 3.031 1
13 15 1092 1.004 0 0.4533 -0.0086 2.019 0.9523 0.5144 13.5646 0.9597 0.2754 2.2797 1
13 16 1066 1.0044 0 0.535 0.0896 1.8006 0.95 -0.2413 8.078 0.9617 -0.1852 2.5505 1
13 17 1055 1.0041 0 -0.0071 0.1269 2.8107 0.9138 0.0441 9.5537 0.8816 0.0135 2.1483 1
13 18 1228 1.0032 0 0.9216 0.0288 1.9567 0.9558 -0.2568 4.527 0.9835 -0.2324 2.8737 1
13 19 1194 1.0044 0 0.6517 0.0346 2.0939 0.9769 -0.6512 4.5818 0.9814 -0.7027 2.7501 1
13 20 1017 1.0039 0 0.5547 0.0328 2.5185 0.95 0.1366 10.7252 0.9352 0.123 2.0129 1
13 21 1135 1.0082 0 0.7026 0.0126 2.4256 0.9058 -0.4748 13.3846 0.9193 -0.3833 2.1387 1
13 22 1065 1.0069 0 0.7189 -0.0902 2.0492 0.9726 -0.4461 5.7572 0.9378 -0.5098 2.6786 1
13 23 1065 1.0027 0 0.4295 -0.0263 2.0576 0.9826 -0.2351 11.445 0.9581 -0.1885 2.2191 1
13 24 1075 1.0074 0 0.8258 0.0561 1.5457 0.9859 0.1432 5.3534 0.9766 0.1908 2.5615 1
