cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
13 1 349 1.0038 0 0.6446 -0.1387 0.8952 0.985 -0.2584 3.6619 0.8577 -0.2588 3.3784 0.1351 0.3026 0
13 2 288 1.0056 0 0.7828 -0.0205 0.8979 0.988 0.0026 2.9635 0.8949 -0.0276 2.7561 -0.0645 0.3307 0
13 3 314 1.0021 0 0.718 -0.1761 0.8592 0.9801 0.0302 3.34 0.9038 -0.0508 2.7621 0.0636 0.3044 0
13 4 279 1.007 0 0.8779 0.0022 0.9148 0.9815 0.093 4.9117 0.8931 0.1326 2.5505 -0.0202 0.3165 1
13 5 272 1.0033 0 0.7952 -0.0971 1.1247 0.9721 -0.4078 2.7363 0.8793 -0.3858 2.5485 -0.1885 0.3486 0
13 6 286 1.0038 0 0.2602 0.1377 0.8631 0.9891 -0.1439 1.9377 0.9186 -0.1125 2.6479 -0.0041 0.3021 0
13 7 280 1.0025 0 0.4409 -0.1385 0.8502 0.9892 0.1266 2.997 0.905 0.1126 2.6152 -0.0443 0.3284 0
13 8 274 1.0083 0 0.8648 0.1101 1.0212 0.9766 0.0284 2.7734 0.9044 -0.0016 2.5153 -0.0407 0.2989 0
13 9 307 1.0035 0 0.424 0.0334 1.0056 0.9876 0.0316 1.8723 0.9007 0.0111 2.7379 0.0499 0.2951 0
13 10 284 1.0027 0 0.6361 0.0692 1.1665 0.9572 0.11 2.6276 0.8765 0.0095 2.7342 -0.0376 0.3362 0
13 11 385 1.003 0 0.7893 -0.0599 0.8454 0.9851 0.3235 3.489 0.9033 0.2076 2.8396 0.1306 0.2918 0
13 12 286 1.0052 0 0.8079 -0.1468 0.8852 0.9874 0.222 3.147 0.8866 0.2708 2.9249 0.0097 0.3463 0
13 13 289 1.0015 0 0.6829 0.0337 0.8753 0.9477 -0.0227 7.1332 0.8789 -0.1351 2.6202 0.0102 0.3084 1
13 14 284 1.0024 0 0.8064 0.0613 0.9239 0.9803 -0.1843 3.2851 0.9032 -0.1548 2.4165 -0.0991 0.3323 0
13 15 302 1.004 0 0.8616 -0.0143 1.0557 0.9744 0.2759 3.585 0.8651 0.2976 2.5294 -0.0036 0.3295 0
13 16 297 1.0052 0 0.3733 -0.1031 0.9173 0.9701 -0.1834 2.7449 0.839 -0.1352 3.0865 0.064 0.3543 0
13 17 272 1.0015 0 0.9022 -0.0586 1.0944 0.9805 0.2665 5.7368 0.8803 0.1079 2.4704 -0.1435 0.3454 1
13 18 286 1.0028 0 0.8554 0.0057 1.0379 0.9718 0.2417 5.9956 0.8968 0.0517 2.6725 0.0022 0.3083 1
13 19 270 1.0033 0 0.7791 0.0329 1.001 0.9913 0.1669 3.0017 0.8875 0.0556 2.6941 -0.1098 0.3472 0
13 20 292 1.0033 0 0.9533 -0.094 1.0229 0.9939 -0.0403 4.052 0.8925 -0.0019 2.6203 -0.0619 0.3324 1
13 21 313 1.0047 0 0.7901 -0.1417 0.8756 0.9802 -0.104 2.6165 0.8823 -0.3257 2.861 0.0734 0.3596 0
13 22 323 1.0035 0 0.6869 -0.1641 0.8838 0.9831 -0.0279 2.2516 0.9118 -0.0084 2.739 0.0367 0.305 0
13 23 277 1.0068 0 0.8054 -0.0807 0.826 0.9564 -0.01 5.2411 0.8356 -0.1427 2.7371 -0.0679 0.414 1
13 24 273 1.0031 0 0.842 0.0374 0.9538 0.9955 -0.139 3.7761 0.8994 -0.0555 2.5592 -0.0887 0.3107 0
