cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
13 1 972 1.0069 0 0.9447 -0.0157 2.8173 0.9903 -0.0666 1.2768 0
13 2 1022 1.0168 0 0.9692 0.0738 1.7972 0.9934 0.0721 1.2239 0
13 3 1079 1.003 0 0.9612 0.0625 2.3181 0.9669 0.0876 1.0596 0
13 4 952 1.0025 0 0.9418 -0.3059 2.7455 0.9875 -0.2795 1.35 0
13 5 931 1.0092 0 0.9286 -0.0909 3.1035 0.9894 -0.2302 1.398 0
13 6 1055 1.0057 0 0.9773 0.2094 2.2069 0.9884 0.2469 1.1426 0
13 7 992 1.0061 0 0.9594 -0.3904 3.0598 0.9685 -0.282 1.229 0
13 8 984 1.0174 0 0.9603 0.1293 2.849 0.9445 0.1359 1.2086 0
13 9 934 1.0036 0 0.9381 -0.1516 2.8208 0.9687 -0.15 1.2132 0
13 10 978 1.0036 0 0.965 -0.1356 2.6123 0.9796 -0.0994 1.2139 0
13 11 1003 1.0057 0 0.9799 -0.1572 2.603 0.9829 -0.1911 1.2074 0
13 12 968 1.0242 0 0.9578 -0.3614 2.633 0.9847 -0.3629 1.1961 0
13 13 1035 1.0072 0 0.9633 0.2216 2.36 0.9767 0.1774 1.2886 0
13 14 984 1.0129 0 0.9615 0.0701 2.6827 0.9819 0.099 1.2308 0
13 15 978 1.0068 0 0.9179 -0.3551 3.1165 0.9823 -0.3041 1.1966 0
13 16 1005 1.0017 0 0.9815 0.0364 1.9574 0.9842 0.0106 1.2783 0
13 17 1002 1.006 0 0.914 -0.1296 2.8154 0.9752 -0.0413 1.1254 0
13 18 943 1.0151 0 0.9574 0.1924 2.7401 0.9921 0.1798 1.345 0
13 19 1060 1.0039 0 0.9457 0.1977 2.5091 0.9925 0.1662 1.3544 0
13 20 972 1.0075 0 0.9839 0.3832 2.1321 0.9835 0.3532 1.1865 0
13 21 1017 1.007 0 0.9671 -0.2693 2.3657 0.9817 -0.2619 1.1946 0
13 22 1011 1.0069 0 0.9467 -0.2436 2.4008 0.9867 -0.2089 1.186 0
13 23 1059 1.0069 0 0.9763 -0.2061 2.4798 0.9912 -0.1341 1.2232 0
13 24 937 1.0157 0 0.9542 -0.2196 2.635 0.9955 -0.1773 1.2501 0
