cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
15 1 649 1.0042 0 0.9883 -0.2639 2.0684 0.9367 -0.2289 2.2505 -0.0372 0.1834 0
15 2 714 1.0058 0 0.9898 0.0164 1.0147 0.9508 0.0389 2.5328 -0.009 0.1661 0
15 3 813 1.0022 0 0.9891 -0.1215 1.9487 0.9505 -0.1166 2.4041 0.0225 0.1677 0
15 4 710 1.009 0 0.981 0.1036 0.9085 0.9529 0.0989 2.622 -0.0333 0.1748 0
15 5 688 1.0036 0 0.9907 0.0135 1.091 0.9472 -0.0264 2.2621 -0.0197 0.1809 0
15 6 802 1.0018 0 0.987 -0.0588 1.0994 0.9448 -0.0623 2.6578 0.0079 0.1816 0
15 7 612 1.0045 0 0.9929 -0.0653 1.3546 0.9477 -0.0471 2.3282 -0.0494 0.1803 0
15 8 650 1.0053 0 0.9933 -0.0148 1.2361 0.9431 -0.0141 2.6019 -0.025 0.1803 0
15 9 832 1.006 0 0.9885 -0.0786 1.4037 0.9466 -0.0481 2.6216 -0.005 0.1727 0
15 10 958 1.0036 0 0.991 -0.0116 1.2682 0.9516 -0.0055 2.6669 0.0927 0.1529 0
15 11 673 1.0101 0 0.987 -0.1119 1.6953 0.948 -0.1098 2.4572 -0.0319 0.1714 0
15 12 607 1.0071 0 0.9918 -0.043 1.4127 0.9387 -0.0395 2.171 -0.1266 0.1824 0
15 13 626 1.0047 0 0.9914 -0.0704 1.0591 0.9416 -0.0331 2.3849 -0.0467 0.1853 0
15 14 612 1.009 0 0.9917 0.0629 1.6301 0.9457 0.0286 2.1986 -0.0505 0.1728 0
15 15 629 1.0034 0 0.9706 0.1461 2.4014 0.94 0.0937 2.4376 -0.0266 0.1806 0
15 16 677 1.0036 0 0.9851 0.0091 1.4429 0.9509 0.0097 2.6374 -0.006 0.1693 0
15 17 936 1.0046 0 0.9852 0.0961 1.1061 0.9453 0.064 2.8578 0.0954 0.1684 0
15 18 734 1.0055 0 0.9906 -0.1354 1.4353 0.945 -0.1495 2.5654 -0.0145 0.1653 0
15 19 602 1.0074 0 0.99 0.0684 2.0808 0.9428 -0.0079 2.4759 -0.0682 0.1884 0
15 20 926 1.0052 0 0.9922 0.0114 1.9622 0.9542 0.0101 2.2199 0.0626 0.1553 0
15 21 791 1.0041 0 0.9922 -0.0167 1.3449 0.9551 0.0087 2.3641 0.023 0.1646 0
15 22 882 1.0031 0 0.9881 0.078 1.7695 0.9509 0.0541 2.094 0.0512 0.1687 0
15 23 760 1.0075 0 0.9884 -0.0133 1.3617 0.9459 -9e-04 2.192 0.0193 0.1802 0
15 24 693 1.004 0 0.9876 0.0363 1.4854 0.9508 0.0285 2.4519 -0.0121 0.1674 0
