cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
18 1 296 1.0155 0 0.971 0.0939 2.607 0.9581 0.0294 2.0389 -0.0171 0.2812 0
18 2 287 1.0046 0 0.9655 0.1554 2.834 0.9675 0.1286 1.8529 -0.0471 0.2629 0
18 3 318 1.0153 0 0.9727 0.1757 1.9036 0.9605 0.1142 2.3918 -0.0167 0.256 0
18 4 326 1.0057 0 0.9752 -0.0807 2.1968 0.9629 -0.0976 1.9179 0.0229 0.272 0
18 5 264 1.0067 0 0.9674 -0.0163 1.8703 0.9549 -0.0576 2.0372 -0.1461 0.2957 0
18 6 325 1.0065 0 0.9788 0.2248 2.1648 0.9541 0.1916 1.9408 -0.0263 0.2883 0
18 7 331 1.0022 0 0.972 0.0953 2.0898 0.9531 0.0811 2.2024 0.0248 0.263 0
18 8 332 1.0136 0 0.9661 -0.3807 2.4745 0.9481 -0.3027 1.9573 0.0713 0.2784 0
18 9 372 1.0019 0 0.9728 0.3642 2.2984 0.97 0.2876 2.2022 0.0345 0.2598 0
18 10 274 1.0017 0 0.9757 -0.1384 2.6807 0.9513 -0.2178 2.0255 -0.0659 0.2889 0
18 11 332 1.0045 0 0.9615 0.2611 1.9048 0.9485 0.2305 2.3707 0.0284 0.2817 0
18 12 339 1.0037 0 0.9846 -0.1273 2.2974 0.9638 -0.1233 2.0317 0.0823 0.25 0
18 13 352 1.0183 0 0.9804 -0.1159 1.6896 0.9633 -0.1011 2.4683 0.0754 0.2438 0
18 14 292 1.0055 0 0.9561 0.1338 1.9359 0.9631 0.0807 2.0996 -0.0289 0.2719 0
18 15 311 1.004 0 0.9706 -0.1096 1.4621 0.9716 -0.0808 2.2714 0.0152 0.2501 0
18 16 483 1.0101 0 0.9832 0.1251 2.215 0.9628 0.1207 2.2866 0.1331 0.2381 0
18 17 338 1.0064 0 0.9739 0.3195 1.6025 0.9623 0.3264 2.1497 0.0109 0.2684 0
18 18 392 1.0054 0 0.9726 0.149 2.1264 0.9634 0.1332 2.1614 0.0365 0.262 0
18 19 304 1.0017 0 0.9791 0.0034 1.9275 0.9558 -0.0364 2.2174 0.0127 0.2613 0
18 20 381 1.0128 0 0.9676 -0.0985 1.7695 0.9588 -0.0992 2.858 0.021 0.2767 0
18 21 317 1.0158 0 0.9606 -0.4115 3.0117 0.9624 -0.3328 2.2699 0.0419 0.2696 0
18 22 315 1.0018 0 0.9702 -0.1194 1.8374 0.9552 -0.1139 1.8766 0.0105 0.2594 0
18 23 315 1.0072 0 0.9659 -0.115 2.0351 0.9493 -0.1445 2.2807 -0.0041 0.2927 0
18 24 296 1.0155 0 0.9504 0.2053 2.6435 0.9561 0.1282 2.0544 -0.0546 0.2982 0
