cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
12 1 136 1.0035 0 0.9224 0.0024 1.65 0.9558 -6e-04 2.6303 0.0341 0.3483 0
12 2 125 1.0059 0 0.9482 0.253 1.7231 0.9287 0.2407 2.1091 -0.0713 0.3906 0
12 3 130 1.0019 0 0.9629 -0.0651 2.086 0.9466 -0.0915 2.2031 -0.0156 0.3566 0
12 4 137 1.0026 0 0.9497 -0.0413 2.137 0.9528 -0.0608 2.2072 0.0431 0.3351 0
12 5 203 1.002 0 0.9199 -0.1854 1.93 0.9394 -0.1409 2.7425 0.1188 0.396 0
12 6 135 1.004 0 0.9583 0.0156 1.847 0.9595 0.0669 2.2475 0.0122 0.3472 0
12 7 127 1.0079 0 0.9228 0.2034 2.5593 0.9475 0.1466 2.2005 0.0015 0.3315 0
12 8 124 1.0028 0 0.9502 0.2119 2.7715 0.9372 0.1351 2.0517 -0.0805 0.3737 0
12 9 134 1.0083 0 0.9447 0.2616 2.9474 0.957 0.1743 1.8675 0.0334 0.3755 0
12 10 119 1.0019 0 0.9371 -0.1709 2.5553 0.9469 -0.1112 2.0628 -0.267 0.4351 0
12 11 139 1.0036 0 0.9718 0.0645 2.1268 0.938 0.0373 2.3226 0.0492 0.3401 0
12 12 131 1.0101 0 0.9457 -0.0541 2.6202 0.9515 -0.0874 2.3402 0.0393 0.355 0
12 13 120 1.008 0 0.9264 -0.4613 2.2986 0.9242 -0.3737 2.179 -0.1295 0.4486 0
12 14 126 1.0048 0 0.9276 0.2086 2.6569 0.9313 0.1763 1.9823 0.0038 0.4085 0
12 15 140 1.0054 0 0.9297 -0.3311 2.0884 0.9389 -0.313 2.6492 0.0488 0.3362 0
12 16 119 1.0036 0 0.9316 -0.3114 2.8099 0.9366 -0.2876 2.1142 -0.1293 0.423 0
12 17 123 1.002 0 0.9584 0.1598 2.3424 0.9503 0.2475 1.9265 -0.0845 0.3767 0
12 18 123 1.0025 0 0.955 -0.0787 2.2009 0.9509 -0.0927 2.2774 -0.0577 0.3549 0
12 19 126 1.0036 0 0.9455 0.0295 2.2167 0.9456 0.1358 2.2615 -0.043 0.3522 0
12 20 119 1.0081 0 0.9591 0.0588 2.6743 0.947 0.0811 2.1848 -0.1393 0.4046 0
12 21 130 1.0075 0 0.9415 0.2237 3.0645 0.9519 -0.0413 2.3682 -0.0318 0.4185 0
12 22 126 1.0042 0 0.9382 -0.0776 2.7674 0.9509 -0.0804 2.2085 -0.0504 0.3437 0
12 23 197 1.0033 0 0.9489 -0.2302 1.8899 0.9539 -0.2883 2.6548 0.1371 0.3491 0
12 24 132 1.0034 0 0.9568 -0.0515 2.93 0.9377 -0.0816 1.9517 0.016 0.3745 0
