cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
17 1 222 1.0039 0 0.5883 -0.1521 1.3603 0.9555 0.215 6.5262 0.9061 0.105 2.5139 -0.0342 0.3998 1
17 2 221 1.002 0 0.5966 -0.1293 1.1827 0.937 -0.4821 16.5268 0.8096 -0.3489 2.7976 -0.0052 0.4334 1
17 3 203 1.005 0 0.8043 0.0044 1.2468 0.9359 0.4247 15.7924 0.9177 0.0953 2.4494 -0.1926 0.4675 1
17 4 257 1.0098 0 0.8783 -0.0937 1.1978 0.9822 0.3442 7.0097 0.9109 0.1912 2.4788 0.0653 0.3784 1
17 5 223 1.0073 0 0.6341 0.0464 1.5269 0.9496 -0.0484 7.4647 0.9236 -0.1353 2.2268 -0.0334 0.3971 1
17 6 234 1.0045 0 0.4441 -7e-04 1.0566 0.9705 0.0404 10.1348 0.9066 -0.0429 2.8112 0.0494 0.3778 1
17 7 246 1.0029 0 0.5129 -0.0699 1.2173 0.983 0.2941 3.5811 0.9281 0.2327 2.5136 0.0586 0.3801 0
17 8 281 1.0044 0 0.7138 -0.0109 1.2426 0.9647 0.5241 6.5855 0.8872 0.3939 2.8303 0.0668 0.4139 1
17 9 238 1.0029 0 0.937 0.087 1.5707 0.9578 0.1606 5.406 0.9453 0.1819 2.5411 -0.0026 0.3906 1
17 10 224 1.0017 0 0.6823 -0.1036 1.1366 0.9592 0.0014 4.433 0.8942 0.0652 2.4841 0.0154 0.3728 1
17 11 213 1.0012 0 0.5768 -0.0324 1.1366 0.9732 0.0935 5.9069 0.8595 0.1666 2.4494 -0.0773 0.4171 1
17 12 324 1.0019 0 0.8666 0.1161 1.1253 0.9716 -0.215 5.1103 0.9576 -0.0738 2.6281 0.157 0.3313 1
17 13 232 1.0017 0 0.8976 0.1798 1.2009 0.9788 0.0957 6.3142 0.9137 0.0706 2.5705 0.023 0.3487 1
17 14 217 1.0033 0 0.644 -0.0017 1.395 0.9603 0.4886 14.0416 0.9003 0.2602 2.5777 0.0046 0.3982 1
17 15 261 1.0049 0 0.812 -0.1197 1.1179 0.9394 0.1724 8.4752 0.9195 0.1746 2.613 0.0451 0.3731 1
17 16 212 1.0079 0 0.8173 0.3232 1.2002 0.9711 0.2084 2.4059 0.9144 0.2896 2.35 -0.1113 0.3823 0
17 17 208 1.0015 0 0.7465 0.0936 1.3126 0.9621 0.1224 5.7533 0.9015 0.0086 2.3764 -0.2617 0.4757 1
17 18 253 1.0041 0 0.7717 0.0454 1.2462 0.9868 0.034 3.9642 0.9127 -0.0091 2.5095 0.0258 0.3665 0
17 19 235 1.0063 0 0.5629 0.0329 1.0232 0.9844 -0.2168 4.7314 0.9252 -0.1775 2.5516 0.0486 0.3871 1
17 20 248 1.0037 0 0.5731 -0.1574 1.1924 0.9633 -0.0138 5.8556 0.8527 0.0412 2.6676 -0.0036 0.4484 1
17 21 229 1.0049 0 0.7178 0.1004 1.1522 0.9596 -0.2092 2.7582 0.9099 -0.2031 2.4231 0.0064 0.3794 0
17 22 225 1.0047 0 0.7132 -4e-04 1.3383 0.9636 -0.0969 4.2465 0.8953 -0.0742 2.5223 0.0063 0.3978 1
17 23 241 1.0043 0 0.8557 -0.2244 1.0309 0.97 -0.3848 7.3734 0.8848 -0.3923 2.5935 -0.0292 0.4583 1
17 24 266 1.0058 0 0.6432 -0.175 1.0235 0.9545 -0.3296 9.5848 0.9283 -0.2673 2.613 0.1041 0.3372 1
