cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
2 1 151 1.0026 0 -0.7638 0.0569 2.8984 0.8947 0.3483 8.5813 0.9107 0.6065 4.3017 1
2 2 205 1.0063 0 0.9822 0.4644 6.2982 0.9383 1.0744 4.5635 0.9602 0.9463 4.1667 1
2 3 139 1.0023 0 0.9044 0.0467 3.2883 0.8744 -0.141 14.8158 0.7243 0.1815 3.7731 1
2 4 163 1.0014 0 0.7302 0.2481 3.8726 0.9297 -1.0768 9.0925 0.8391 -1.016 4.0221 1
2 5 161 1.0008 0 0.9959 0.02 3.3426 0.9521 0.1014 9.9036 0.7205 0.7228 4.3876 1
2 6 159 1.001 0 0.8217 -0.1668 2.97 0.9702 0.4838 8.4118 0.8862 0.8433 3.8909 1
2 7 151 1.0048 0 0.8235 0.2726 4.4842 0.8934 0.7753 5.949 0.9012 0.4019 3.8386 1
2 8 158 1.0014 0 0.2457 0.1811 2.4397 0.9871 -0.1272 4.7037 0.8762 -0.0988 4.8486 1
2 9 173 1.0045 0 0.2486 0.0514 2.8248 0.9346 0.2326 10.1613 0.8571 0.5517 4.1962 1
2 10 162 1.0014 0 0.8426 0.1687 2.6783 0.9065 0.832 4.3686 0.8694 0.9803 3.8724 1
2 11 156 1.0032 0 -0.7426 -0.2928 3.6023 0.9614 0.121 16.7151 0.4698 0.4022 3.9036 1
2 12 171 1.0022 0 0.9979 -0.1056 3.9109 0.9826 -0.3644 7.015 0.901 -0.4336 4.7477 1
2 13 146 1.0023 0 0.9992 0.201 2.81 0.9727 -0.4601 8.7387 0.8812 -0.1469 3.7619 1
2 14 173 1.0013 0 0.9986 -0.2701 3.1478 0.9588 0.2348 9.8732 0.9133 0.5625 4.3641 1
2 15 160 1.0016 0 0.821 -0.2256 2.226 0.9927 0.4971 8.7821 0.8681 1.1247 5.4609 1
2 16 159 1.0031 0 0.5397 -0.0114 3.0539 0.9421 0.4701 9.7866 0.8983 0.1916 4.3958 1
2 17 154 1.0028 0 0.8577 -0.1496 2.5746 0.9933 -0.3241 6.5021 0.9248 -0.2865 4.2164 1
2 18 155 1.0046 0 0.956 0.2545 3.9746 0.8863 -0.7839 10.7446 0.944 -0.7805 3.9548 1
2 19 159 1.0024 0 0.6068 0.0246 3.1785 0.9502 0.6696 7.7592 0.8297 0.8353 3.9241 1
2 20 173 1.0024 0 0.9808 -0.0188 3.4969 0.9604 -0.4615 22.1999 0.9605 0.3775 3.2089 1
2 21 156 1.0016 0 0.9806 -0.0507 2.5604 0.9249 0.0529 5.5382 0.8739 0.3713 5.3618 1
2 22 147 1.0057 0 0.9899 0.1639 2.3986 0.9801 0.4275 3.7089 0.9312 0.6443 3.5566 1
2 23 162 1.0045 0 0.8979 -0.2244 2.2696 0.9857 0.4506 7.427 0.9331 0.4665 3.9543 1
2 24 232 1.0028 0 0.1224 0.0433 2.2238 0.9582 -0.4913 3.4683 0.9376 -0.5965 6.0304 1
