cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
9 1 388 1.0035 0 0.5293 -0.2002 0.635 0.9908 -0.2412 3.4307 0.7995 -0.072 3.6004 0.1315 0.2791 0
9 2 351 1.0025 0 0.9264 -0.045 0.813 0.994 -0.2447 1.5725 0.8913 -0.2782 2.9292 0.0127 0.244 0
9 3 340 1.0033 0 0.8979 0.0308 0.8804 0.9925 -0.2513 1.3093 0.8697 -0.2911 2.8587 -0.0461 0.2512 0
9 4 372 1.004 0 0.5546 -0.114 0.6961 0.9865 0.1182 1.6339 0.7827 0.2095 3.4602 0.0687 0.2925 0
9 5 413 1.007 0 0.9287 -0.0363 0.7688 0.9918 -0.0984 2.2662 0.8644 0.0524 2.8492 0.0495 0.2299 0
9 6 328 1.0038 0 0.8307 0.0091 0.6676 0.9954 -0.141 2.7167 0.7436 0.0064 3.3649 -0.009 0.3406 0
9 7 383 1.0085 0 0.7231 -0.0301 0.7027 0.9877 -0.04 2.4558 0.872 0.0498 2.8203 0.0412 0.2362 0
9 8 400 1.0038 0 0.907 -0.0594 0.8582 0.9765 -0.2775 5.3763 0.853 -0.074 3.2459 0.0776 0.2455 1
9 9 362 1.0074 0 0.3625 -0.1512 0.6627 0.9887 -0.2175 2.4291 0.783 -0.1195 3.35 0.0736 0.2829 0
9 10 362 1.0034 0 0.9333 -0.0161 0.6744 0.9974 -0.0716 2.1763 0.8515 -0.0541 3.0068 0.0713 0.2363 0
9 11 355 1.0019 0 0.7328 -0.1358 0.7136 0.9953 0.1989 3.4614 0.8159 0.0958 3.0311 0.0219 0.2848 0
9 12 319 1.0033 0 0.7811 -0.0752 0.8149 0.9853 -0.3132 4.7988 0.8064 -0.2074 3.0171 -0.0475 0.2806 1
9 13 350 1.0049 0 0.5845 -0.0129 0.7346 0.9876 0.0842 2.9954 0.8366 0.1251 3.1299 -0.0102 0.2956 0
9 14 347 1.0073 0 0.8403 0.0203 0.8425 0.9924 -0.074 1.9871 0.8739 -0.0349 2.8094 -0.063 0.2683 0
9 15 351 1.0032 0 0.7837 -0.0452 0.687 0.9931 0.022 2.5796 0.8561 0.0707 2.992 0.009 0.2643 0
9 16 328 1.0034 0 0.3889 -0.0663 0.6989 0.9828 -0.066 3.8039 0.7758 -0.1182 3.4354 -0.016 0.3561 0
9 17 360 1.0062 0 0.9763 -0.1256 0.7275 0.9856 -0.0579 4.2272 0.8534 -0.1362 3.1116 0.0736 0.2563 1
9 18 358 1.0029 0 0.5836 -0.0946 0.7549 0.9957 0.2406 2.0926 0.8566 0.1671 2.8459 0.0255 0.2379 0
9 19 342 1.0055 0 0.7627 0.0164 0.7297 0.9933 -0.0477 1.7232 0.8602 -0.055 3.295 0.0186 0.2824 0
9 20 338 1.0039 0 0.9575 -0.0871 0.8535 0.9877 0.0378 1.8909 0.8635 0.0101 2.8699 -0.0465 0.2829 0
9 21 355 1.0022 0 0.9456 0.1334 0.9833 0.9929 0.2429 3.2226 0.8494 0.0792 2.9305 0.0106 0.2665 0
9 22 364 1.0032 0 0.8492 -0.0766 0.7615 0.9924 -0.1512 2.074 0.856 -0.0756 3.0932 0.0194 0.2894 0
9 23 354 1.0035 0 0.6959 0.019 0.7529 0.9888 -0.1232 1.4863 0.8736 -0.1816 2.8636 0.0106 0.2496 0
9 24 329 1.0041 0 0.8992 0.0077 0.8461 0.9814 0.0684 2.8722 0.7798 0.0436 3.2166 -0.0596 0.3212 0
