cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
14 1 3062 1.0052 0 0.7442 -0.0136 1.9554 0.9843 -0.1863 12.2133 0.9615 -0.0596 2.8772 1
14 2 3006 1.0073 0 0.6628 -0.0203 1.8725 0.9796 0.4651 4.7919 0.9635 0.3859 3.1579 1
14 3 3430 1.0067 0 0.4267 -0.0318 2.082 0.9261 -0.7391 30.9672 0.9569 -0.1792 2.2201 1
14 4 3048 1.0039 0 0.5946 -0.1675 2.0409 0.9653 -0.3638 12.2247 0.9456 -0.2164 2.2017 1
14 5 2971 1.0062 0 0.9236 0.0062 1.9543 0.9917 -0.0243 4.3553 0.9488 0.0152 2.6536 1
14 6 3465 1.0155 0 0.8561 -0.1711 1.7578 0.9954 0.2304 5.1435 0.9798 0.1408 3.3399 1
14 7 2917 1.0084 0 0.5336 0.016 2.068 0.9615 -0.5701 8.6251 0.919 -0.4139 2.5163 1
14 8 3147 1.0053 0 0.8189 -0.0825 1.9316 0.992 0.3288 4.9268 0.9655 0.3355 3.1745 1
14 9 2929 1.0048 0 0.4722 0.0665 1.7846 0.9863 0.3235 5.4558 0.9682 0.3788 3.2082 1
14 10 3265 1.0028 0 0.7191 -0.0328 1.6147 0.9867 -0.3663 4.5892 0.9659 -0.495 2.737 1
14 11 3323 1.0064 0 0.7499 -0.0506 2.0804 0.9867 -0.4053 4.1531 0.9664 -0.3616 2.933 1
14 12 3289 1.0053 0 0.5957 -0.0112 1.7856 0.9033 -0.0496 11.3089 0.9685 0.2073 2.3312 1
14 13 3223 1.0081 0 0.8934 0.0286 2.1008 0.9697 -0.2285 6.6692 0.9749 -0.3365 2.5883 1
14 14 3558 1.0109 0 0.8857 0.0501 2.2214 0.9775 0.8426 6.1134 0.9301 0.8337 3.0596 1
14 15 3287 1.0025 0 0.8738 -0.0941 2.013 0.9809 -0.4988 5.2075 0.978 -0.563 3.3866 1
14 16 3309 1.0074 0 0.9432 -0.1644 2.0908 0.9869 -0.2669 4.7745 0.9767 -0.357 2.9417 1
14 17 3239 1.0053 0 0.698 0.0895 1.8792 0.9787 -0.1505 5.6675 0.9614 -0.0893 2.7779 1
14 18 3251 1.0087 0 0.9621 0.0146 1.9 0.9893 0.1099 6.4954 0.9631 0.1514 2.015 1
14 19 3104 1.0035 0 0.5702 -0.0345 1.6249 0.9849 0.0107 5.5301 0.9694 -0.0488 2.9453 1
14 20 3104 1.0094 0 0.8159 0.0308 1.7596 0.9887 -0.079 4.881 0.9692 -0.0616 2.7179 1
14 21 3177 1.0079 0 0.8978 -0.0575 1.8757 0.9905 -0.1388 7.1507 0.97 -0.0106 2.1797 1
14 22 3089 1.0043 0 0.7791 -0.0163 1.8243 0.9701 -0.5425 4.6808 0.958 -0.5407 3.4237 1
14 23 3860 1.0117 0 0.8663 0.0301 1.7088 0.9723 0.731 4.7563 0.9711 0.8446 3.653 1
14 24 2998 1.0043 0 0.8492 0.0551 1.933 0.9586 -0.1124 6.9736 0.9614 -0.1494 2.8246 1
