cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
19 1 4660 1.0024 0 0.9704 -0.086 2.5699 0.9866 -0.1209 1.0288 0
19 2 4483 1.0041 0 0.9815 -0.0677 2.0931 0.9912 -0.064 1.1958 0
19 3 4652 1.0124 0 0.9362 -0.2419 3.0233 0.9889 -0.29 1.0643 0
19 4 4592 1.0046 0 0.9569 0.2276 3.0627 0.9933 0.1872 1.0281 0
19 5 4663 1.0027 0 0.9812 -0.1701 2.3665 0.9913 -0.1943 1.0724 0
19 6 4537 1.0022 0 0.9707 -0.4269 2.9564 0.9937 -0.372 1.1316 0
19 7 4819 1.0071 0 0.9763 -0.11 2.3779 0.9942 -0.0825 1.0529 0
19 8 4579 1.0072 0 0.985 0.178 2.6357 0.9869 0.1276 1.1277 0
19 9 4638 1.0088 0 0.9834 0.3032 2.4144 0.9889 0.2966 1.2103 0
19 10 4349 1.0118 0 0.9837 -0.5151 2.5836 0.9899 -0.4812 1.0517 0
19 11 4535 1.0031 0 0.9659 0.5185 3.0652 0.9842 0.4601 1.155 0
19 12 4557 1.0082 0 0.9568 -0.1016 2.7262 0.9866 -0.115 1.0429 0
19 13 4487 1.0142 0 0.9755 0.2453 2.0183 0.9918 0.2281 1.0448 0
19 14 4576 1.0175 0 0.9735 0.1887 2.0083 0.992 0.2088 1.0576 0
19 15 4601 1.0241 0 0.9498 -0.1817 2.5585 0.992 -0.1151 1.0802 0
19 16 4619 1.0085 0 0.9736 0.0411 2.3966 0.9893 0.0213 1.1355 0
19 17 4642 1.0024 0 0.9454 -0.0293 2.9827 0.99 -0.0393 1.1113 0
19 18 4697 1.0155 0 0.9781 0.1053 2.1601 0.9892 0.0622 1.0602 0
19 19 4238 1.0025 0 0.9613 0.3762 2.4612 0.983 0.368 1.0276 0
19 20 4595 1.0127 0 0.9642 -0.0696 2.8751 0.9954 -0.106 1.1267 0
19 21 4461 1.0083 0 0.9481 0.3943 3.3402 0.9758 0.2835 1.172 0
19 22 4442 1.0088 0 0.9799 0.2402 1.6594 0.9921 0.2032 1.1466 0
19 23 4383 1.0119 0 0.9531 -0.0307 2.6232 0.9947 -0.0362 1.076 0
19 24 4718 1.0209 0 0.9819 0.1076 1.9676 0.9926 0.1192 1.1591 0
