cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
17 1 564 1.0116 0 0.9031 0.2707 3.0601 0.9823 0.3684 1.0175 0
17 2 579 1.0037 0 0.9107 -0.1596 3.2136 0.9705 -0.2807 1.127 0
17 3 563 1.0091 0 0.8594 -0.2002 3.2792 0.9609 -0.0682 1.0387 0
17 4 591 1.0092 0 0.9543 -0.2683 2.6475 0.9825 -0.2157 1.0495 0
17 5 580 1.0052 0 0.9354 -0.0222 2.8754 0.9894 -0.0103 1.2254 0
17 6 567 1.0081 0 0.9386 -0.3444 2.7803 0.9909 -0.2933 1.1746 0
17 7 577 1.0183 0 0.9077 -0.0794 3.3842 0.9642 -0.1075 1.3317 0
17 8 570 1.0051 0 0.907 -0.1867 3.0681 0.9695 -0.2317 1.1524 0
17 9 579 1.0128 0 0.9043 0.0949 3.2311 0.9841 0.1954 1.0698 0
17 10 583 1.0044 0 0.9422 -0.1858 2.7849 0.9914 -0.1488 1.3257 0
17 11 608 1.0092 0 0.95 -0.0115 3.0339 0.9921 0.0037 1.0391 0
17 12 636 1.0111 0 0.9409 -0.3806 3.2133 0.9865 -0.3249 1.4069 0
17 13 594 1.0081 0 0.9187 0.1844 2.1355 0.9945 0.2164 1.1956 0
17 14 571 1.0035 0 0.9456 -0.0265 2.038 0.9917 -0.0951 1.1118 0
17 15 581 1.0037 0 0.9148 -0.0537 2.5472 0.9888 -0.1079 1.1553 0
17 16 559 1.0115 0 0.9266 -0.1305 3.115 0.9886 0.0018 1.5179 0
17 17 581 1.0073 0 0.8831 -0.4133 3.3724 0.9622 -0.274 1.0803 0
17 18 547 1.0055 0 0.9316 0.1139 3.0888 0.9809 0.1108 1.1406 0
17 19 585 1.0075 0 0.953 -0.0944 2.8037 0.9869 -0.0472 1.0986 0
17 20 574 1.0036 0 0.8976 0.0731 2.7289 0.9829 -0.0179 1.0046 0
17 21 550 1.0042 0 0.8964 -0.0051 3.0269 0.9904 -0.1503 1.0718 0
17 22 591 1.0017 0 0.8999 0.0543 2.7659 0.98 0.0774 1.0332 0
17 23 603 1.0103 0 0.9234 0.1761 2.5199 0.9858 0.1304 1.569 0
17 24 514 1.0022 0 0.8815 0.2259 3.5738 0.9586 0.03 1.1831 0
