cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
11 1 99 1.0047 0 0.9117 0.1963 2.5382 0.9592 0.0574 2.7249 0.144 0.4487 0
11 2 58 1.0031 0 0.9213 -0.2198 2.2301 0.9484 -0.146 1.9384 -0.1344 0.5577 0
11 3 68 1.0045 0 0.8139 0.0698 2.6206 0.956 -0.0819 2.3262 0.0111 0.4799 0
11 4 78 1.0046 0 0.8586 -0.2378 2.4059 0.9484 -0.1902 2.2999 0.0397 0.4843 0
11 5 47 1.0094 0 0.9061 0.0862 2.5819 0.9156 0.0347 2.2201 -0.2827 0.6708 0
11 6 69 1.0061 0 0.8616 0.1664 2.4478 0.955 0.1258 2.1515 -0.0086 0.5345 0
11 7 67 1.0077 0 0.916 -0.2221 2.6688 0.9499 -0.3185 2.26 -0.0461 0.5785 0
11 8 57 1.0048 0 0.8767 0.0855 2.0955 0.9357 -0.0297 1.7172 -0.2137 0.6169 0
11 9 90 1.011 0 0.9371 -0.0958 2.9227 0.9717 -0.0198 2.5247 0.0856 0.4742 0
11 10 66 1.005 0 0.8953 -0.3243 2.2916 0.9582 -0.2273 2.5262 -0.0026 0.4496 0
11 11 49 1.0037 0 0.8618 0.1182 2.6681 0.9388 0.1728 1.9768 -0.3871 0.5605 0
11 12 68 1.005 0 0.8795 0.0303 2.9392 0.915 -0.0504 2.3029 -0.0958 0.6587 0
11 13 97 1.0034 0 0.922 0.2539 2.9892 0.9353 0.1268 2.4824 0.1774 0.5006 0
11 14 54 1.004 0 0.9104 0.0719 2.7567 0.9486 0.0914 2.1837 -0.1562 0.5437 0
11 15 90 1.008 0 0.9142 -0.2426 2.695 0.9286 -0.3411 1.9941 0.0985 0.5612 0
11 16 64 1.0056 0 0.9135 -0.0857 2.6738 0.9509 -0.0773 2.3519 -0.0535 0.5761 0
11 17 64 1.0074 0 0.9245 -0.0038 2.8403 0.948 0.066 2.4124 0.0018 0.4763 0
11 18 56 1.0032 0 0.9367 -0.1797 2.7709 0.9026 -0.0782 1.6963 -0.1582 0.6732 0
11 19 60 1.0074 0 0.9272 -0.3374 2.6602 0.9446 -0.2681 1.9731 -0.1273 0.6209 0
11 20 101 1.0018 0 0.9036 0.1457 2.7883 0.9489 0.0847 1.9303 0.1503 0.4923 0
11 21 58 1.0036 0 0.8802 -0.281 2.9503 0.944 -0.1864 2.0223 -0.1347 0.603 0
11 22 58 1.002 0 0.9404 0.3135 2.7155 0.9349 0.4061 1.7814 -0.1239 0.6566 0
11 23 75 1.012 0 0.8963 0.0125 3.0612 0.921 -0.0645 1.9423 -0.0176 0.6085 0
11 24 65 1.0045 0 0.8911 0.1524 2.9083 0.9367 0.2297 2.4318 -0.0388 0.519 0
