cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
8 1 632 1.0031 0 0.961 0.2394 2.6142 0.9703 0.2509 1.5446 0
8 2 631 1.0044 0 0.9655 0.3173 2.064 0.989 0.309 1.402 0
8 3 603 1.0062 0 0.9558 -0.1309 2.0431 0.9431 -0.1189 1.3763 0
8 4 561 1.0071 0 0.9256 -0.3578 3.2097 0.9721 -0.2981 1.6416 0
8 5 595 1.0085 0 0.9612 0.0815 2.3222 0.9415 0.061 1.5731 0
8 6 567 1.0056 0 0.8914 0.5952 3.2416 0.9821 0.3448 1.4553 0
8 7 568 1.0034 0 0.9194 -0.1861 3.1886 0.9728 -0.1396 1.4329 0
8 8 604 1.0048 0 0.9685 -0.1016 2.8178 0.9732 -0.1442 1.6168 0
8 9 583 1.0038 0 0.9236 -0.5895 3.173 0.9843 -0.292 1.5164 0
8 10 577 1.0079 0 0.954 0.0742 2.8443 0.9551 0.0843 1.3813 0
8 11 640 1.0049 0 0.9398 -0.7097 2.9814 0.9824 -0.687 1.5326 0
8 12 594 1.0088 0 0.9554 0.3809 2.0948 0.9728 0.3449 1.5804 0
8 13 579 1.0042 0 0.9624 -0.1564 2.5436 0.9723 -0.1441 1.5104 0
8 14 603 1.0045 0 0.9446 -0.079 2.6366 0.9715 -0.1099 1.4638 0
8 15 612 1.002 0 0.9783 0.3965 1.8703 0.9666 0.3824 1.3635 0
8 16 596 1.0047 0 0.8716 -0.0094 3.3597 0.9827 0.1449 1.4571 0
8 17 590 1.003 0 0.9782 -0.4093 2.2034 0.9644 -0.471 1.4329 0
8 18 560 1.0111 0 0.9124 0.3945 3.0675 0.9543 0.3045 1.4446 0
8 19 522 1.0098 0 0.9177 -0.6901 3.009 0.9796 -0.6131 1.7001 0
8 20 639 1.0112 0 0.9489 -0.0217 1.8951 0.9319 0.0368 1.2205 0
8 21 619 1.0059 0 0.9634 -0.178 1.9951 0.9847 -0.1317 1.8137 0
8 22 631 1.0141 0 0.9511 -0.1433 2.283 0.976 -0.0937 1.4171 0
8 23 546 1.019 0 0.9645 0.1689 2.2737 0.9661 0.1005 1.3926 0
8 24 586 1.0106 0 0.9783 -0.5035 2.5291 0.9718 -0.4712 1.4619 0
