cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
14 1 598 1.0057 0 0.9379 -0.0372 0.6498 0.9935 0.0273 2.4185 0.8877 0.1054 2.9048 0.0411 0.2311 0
14 2 561 1.0025 0 0.7625 -0.0625 0.5846 0.9929 0.027 2.4098 0.8641 0.0115 2.8663 0.047 0.2365 0
14 3 572 1.0055 0 0.9335 -0.0571 0.6649 0.9957 -0.0669 1.5558 0.9084 -0.0434 2.6113 -0.0477 0.2536 0
14 4 519 1.0021 0 0.9574 0.0763 0.7872 0.9911 0.0645 1.5883 0.8722 0.0109 2.653 -0.0244 0.2415 0
14 5 530 1.0039 0 0.7438 0.0707 0.8848 0.9855 0.1349 2.2815 0.8757 0.079 2.6512 -0.1009 0.2578 0
14 6 559 1.0028 0 0.8097 -0.0783 0.7059 0.9941 -0.101 2.2841 0.8782 -0.0604 2.8395 0.0031 0.2468 0
14 7 506 1.0053 0 0.7931 -0.0886 0.6922 0.9951 -0.1564 2.2863 0.8649 -0.168 2.6626 -0.0946 0.2713 0
14 8 718 1.0051 0 0.926 -0.1129 0.7223 0.9958 -0.072 2.4647 0.9043 -0.0084 2.8511 0.0881 0.225 0
14 9 507 1.0097 0 0.5915 0.0029 0.7012 0.9883 -0.0387 2.2491 0.8804 0.0171 2.8112 -0.0929 0.2701 0
14 10 507 1.0041 0 0.8792 -0.0114 0.6842 0.9877 -0.0251 1.6625 0.8746 -0.0077 2.7344 -0.0368 0.2442 0
14 11 677 1.0048 0 0.8862 -0.1133 0.62 0.9912 -0.1288 1.6361 0.8965 -0.1279 2.7848 0.1061 0.2134 0
14 12 534 1.0038 0 0.8586 -0.0712 0.7824 0.9948 -0.044 2.2545 0.895 -0.0309 2.6798 -0.0368 0.2461 0
14 13 571 1.002 0 0.6838 0.0032 0.5718 0.9909 -0.0725 1.4443 0.9031 -0.0957 2.6873 0.0332 0.2172 0
14 14 594 1.007 0 0.8036 -4e-04 0.6898 0.9939 -0.1882 2.8134 0.9006 -0.1431 2.6716 0.0412 0.2057 0
14 15 544 1.0042 0 0.6942 0.1591 0.6947 0.9913 -0.1312 1.1328 0.9093 -0.1 2.6231 -0.0115 0.2345 0
14 16 507 1.0025 0 0.5504 -0.0157 0.6374 0.9861 -0.0684 2.2672 0.866 -0.0639 2.6793 -0.0475 0.2617 0
14 17 507 1.0045 0 0.8553 -0.0307 0.7226 0.9889 0.0111 1.6241 0.8883 0.0023 2.6427 -0.0645 0.2494 0
14 18 527 1.0049 0 0.8419 -0.045 0.6732 0.9949 0.077 3.0139 0.8748 -0.0071 2.5701 -0.0073 0.2363 0
14 19 516 1.004 0 0.8975 -0.0373 0.8131 0.9856 -0.1424 5.8999 0.8738 -0.068 2.7833 -0.0835 0.2868 1
14 20 505 1.0034 0 0.6059 0.2119 0.7041 0.9937 0.0636 1.3473 0.9088 0.0074 2.5467 -0.0801 0.237 0
14 21 544 1.0063 0 0.9119 0.0037 0.7267 0.9896 0.0328 2.0598 0.8749 0.0176 2.7083 -0.0173 0.2575 0
14 22 509 1.0046 0 0.922 -0.0675 0.818 0.981 -0.0908 3.1535 0.8672 -0.0503 2.577 -0.1337 0.254 0
14 23 611 1.0046 0 0.8871 -0.0952 0.6204 0.9942 -0.0241 1.8393 0.9088 -0.0368 2.693 0.0389 0.2347 0
14 24 514 1.0083 0 0.8774 0.0358 0.6233 0.9929 0.1444 2.0774 0.8792 0.1258 2.5676 -0.0301 0.2386 0
