cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
19 1 4624 1.0052 0 0.7211 -0.0458 2.1095 0.9512 -0.5894 6.2474 0.9581 -0.6981 2.1948 1
19 2 4849 1.0147 0 0.771 -0.051 1.6454 0.9878 0.5472 4.7807 0.982 0.4761 3.9686 1
19 3 4415 1.0059 0 0.9341 -0.1333 1.9106 0.9914 0.1448 4.8509 0.9802 0.1044 2.4038 1
19 4 4146 1.0043 0 0.785 -0.1306 1.5542 0.9959 -0.1351 7.109 0.982 -0.1402 2.4197 1
19 5 4380 1.0031 0 0.9645 0.1098 1.9052 0.9823 -0.5381 5.2938 0.9546 -0.5536 2.6487 1
19 6 4462 1.0059 0 0.7713 -0.1226 1.3819 0.9856 -0.106 3.7709 0.9875 -0.0399 2.3182 0
19 7 5163 1.0058 0 0.9271 -0.1233 1.9223 0.9922 0.034 2.5802 0.9819 -0.0107 2.3787 0
19 8 5034 1.0035 0 0.9068 0.0124 2.1817 0.9667 0.0163 7.131 0.9785 -0.0646 1.9108 1
19 9 4839 1.0113 0 0.9504 0.0339 2.2619 0.9823 0.4252 5.6054 0.972 0.3228 1.8938 1
19 10 4611 1.0076 0 0.9042 0.056 1.8166 0.972 0.1933 4.8804 0.9735 0.2273 2.0828 1
19 11 4623 1.0037 0 0.8144 -7e-04 1.7562 0.9828 -0.3132 6.4948 0.9696 -0.3156 1.9479 1
19 12 4638 1.0088 0 0.9168 0.0123 2.0716 0.9765 0.4781 4.0095 0.9696 0.4417 2.0024 1
19 13 4704 1.005 0 0.8881 0.0609 1.9879 0.9597 0.2617 8.1374 0.9675 0.1702 2.1478 1
19 14 4776 1.0067 0 0.8564 0.0355 2.0442 0.9885 0.3315 3.9366 0.9752 0.3133 3.1445 1
19 15 4290 1.0043 0 0.9035 -0.0823 1.5737 0.9846 0.1719 6.9857 0.9804 0.1333 2.3362 1
19 16 4856 1.0024 0 0.8152 -0.06 1.4678 0.9925 0.4334 4.5005 0.9815 0.4503 2.684 1
19 17 4810 1.0085 0 0.7796 0.0502 1.8356 0.9791 -0.8211 5.4757 0.9724 -0.6673 2.0643 1
19 18 4526 1.0082 0 0.6472 0.0411 1.6525 0.9811 -0.0783 4.0572 0.93 -0.0823 2.0132 1
19 19 4448 1.0075 0 0.787 0.0641 1.7967 0.9598 -0.0931 7.2229 0.9479 -0.103 1.8581 1
19 20 4563 1.0091 0 0.8834 0.0288 1.7994 0.9923 -0.0835 5.2114 0.9875 -0.036 2.9022 1
19 21 4113 1.005 0 0.2435 -0.0788 1.5971 0.9731 0.044 7.3951 0.9682 0.2029 2.174 1
19 22 4521 1.0076 0 0.9112 -0.0073 1.5554 0.9869 0.0156 6.1235 0.9725 0.021 1.8702 1
19 23 6171 1.0126 0 0.9484 0.0387 1.7372 0.9804 0.1088 7.5343 0.9818 0.0347 2.292 1
19 24 4707 1.0092 0 0.882 0.1368 1.6446 0.9829 0.0654 3.8694 0.9841 0.0572 2.4421 0
