cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
12 1 488 1.0035 0 0.7468 0.0513 2.4246 0.9427 0.3695 7.473 0.9608 0.4503 1.9415 1
12 2 516 1.0032 0 0.8568 0.0547 2.6226 0.9748 0.008 5.1606 0.984 0.0529 2.8126 1
12 3 485 1.0035 0 0.608 0.1255 2.6872 0.9608 0.3022 9.7545 0.9187 0.0786 2.7285 1
12 4 556 1.0076 0 0.3261 0.1718 4.0449 0.7982 0.5888 30.2725 0.9244 0.0837 2.1735 1
12 5 491 1.0029 0 0.6931 0.0322 2.3884 0.861 -0.212 25.8434 0.9537 -0.0874 2.011 1
12 6 503 1.0042 0 0.2918 0.1254 2.5188 0.91 -0.3079 11.6203 0.9723 -0.1592 2.1413 1
12 7 511 1.0036 0 0.8584 0.3101 3.0854 0.9044 -1.1506 21.212 0.9307 -0.5301 2.433 1
12 8 545 1.0038 0 0.7323 6e-04 4.5389 0.8007 1.166 36.6914 0.9093 0.7492 3.0652 1
12 9 585 1.0027 0 0.5861 -0.0567 2.5575 0.967 -0.2596 23.6405 0.9859 -0.3992 3.5334 1
12 10 518 1.0036 0 0.9157 0.08 2.5323 0.9158 0.0674 11.1195 0.9698 0.1659 2.5041 1
12 11 506 1.0043 0 0.4935 0.2005 3.2266 0.9335 0.5184 21.1016 0.8952 0.2174 1.921 1
12 12 505 1.0016 0 -0.5075 0.1407 2.7899 0.9173 -0.7919 15.0588 0.9568 -0.3502 2.3049 1
12 13 557 1.004 0 0.3812 0.1602 4.4801 0.9517 0.0974 21.4921 0.8613 -0.0048 1.8397 1
12 14 530 1.0022 0 0.3101 0.0818 2.2884 0.943 0.4215 8.7124 0.9703 0.1621 2.0742 1
12 15 577 1.0031 0 0.7772 0.2371 4.4078 0.8647 0.0625 15.1644 0.9452 -0.0742 1.76 1
12 16 553 1.0013 0 0.5828 0.0999 2.9745 0.8771 2.1026 42.5133 0.9089 0.8494 2.4718 1
12 17 499 1.004 0 0.9025 0.1614 2.6766 0.9478 0.0059 6.286 0.9748 -0.0777 2.662 1
12 18 507 1.0038 0 0.3935 0.0559 3.7874 0.8679 -0.5771 18.0398 0.9522 -0.4209 1.9621 1
12 19 531 1.0054 0 0.8035 0.0755 2.3403 0.9588 -0.102 3.9532 0.9825 -0.0755 3.6788 1
12 20 539 1.0039 0 0.7419 -0.1244 3.0334 0.9487 0.3268 20.3014 0.9295 0.2442 1.8548 1
12 21 603 1.0042 0 0.3419 0.2464 5.2872 0.8424 -0.2775 8.6522 0.9625 -0.2452 2.3525 1
12 22 549 1.0036 0 0.9154 0.1154 4.4874 0.9613 0.0801 17.4953 0.8242 0.3141 2.007 1
12 23 507 1.0061 0 0.6161 -0.0549 2.9352 0.9521 0.222 23.2301 0.9719 -0.062 2.4427 1
12 24 524 1.0044 0 0.5765 -0.1515 2.5283 0.9658 0.297 7.0374 0.9428 0.2608 2.7276 1
