cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
1 1 28 1.0119 0 0.7558 0.7116 2.7597 0.8291 0.4659 3.7803 0.0564 0.7492 0
1 2 14 1.0018 0 0.9537 -0.0261 2.3538 0.7996 -0.0389 3.0338 -0.2936 0.82 0
1 3 29 1.0023 0 0.9705 0.0123 2.6376 0.9055 -0.0477 2.9632 0.1828 0.4862 0
1 4 20 1.0014 0 0.9743 0.0377 2.0646 0.8838 0.0968 2.8142 -0.0405 0.6331 0
1 5 26 1.0039 0 0.9071 0.2633 2.3499 0.898 0.2295 3.0537 0.0532 0.5405 0
1 6 23 1.0015 0 0.9813 -0.0258 2.5593 0.9059 -0.056 2.7216 0.0278 0.6219 0
1 7 31 1.0036 0 0.7939 0.3084 2.6726 0.8898 0.2538 3.2847 0.0794 0.5986 0
1 8 26 1.003 0 0.9365 0.1665 2.3764 0.8754 0.2211 2.9305 0.1306 0.5074 0
1 9 27 1.0043 0 0.9099 -0.1 2.0875 0.9226 -0.0809 3.1524 0.1438 0.5073 0
1 10 20 1.002 0 0.9466 -0.0177 2.3201 0.8425 0.0465 2.8767 -0.1101 0.6817 0
1 11 20 1.0016 0 0.9211 -0.1786 2.2473 0.849 -0.1424 2.6385 -0.0702 0.6158 0
1 12 36 1.0016 0 0.9278 -0.1401 2.2718 0.9265 -0.0955 2.8816 0.1656 0.4923 0
1 13 15 1.0018 0 0.9753 -0.1592 2.4774 0.8605 -0.0608 2.644 -0.185 0.6763 0
1 14 17 1.0048 0 0.9512 0.4805 1.9696 0.8669 0.2015 3.0245 -0.0752 0.5684 0
1 15 21 1.001 0 0.9403 0.0024 2.4052 0.8877 -0.0613 3.0832 -0.0237 0.6013 0
1 16 22 1.0098 0 0.9504 -0.1918 3.0916 0.9216 -0.2727 2.7602 0.0291 0.6673 0
1 17 21 1.0014 0 0.9389 0.0324 2.036 0.881 0.0652 2.8916 -0.0549 0.5751 0
1 18 20 1.0057 0 0.9065 -0.0591 2.0108 0.8927 -0.008 2.942 -0.1023 0.6364 0
1 19 18 1.0047 0 0.9255 -0.0078 2.6314 0.8889 -0.1755 2.6101 -0.1175 0.6671 0
1 20 21 1.0066 0 0.8403 -0.1627 1.9332 0.9099 -0.0468 3.0931 -0.0519 0.6348 0
1 21 17 1.0011 0 0.8736 0.3248 2.0351 0.8398 0.2592 2.7251 -0.1523 0.5692 0
1 22 15 1.0026 0 0.9378 -0.2606 2.3305 0.8695 -0.166 2.6702 -0.1798 0.6489 0
1 23 34 1.0091 0 0.9265 0.1416 2.5795 0.8705 0.2023 3.1895 0.1163 0.5842 0
1 24 23 1.0028 0 0.9462 0.6296 2.9248 0.9064 0.3791 2.7735 -0.0066 0.6099 0
