cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
12 1 177 1.0053 0 0.3345 0.0121 1.3663 0.967 0.2486 5.0216 0.8425 0.2633 2.8821 0.01 0.447 1
12 2 168 1.0033 0 0.7364 0.032 1.4692 0.9749 0.0793 5.0269 0.886 0.2236 2.5697 -0.0452 0.4102 1
12 3 169 1.0042 0 0.6521 -0.0831 1.1422 0.9853 0.0785 4.762 0.8777 0.0066 2.5561 -0.0486 0.4309 1
12 4 195 1.0037 0 0.7402 -0.0465 1.0952 0.9745 0.0228 2.9455 0.9038 -0.006 2.6458 0.1115 0.3621 0
12 5 167 1.0021 0 0.9536 -0.1528 1.3705 0.9527 0.4045 5.3061 0.8809 0.3928 2.7451 -0.0218 0.3965 1
12 6 175 1.0056 0 0.6192 0.0469 1.1406 0.9411 0.1571 7.0177 0.8553 0.2923 2.9922 0.0394 0.45 1
12 7 166 1.0043 0 0.7238 0.091 1.1835 0.9845 0.0609 5.6876 0.9261 0.0598 2.6051 -0.0561 0.3973 1
12 8 236 1.0027 0 0.4568 -0.1513 1.2789 0.9747 -0.6383 10.413 0.8181 -0.6112 3.2828 0.1758 0.4041 1
12 9 192 1.0045 0 0.6471 -0.051 1.2831 0.9713 -0.3861 2.5252 0.9086 -0.2521 2.864 0.1057 0.3806 0
12 10 154 1.005 0 0.0926 -0.1761 1.4855 0.9361 -0.7569 31.3843 0.8563 -0.0391 2.8255 -0.2589 0.5434 1
12 11 182 1.007 0 0.8944 0.072 1.1314 0.9809 -0.0258 2.6383 0.9067 -0.1366 2.7064 0.0534 0.3898 0
12 12 166 1.0045 0 0.8547 0.0321 1.1486 0.9815 -0.0981 4.4523 0.8815 -0.1137 2.6749 -0.0108 0.4007 1
12 13 166 1.0053 0 -0.1539 -0.0984 1.3411 0.9798 -0.1173 10.2421 0.7962 -0.1233 2.973 -0.0295 0.5035 1
12 14 180 1.0027 0 0.6847 -0.066 1.2209 0.978 0.0169 6.7176 0.8761 -0.0254 2.6127 0.0723 0.3621 1
12 15 181 1.0027 0 0.7294 0.0486 1.2493 0.9648 -0.0593 5.2696 0.8941 0.066 2.7483 0.0791 0.3734 1
12 16 151 1.0056 0 0.7132 0.0037 1.8985 0.954 0.2198 6.0673 0.8438 0.0992 2.9267 -0.2164 0.6071 1
12 17 185 1.0018 0 0.5593 0.0459 1.1622 0.9646 0.2287 2.8654 0.9073 0.2705 2.5002 -0.0266 0.3841 0
12 18 156 1.0017 0 0.5088 0.0654 1.3547 0.978 -0.2474 5.2597 0.8405 -0.0594 2.5637 -0.1376 0.4626 1
12 19 169 1.0056 0 0.5365 -0.0356 1.2043 0.9445 -0.2968 11.2392 0.9163 0.0032 2.5417 -0.0403 0.433 1
12 20 160 1.002 0 0.7021 6e-04 1.2781 0.9794 -0.1377 4.1114 0.909 -0.1133 2.5992 -0.15 0.4455 1
12 21 161 1.0041 0 0.6735 -0.156 1.3333 0.9854 -0.1742 5.8754 0.8911 -0.1721 2.6491 -0.1263 0.4718 1
12 22 158 1.0033 0 0.7334 0.0958 1.1871 0.9602 -0.0419 2.7516 0.8822 -0.0102 2.3551 -0.1058 0.4403 0
12 23 182 1.0035 0 0.7994 0.0022 1.1467 0.9892 -0.2533 4.2854 0.9091 -0.3296 2.825 0.1033 0.394 1
12 24 175 1.0023 0 0.9465 0.0126 1.51 0.9709 0.153 4.521 0.9117 0.0946 2.5896 0.0294 0.3705 1
