cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
4 1 138 1.004 0 0.9947 0.1161 1.1262 0.8837 0.0532 3.0757 -0.003 0.2378 0
4 2 130 1.0016 0 0.9672 -0.0337 1.0737 0.8562 0.0131 2.9815 -0.0852 0.2514 0
4 3 147 1.0028 0 0.983 -0.0621 0.9811 0.8897 -0.1374 3.1466 0.0319 0.2324 0
4 4 139 1.0055 0 0.9831 -0.2026 1.1034 0.8785 -0.1309 3.0128 -0.0309 0.2398 0
4 5 144 1.0024 0 0.9879 0.2293 1.1281 0.8818 0.1629 2.8309 -0.0114 0.2285 0
4 6 134 1.0021 0 0.9852 0.2708 1.2759 0.8745 0.2439 2.853 -0.0476 0.2401 0
4 7 157 1.0029 0 0.9751 -0.1199 0.908 0.8787 -0.1427 2.937 0.0336 0.219 0
4 8 149 1.0021 0 0.9926 -0.1089 0.9518 0.8839 -0.104 2.9182 0.0297 0.2217 0
4 9 126 1.0028 0 0.9843 0.0494 1.0937 0.8455 -0.0076 2.8783 -0.1584 0.2619 0
4 10 132 1.0034 0 0.9719 0.0525 0.8616 0.8629 0.0575 2.8713 -0.0863 0.2448 0
4 11 133 1.0014 0 0.9383 0.0225 2.4136 0.7942 -0.0907 3.3111 -0.0968 0.3125 0
4 12 137 1.0036 0 0.9971 0.1047 1.7594 0.8814 0.1271 3.1302 0.0111 0.2394 0
4 13 136 1.0023 0 0.9624 -0.0178 0.8908 0.8772 -0.0268 2.8519 -0.1472 0.2516 0
4 14 128 1.0014 0 0.9775 -0.1239 1.5227 0.8353 -0.117 2.6165 -0.1466 0.2811 0
4 15 140 1.0015 0 0.984 0.0449 1.8668 0.8708 0.1267 2.7429 -0.0204 0.2437 0
4 16 128 1.0045 0 0.9837 -0.1316 1.5543 0.8718 -0.1462 2.7753 -0.0934 0.2598 0
4 17 137 1.0077 0 0.9915 -0.1461 1.8907 0.8352 -0.1834 2.7126 -0.1575 0.2908 0
4 18 144 1.0028 0 0.9494 -0.1881 2.3001 0.8587 -0.0821 3.2607 0.041 0.2377 0
4 19 154 1.0025 0 0.9446 -0.1342 1.3427 0.8653 -0.1615 3.6046 0.0962 0.2412 0
4 20 135 1.0021 0 0.992 0.0921 1.3138 0.8898 0.0617 2.8256 -0.0809 0.241 0
4 21 122 1.001 0 0.9889 -0.0981 1.3151 0.8577 -0.0777 2.7916 -0.1571 0.2808 0
4 22 133 1.002 0 0.9822 0.1261 0.9634 0.8917 0.1307 2.8378 -0.0326 0.231 0
4 23 136 1.0025 0 0.9942 -0.188 1.6278 0.8555 -0.207 2.9587 -0.0211 0.2493 0
4 24 158 1.0025 0 0.9704 0.1092 0.9869 0.8596 0.093 3.1672 0.0554 0.2281 0
