cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
11 1 182 1.0082 0 0.8348 0.4029 3.448 0.9761 0.1885 1.6325 0
11 2 174 1.0008 0 0.9137 0.0813 2.8587 0.9745 0.1514 1.2374 0
11 3 180 1.0025 0 0.8887 -0.1324 3.2223 0.9793 -0.1163 1.3333 0
11 4 183 1.0054 0 0.9184 -0.0642 2.9078 0.9935 -0.0709 1.3279 0
11 5 181 1.005 0 0.8807 0.7 3.2909 0.9183 0.581 1.2163 0
11 6 178 1.0016 0 0.8121 0.3037 3.4777 0.9708 0.1137 1.1769 0
11 7 163 1.0067 0 0.9267 0.3159 3.1379 0.9703 0.293 1.1917 0
11 8 194 1.0011 0 0.8781 0.318 3.1882 0.9833 0.3282 1.2329 0
11 9 161 1.0014 0 0.9362 0.0187 2.5484 0.9883 0.0327 1.1182 0
11 10 169 1.0064 0 0.8504 -0.0457 3.4029 0.9792 -0.0551 1.3279 0
11 11 176 1.0008 0 0.8257 -0.4914 3.4242 0.9951 -0.277 1.7709 0
11 12 173 1.0021 0 0.8108 0.4584 3.4453 0.9016 0.3313 1.3083 0
11 13 164 1.0077 0 0.8457 0.1926 3.165 0.9766 0.1436 1.3466 0
11 14 172 1.0016 0 0.9158 -0.2519 2.6829 0.9931 -0.1618 1.288 0
11 15 143 1.0021 0 0.7957 -0.5035 3.4962 0.9755 -0.372 1.0984 0
11 16 192 1.0038 0 0.8679 0.5096 2.6922 0.9884 0.4253 1.5374 0
11 17 173 1.0018 0 0.8481 -0.6985 3.3834 0.9644 -0.5579 1.3629 0
11 18 168 1.0041 0 0.804 -0.4493 2.8688 0.9666 -0.3659 1.2416 0
11 19 178 1.0052 0 0.8163 0.3674 3.4124 0.9876 0.1835 1.2967 0
11 20 180 1.0056 0 0.7722 -0.0396 3.3689 0.977 0.1483 1.1595 0
11 21 156 1.006 0 0.8624 -0.0895 2.8083 0.8882 -0.0748 1.1333 0
11 22 150 1.0017 0 0.8765 -0.036 3.2548 0.9546 0.1033 1.2879 0
11 23 175 1.0019 0 0.8993 0.1631 2.9255 0.9799 0.0996 1.5174 0
11 24 175 1.0034 0 0.8246 -0.036 3.5515 0.961 0.1689 1.381 0
