cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
16 1 92 1.0041 0 0.8891 -0.2466 2.5609 0.9582 -0.2106 1.9258 -0.0049 0.5358 0
16 2 90 1.003 0 0.8806 0.5121 3.12 0.9704 0.467 2.3324 -0.0568 0.5506 0
16 3 76 1.0047 0 0.9208 0.1798 2.8176 0.947 0.0624 1.9395 -0.1788 0.5996 0
16 4 109 1.0126 0 0.9042 0.0368 2.4034 0.9517 0.0803 2.5887 0.052 0.5659 0
16 5 105 1.0015 0 0.9043 0.2553 3.2404 0.9356 0.3354 1.4579 0.0537 0.603 0
16 6 104 1.0066 0 0.8938 -0.1151 2.6354 0.9613 -0.0609 2.0533 0.0521 0.4895 0
16 7 124 1.0047 0 0.907 -0.194 2.7339 0.972 -0.164 1.8938 0.1039 0.4772 0
16 8 89 1.0081 0 0.8959 -0.0625 2.4322 0.9615 -0.0451 1.8532 -0.0149 0.5604 0
16 9 141 1.0042 0 0.8955 0.0545 3.0918 0.954 0.1459 2.403 0.1222 0.4913 0
16 10 88 1.0035 0 0.9173 -0.197 2.6762 0.9662 -0.2632 2.2694 -0.0217 0.4937 0
16 11 73 1.0039 0 0.8631 -0.6596 3.473 0.9506 -0.5328 1.6522 -0.2671 0.659 0
16 12 81 1.0038 0 0.916 0.2334 2.6937 0.9662 0.2247 1.9407 -0.0874 0.5157 0
16 13 114 1.0044 0 0.9107 0.1347 2.6771 0.9505 0.1202 2.0156 0.0665 0.519 0
16 14 88 1.0059 0 0.9277 -0.1621 2.8775 0.9594 -0.2258 1.9987 -0.0209 0.5062 0
16 15 86 1.0039 0 0.8931 -0.1056 2.9663 0.9552 -0.024 1.7243 0.0238 0.5078 0
16 16 143 1.0022 0 0.9051 -0.1195 2.5888 0.9686 -0.0982 2.3386 0.1391 0.4704 0
16 17 105 1.007 0 0.9179 0.4527 3.1268 0.9471 0.3503 1.733 -0.0371 0.6233 0
16 18 85 1.0152 0 0.9422 0.2234 2.7881 0.9666 0.1709 1.8483 -0.0544 0.5346 0
16 19 87 1.0074 0 0.9543 0.1447 2.674 0.9544 0.0994 2.2056 -0.0297 0.4785 0
16 20 118 1.003 0 0.9359 0.1966 2.5425 0.9542 0.2003 2.1505 0.0981 0.5198 0
16 21 94 1.012 0 0.8767 -0.1047 2.2257 0.9676 -0.0324 1.9194 -0.0038 0.504 0
16 22 104 1.0311 0 0.8735 -0.1071 2.9007 0.9605 -0.1593 2.3446 0.0558 0.5597 0
16 23 97 1.0029 0 0.9063 0.4476 2.7594 0.9619 0.4078 1.952 0.0201 0.5257 0
16 24 90 1.0033 0 0.9279 0.2706 2.6738 0.9559 0.174 1.848 -0.0195 0.5798 0
