cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
16 1 237 1.0007 0 0.9234 -0.0621 2.8877 0.9808 -0.1385 0.9881 0
16 2 259 1.0022 0 0.9121 -0.3473 3.3322 0.9815 -0.2417 1.1879 0
16 3 257 1.0016 0 0.9046 -0.3404 3.2425 0.9837 -0.3191 1.2185 0
16 4 249 1.0009 0 0.871 -0.3 3.3318 0.9793 -0.263 1.0434 0
16 5 248 1.0061 0 0.8717 0.0391 3.096 0.9707 0.0732 1.1136 0
16 6 255 1.0034 0 0.8789 -0.0965 3.0295 0.9738 -0.0242 1.3211 0
16 7 249 1.0031 0 0.8698 -0.2304 3.1045 0.9897 -0.1276 1.4216 0
16 8 257 1.002 0 0.8779 0.3535 2.8553 0.9886 0.4025 1.1267 0
16 9 211 1.0021 0 0.8974 -0.1814 3.4467 0.9677 -0.0947 1.3578 0
16 10 232 1.0009 0 0.8443 0.2649 3.4678 0.9858 0.1467 1.007 0
16 11 219 1.0078 0 0.8425 0.0345 3.3559 0.9588 -0.0974 1.1763 0
16 12 269 1.0042 0 0.9131 -0.0515 3.1837 0.9915 0.0499 1.1237 0
16 13 252 1.0032 0 0.8656 -0.1603 3.3029 0.9888 -0.0515 1.3286 0
16 14 217 1.0023 0 0.808 0.3389 3.4718 0.9865 0.1326 1.0368 0
16 15 176 1.0043 0 0.8318 -0.1237 3.542 0.9547 -0.3267 0.9743 0
16 16 253 1.0061 0 0.858 -0.3557 3.2729 0.9875 -0.1332 1.0127 0
16 17 223 1.0047 0 0.8304 0.1183 3.1615 0.9356 0.1859 0.9728 0
16 18 226 1.0027 0 0.8821 -0.0425 3.1594 0.9925 0.029 1.2633 0
16 19 251 1.0031 0 0.8728 -0.5813 3.3116 0.9943 -0.6804 1.1142 0
16 20 245 1.0005 0 0.8594 0.1242 3.1844 0.9755 -0.0096 1.1102 0
16 21 226 1.0018 0 0.8548 0.6041 3.5251 0.9701 0.4367 1.0766 0
16 22 240 1.0035 0 0.8829 -0.1743 3.2458 0.9644 -0.2676 1.0592 0
16 23 215 1.0024 0 0.8872 -0.5937 3.3465 0.9442 -0.5881 1.0473 0
16 24 235 1.0033 0 0.85 -0.2687 3.3477 0.9814 -0.1344 1.177 0
