cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
17 1 171 1.0238 0 0.9541 0.0748 2.7267 0.9582 0.1161 2.0253 -0.0559 0.3938 0
17 2 199 1.0081 0 0.937 -0.0688 2.091 0.9412 -0.0597 2.2218 -0.001 0.389 0
17 3 163 1.0056 0 0.9627 -0.0899 2.7324 0.9412 -0.039 2.0825 -0.1139 0.383 0
17 4 189 1.0052 0 0.9482 0.2033 2.5619 0.9599 0.2005 2.0602 0.062 0.3935 0
17 5 170 1.0062 0 0.974 -0.1405 2.0014 0.9592 -0.079 1.9347 -0.0493 0.3348 0
17 6 277 1.0074 0 0.926 -0.6066 2.6778 0.9667 -0.5407 2.5496 0.1232 0.3384 0
17 7 175 1.0131 0 0.9493 -0.2267 2.7266 0.9629 -0.1494 1.9844 0.0095 0.3676 0
17 8 166 1.0044 0 0.9407 0.0197 2.1514 0.9716 -0.0044 2.0901 -0.0796 0.3736 0
17 9 202 1.0108 0 0.9555 0.0263 2.9408 0.9601 0.0367 1.8173 0.0556 0.3153 0
17 10 170 1.007 0 0.9431 0.0084 1.822 0.9536 0.0075 2.1251 -0.0268 0.377 0
17 11 156 1.0015 0 0.9572 -0.0922 2.7536 0.946 -0.0683 1.8768 -0.1454 0.4084 0
17 12 259 1.0118 0 0.9542 -0.2771 2.4697 0.9674 -0.1795 1.999 0.1238 0.3195 0
17 13 235 1.0057 0 0.9348 0.1799 1.6646 0.9605 0.1916 2.098 0.0377 0.3392 0
17 14 172 1.0075 0 0.9123 0.1048 2.4858 0.958 0.0662 2.0394 -0.0207 0.3559 0
17 15 201 1.0031 0 0.9615 0.0287 2.1644 0.966 -0.0113 2.4297 0.0246 0.3497 0
17 16 169 1.0104 0 0.9482 0.0965 2.7722 0.963 0.1563 2.0231 -0.056 0.3382 0
17 17 157 1.0025 0 0.9265 0.2856 3.0738 0.9601 0.1636 1.695 -0.0899 0.4357 0
17 18 163 1.0041 0 0.9656 -0.0966 2.6927 0.956 -0.1086 2.1836 -0.0536 0.3589 0
17 19 187 1.005 0 0.9482 -0.1831 2.0258 0.9583 -0.171 2.3777 0.0648 0.3618 0
17 20 219 1.0024 0 0.9635 0.0479 2.5616 0.9495 0.0415 1.8857 0.0416 0.3913 0
17 21 166 1.0025 0 0.9554 0.0878 2.3465 0.9703 0.0751 2.0903 -0.0282 0.3642 0
17 22 175 1.0042 0 0.9075 0.0319 2.7701 0.9643 0.0344 2.2126 -0.0093 0.3475 0
17 23 231 1.0015 0 0.9595 -0.0735 2.8099 0.9438 -0.1674 2.4 0.1048 0.3832 0
17 24 256 1.0033 0 0.9411 -0.1994 2.5798 0.9632 -0.2299 1.836 0.089 0.362 0
