cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
9 1 2118 1.0054 0 0.9099 -0.1474 1.95 0.9932 -0.441 5.2408 0.9582 -0.436 3.3079 1
9 2 1962 1.0047 0 0.8637 -0.1099 2.2327 0.9745 -0.0683 5.2448 0.9509 0.0349 2.6944 1
9 3 2000 1.0044 0 0.986 -0.1313 2.2208 0.9917 -0.3742 5.0476 0.9586 -0.4939 2.9301 1
9 4 1829 1.0071 0 0.7166 -0.0788 2.4071 0.9505 0.168 8.4507 0.9454 0.003 2.5117 1
9 5 1838 1.005 0 0.6705 -0.0067 1.6451 0.9911 -0.2098 5.5905 0.9539 -0.1344 2.7812 1
9 6 1983 1.0063 0 0.9692 0.0739 2.5243 0.9931 -0.0274 3.7655 0.9648 0.0034 3.4513 1
9 7 1701 1.0045 0 0.7075 -0.003 2.0858 0.9767 -0.2032 7.194 0.9235 -0.0697 2.721 1
9 8 1985 1.0025 0 0.9094 0.0223 2.3812 0.9892 -0.5132 6.0041 0.9767 -0.5276 3.6721 1
9 9 1878 1.0097 0 0.937 -0.0625 1.9191 0.9882 -0.0581 3.6719 0.9487 -0.0229 3.0652 0
9 10 1907 1.008 0 0.6961 0.0569 1.8484 0.9977 -0.0423 4.041 0.9652 0.0635 2.9879 1
9 11 2021 1.006 0 0.9904 -0.0528 2.11 0.9945 0.1288 3.5562 0.9095 0.0644 2.9338 1
9 12 1771 1.006 0 0.5965 0.0404 1.8679 0.985 0.1262 6.1815 0.9123 0.0347 2.5748 1
9 13 1927 1.0053 0 0.8228 -0.0124 1.8734 0.9899 0.0492 4.6349 0.9372 0.0116 3.2535 1
9 14 1880 1.0041 0 0.8438 -0.0375 1.6959 0.9704 -0.094 5.3634 0.9188 -0.1351 3.0658 1
9 15 1797 1.0038 0 0.935 -0.0257 2.2366 0.9834 0.1201 10.0142 0.9569 0.1995 2.5968 1
9 16 1719 1.0056 0 0.8513 -0.0435 1.8156 0.997 -0.3142 5.8593 0.9595 -0.2208 2.7752 1
9 17 1862 1.0093 0 0.1101 0.0153 1.715 0.9766 0.4677 5.0791 0.9297 0.3783 3.068 1
9 18 1949 1.0091 0 0.9395 0.0683 2.4166 0.9482 0.3615 7.5381 0.9255 0.3885 3.3481 1
9 19 1830 1.002 0 0.7577 0.0823 2.4926 0.9583 -0.8492 16.3464 0.9419 -0.343 3.1583 1
9 20 1897 1.0046 0 0.5482 -0.0833 1.9838 0.9849 0.4635 6.3688 0.9362 0.5327 3.5483 1
9 21 1861 1.0026 0 0.93 -0.0224 2.4422 0.9617 -0.3824 6.1187 0.9256 -0.6625 2.7088 1
9 22 1990 1.0035 0 0.9639 -0.0441 3.1449 0.9428 0.3155 7.6862 0.9238 0.1492 3.149 1
9 23 1778 1.0035 0 0.5718 0.0318 1.9635 0.9697 0.3338 6.3602 0.8551 0.3283 2.7468 1
9 24 2574 1.0022 0 0.7531 -0.0861 2.6987 0.9196 1.2145 41.9905 0.9616 0.0644 2.8226 1
