cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
10 1 4062 1.0067 0 0.9916 -0.4385 1.5336 0.986 -0.4532 1.4733 0
10 2 4333 1.0062 0 0.9925 -0.0414 1.5052 0.9828 -0.0269 1.3504 0
10 3 4038 1.0105 0 0.9853 -0.3165 2.2223 0.9869 -0.318 1.5581 0
10 4 4036 1.0155 0 0.981 -0.0015 1.1783 0.9864 -0.0485 1.3587 0
10 5 3879 1.0166 0 0.968 0.3657 2.5177 0.9741 0.2956 1.4908 0
10 6 4279 1.0123 0 0.9757 -0.1468 1.7872 0.9826 -0.1264 1.3522 0
10 7 3923 1.0069 0 0.9704 0.1177 2.4114 0.9649 0.0311 1.4781 0
10 8 4026 1.0066 0 0.9662 -0.1195 1.4641 0.9836 -0.1256 1.4538 0
10 9 4081 1.0046 0 0.9668 -0.0936 2.3227 0.9748 -0.0556 1.5708 0
10 10 4102 1.0089 0 0.9762 -0.0868 1.2574 0.99 -0.0044 1.4859 0
10 11 3890 1.0052 0 0.988 -0.1563 1.4742 0.9854 -0.1779 1.5565 0
10 12 3813 1.0076 0 0.9768 0.4399 2.3626 0.9752 0.3164 1.6027 0
10 13 4193 1.0163 0 0.9762 0.0461 2.3259 0.9764 0.011 1.4877 0
10 14 4008 1.0035 0 0.9785 0.2327 2.1452 0.9741 0.1614 1.4196 0
10 15 4057 1.0047 0 0.9724 0.0344 2.5923 0.9808 0.0641 1.4186 0
10 16 4337 1.0052 0 0.9703 0.3535 1.3759 0.9863 0.2973 1.4314 0
10 17 3978 1.0154 0 0.9897 -0.5011 2.3029 0.9796 -0.5007 1.6076 0
10 18 3526 1.0058 0 0.9609 0.0261 2.4977 0.9687 -0.0233 1.7225 0
10 19 3976 1.004 0 0.9857 0.1942 1.4408 0.9812 0.2061 2.1278 0
10 20 3925 1.0219 0 0.9809 0.2851 1.9864 0.9796 0.2653 1.407 0
10 21 4150 1.0032 0 0.991 -0.4062 1.9238 0.9768 -0.3615 1.6731 0
10 22 3896 1.0064 0 0.9719 -0.2484 2.5387 0.9741 -0.2203 1.5115 0
10 23 4142 1.0132 0 0.986 0.0458 1.828 0.9829 0.0755 1.4191 0
10 24 4295 1.0084 0 0.9788 0.0584 1.9927 0.9861 0.0547 1.7618 0
