cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
3 1 331 1.0057 0 0.8303 -0.1524 2.6315 0.9902 -0.2776 6.9356 0.9626 -0.1301 3.8249 1
3 2 386 1.0066 0 0.9743 0.4507 8.0932 0.783 1.2424 21.8735 0.554 0.6935 5.2 1
3 3 308 1.0048 0 0.7812 -0.1279 2.5223 0.9901 -0.3658 14.5337 0.9021 -0.2805 4.056 1
3 4 357 1.0024 0 0.9654 0.0301 5.1537 0.9381 0.5876 13.5784 0.9257 0.3262 3.4899 1
3 5 368 1.004 0 0.9294 0.7196 7.0648 0.8935 -1.5887 8.9206 0.828 -1.0878 5.3327 1
3 6 301 1.0047 0 -0.8749 0.0462 2.4567 0.9649 -0.0343 7.5515 0.9006 0.2366 3.7336 1
3 7 314 1.0053 0 0.7041 -0.2689 2.2996 0.9869 0.3187 5.3805 0.9256 0.275 4.7589 1
3 8 316 1.0022 0 -0.6001 -0.0814 2.1227 0.9881 0.2319 4.2898 0.8961 0.2895 4.3363 1
3 9 303 1.0011 0 0.3368 0.0749 2.2348 0.9465 -0.5035 7.7853 0.8406 -0.7903 4.1483 1
3 10 297 1.0058 0 0.2471 -0.1304 2.3012 0.9773 0.7374 12.6839 0.9077 0.3397 4.1398 1
3 11 316 1.0021 0 0.9988 0.0139 2.3682 0.9965 -0.1206 5.9938 0.9024 -0.2026 3.9944 1
3 12 319 1.0053 0 0.877 0.0748 2.3965 0.9931 0.2262 7.6821 0.7834 0.3978 4.1636 1
3 13 315 1.0083 0 0.9503 -0.1823 2.9234 0.9491 -0.228 9.0094 0.8184 -0.3007 4.4787 1
3 14 326 1.0006 0 0.0699 -0.2731 2.594 0.9527 -0.9264 4.9764 0.9243 -1.236 4.3164 1
3 15 333 1.0027 0 -0.8431 0.1317 4.0795 0.7761 1.0698 8.4222 0.6581 1.2107 4.62 1
3 16 321 1.0016 0 -0.6968 -0.231 2.2158 0.9792 0.1016 8.4582 0.8932 0.0301 4.0838 1
3 17 283 1.0049 0 0.7047 0.0368 2.2037 0.9968 0.5082 5.2332 0.8942 0.3668 3.979 1
3 18 304 1.0038 0 0.9378 -0.0856 2.2987 0.9807 0.4132 7.35 0.8909 0.3135 4.5861 1
3 19 297 1.0026 0 0.172 -0.0775 1.9786 0.9935 0.2028 8.3972 0.7771 0.3537 3.907 1
3 20 332 1.0013 0 0.6319 -0.1405 2.2778 0.9707 0.2603 10.784 0.8521 0.0202 4.1622 1
3 21 357 1.0043 0 0.9633 0.3178 3.9627 0.9839 -1.2608 4.3673 0.9503 -1.1719 4.128 1
3 22 306 1.0029 0 0.9453 0.2365 3.0275 0.9837 0.5115 5.0889 0.9379 0.6172 4.0618 1
3 23 366 1.0048 0 0.5108 -0.0498 2.1754 0.9946 0.6158 5.0513 0.9471 0.723 3.9 1
3 24 434 1.0027 0 0.8715 0.0337 2.706 0.9836 0.0893 8.1272 0.932 -0.0644 4.1688 1
