cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
5 1 215 1.006 0 0.9822 -0.1447 1.2012 0.8845 -0.1247 2.9697 0.0039 0.1863 0
5 2 205 1.002 0 0.9909 0.0745 1.2022 0.8817 0.0173 2.8931 -0.0627 0.2097 0
5 3 234 1.0044 0 0.9809 -0.0848 0.8411 0.8854 -0.0823 3.0866 0.0393 0.1958 0
5 4 226 1.0044 0 0.9901 0.0185 1.0612 0.8876 0.0504 3.0541 0.038 0.1856 0
5 5 206 1.0025 0 0.9856 0.0077 1.4605 0.8695 0.0556 2.9574 0.042 0.1953 0
5 6 200 1.0051 0 0.9908 -0.0789 1.2238 0.873 -0.0752 2.9072 -0.0237 0.1981 0
5 7 206 1.0036 0 0.9918 -0.0166 2.2717 0.8495 -0.1052 2.7738 -0.0051 0.21 0
5 8 199 1.0022 0 0.9889 -0.0625 1.2141 0.8526 -0.057 3.3554 -0.0449 0.2169 0
5 9 233 1.0025 0 0.9963 0.0134 1.1774 0.8867 0.0102 3.1095 0.0893 0.1699 0
5 10 212 1.0035 0 0.9916 0.1713 1.4948 0.871 0.1274 2.9127 -0.0028 0.2031 0
5 11 214 1.0024 0 0.9525 0.0806 1.1025 0.9004 0.1028 3.1466 0.0395 0.1842 0
5 12 202 1.0018 0 0.9631 -0.003 1.0179 0.8861 -0.0104 3.1444 -0.0405 0.204 0
5 13 207 1.0076 0 0.9931 0.0432 2.0122 0.8694 0.0104 3.4342 0.0248 0.2125 0
5 14 203 1.0026 0 0.9942 -0.0057 0.8221 0.8711 0.0171 3.0296 -0.0124 0.196 0
5 15 199 1.0083 0 0.9951 -0.0779 1.0663 0.8732 -0.0563 2.7256 -0.0342 0.2049 0
5 16 255 1.0018 0 0.9862 -0.0845 0.9222 0.8905 -0.0627 3.0121 0.0904 0.1726 0
5 17 193 1.0021 0 0.989 -0.1284 1.6683 0.8739 -0.1453 2.8998 -0.0364 0.2046 0
5 18 209 1.0018 0 0.9961 0.126 1.4027 0.8685 0.1328 3.0516 0.023 0.1912 0
5 19 219 1.0025 0 0.983 0.0032 1.0296 0.879 0.006 3.1799 0.0234 0.186 0
5 20 208 1.0074 0 0.9884 0.0363 1.0084 0.883 -0.0581 2.8836 0.0052 0.1953 0
5 21 216 1.0028 0 0.9824 -0.1146 0.9842 0.886 -0.0758 3.1518 0.029 0.1861 0
5 22 191 1.0013 0 0.9941 0.2295 1.2246 0.871 0.2067 2.9137 -0.0455 0.2147 0
5 23 199 1.0066 0 0.9832 -0.0991 1.3638 0.8779 -0.064 2.9202 -0.0359 0.2057 0
5 24 199 1.0045 0 0.9758 -0.0326 0.8538 0.8948 -0.0292 2.8447 -0.0513 0.1998 0
