cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
16 1 125 1.007 0 0.4592 -0.0178 2.5392 0.942 0.5601 11.5453 0.8982 0.4507 2.4874 0.032 0.5891 1
16 2 145 1.005 0 0.8968 -0.0785 1.5246 0.9445 0.0537 9.7691 0.926 0.0758 2.7514 0.0982 0.5253 1
16 3 117 1.0042 0 0.0351 -0.0097 1.8561 0.9467 -0.2486 9.0848 0.9246 -0.3665 2.6279 -0.02 0.5761 1
16 4 209 1.0054 0 0.8144 0.0928 2.6006 0.9603 -0.3543 6.1094 0.9031 -0.2982 3.1454 0.1007 0.5861 1
16 5 115 1.0037 0 0.3673 -0.1209 1.8016 0.899 0.36 14.2849 0.8971 0.6093 2.5826 -0.0175 0.5879 1
16 6 117 1.0029 0 0.1428 0.0405 1.529 0.9351 0.1013 9.0111 0.9171 0.0868 2.3764 0.0021 0.549 1
16 7 194 1.0086 0 0.7858 0.1096 2.0455 0.958 0.551 6.6287 0.9383 0.5358 2.9003 0.1618 0.4725 1
16 8 193 1.0046 0 0.3152 -0.0967 1.5586 0.9441 0.3965 6.8778 0.8969 0.4102 2.7903 0.1009 0.532 1
16 9 144 1.0037 0 0.379 -0.1044 1.7281 0.9127 0.3205 9.4471 0.9425 0.2837 2.8276 0.1412 0.4533 1
16 10 160 1.0052 0 0.3458 -0.0898 1.6692 0.9361 0.01 7.9211 0.911 0.1551 2.6141 0.0748 0.5024 1
16 11 102 1.0041 0 0.4748 -0.0581 1.9495 0.9403 -0.4324 8.34 0.9104 -0.2859 2.246 -0.242 0.6532 1
16 12 146 1.0026 0 0.5254 -0.0066 1.6995 0.9416 0.521 6.2038 0.9188 0.4386 2.8597 0.0685 0.5073 1
16 13 144 1.0036 0 0.9455 -0.1142 1.5769 0.932 -0.0215 13.7003 0.8796 0.1467 2.9151 0.1076 0.5756 1
16 14 116 1.0023 0 0.3973 -0.0247 2.2281 0.9346 -0.1863 14.6806 0.9061 -0.1913 2.6483 -0.0269 0.5998 1
16 15 106 1.0022 0 0.9489 0.1484 1.8247 0.9432 -0.1516 12.5146 0.947 0.0372 2.2714 -0.1289 0.6148 1
16 16 126 1.0028 0 0.7555 0.0682 2.0095 0.9478 0.6195 8.1094 0.9299 0.354 2.7233 0.0746 0.4785 1
16 17 106 1.0026 0 0.0938 -0.0048 1.6697 0.9153 -0.3053 17.0189 0.877 -0.0781 2.3068 -0.1931 0.5636 1
16 18 118 1.0015 0 0.6019 0.0031 1.8207 0.9158 -0.2275 12.1523 0.9287 -0.2062 2.7207 -0.0416 0.6226 1
16 19 186 1.0031 0 0.736 -0.0134 1.6403 0.9516 -0.5575 12.2232 0.9291 -0.4989 2.5715 0.1603 0.4725 1
16 20 110 1.0024 0 0.4199 -0.1424 1.3822 0.9443 0.1066 7.8038 0.9286 0.0349 2.6459 0.0556 0.554 1
16 21 134 1.002 0 0.5887 -0.0167 1.6239 0.9269 -0.2441 8.486 0.9183 -0.2704 2.458 0.0062 0.5707 1
16 22 128 1.0037 0 0.5677 -0.1643 1.6649 0.9437 -0.3648 16.383 0.9036 -0.3136 2.7329 0.0749 0.5318 1
16 23 212 1.0103 0 0.1099 -0.0082 1.7375 0.9678 -0.2958 5.7944 0.9452 -0.3051 2.9698 0.1551 0.5232 1
16 24 103 1.002 0 0.5146 -0.0275 1.6464 0.9333 -0.2071 11.4041 0.9216 -0.2197 2.3149 -0.205 0.672 1
