cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
5 1 234 1.007 0 -0.5979 0.1131 1.0604 0.998 -0.0652 2.3108 0.6603 -0.0534 3.6129 -0.1519 0.3765 1
5 2 267 1.004 0 0.9982 -0.0972 0.7687 0.9926 -0.2145 1.8975 0.7514 -0.1612 3.7397 0.0609 0.2771 0
5 3 279 1.0035 0 0.513 -0.246 0.6381 0.9983 -0.0923 1.6627 0.7971 -0.0421 3.6552 0.1015 0.2679 0
5 4 284 1.0031 0 0.9431 -0.0364 0.7168 0.9959 0.0485 1.2405 0.7569 0.1054 3.5232 -0.0123 0.2939 0
5 5 268 1.0085 0 0.9496 -0.0246 0.7538 0.998 0.1202 2.8377 0.7106 0.1055 3.8769 0.0956 0.3047 0
5 6 255 1.0032 0 0.9765 0.0119 0.9946 0.9946 -0.2318 2.3401 0.7374 -0.126 3.4439 -0.0145 0.2716 0
5 7 261 1.003 0 0.9791 0.0365 0.8468 0.9891 -0.1301 2.4845 0.7728 -0.1214 3.4097 0.0336 0.2539 0
5 8 288 1.0049 0 0.9846 -0.2008 0.79 0.9913 -0.1251 1.3818 0.8132 -0.0407 3.392 0.0318 0.2689 0
5 9 282 1.0021 0 1 0.0555 0.8395 0.9947 -0.0437 1.1485 0.7945 0.0337 3.3523 0.0483 0.2441 0
5 10 265 1.0031 0 -0.9213 -0.2113 0.6957 0.9947 0.0694 1.8383 0.7613 0.1664 3.6185 0.0749 0.2504 1
5 11 258 1.0135 0 0.8492 0.0287 1.117 0.9854 0.0217 1.0816 0.7713 0.1444 3.3546 -0.0124 0.2752 0
5 12 251 1.0036 0 0.919 -0.0669 0.8826 0.9954 0.0495 1.4264 0.7913 0.0994 3.4162 -0.0153 0.2386 0
5 13 286 1.009 0 0.781 -0.0996 0.7248 0.9984 -0.0636 2.2085 0.8207 -0.1359 3.478 0.0772 0.222 0
5 14 255 1.0046 0 0.7551 -0.1007 0.7777 0.9869 -0.0103 1.9257 0.7289 0.083 3.6552 0.0204 0.2982 0
5 15 259 1.0062 0 0.9991 -0.218 0.7233 0.9995 -0.0085 2.4224 0.756 -0.1019 3.7417 0.0743 0.282 0
5 16 285 1.0059 0 0.6078 0.1222 0.9868 0.9871 -0.1854 1.3006 0.7602 -0.1568 3.3741 0.0606 0.2582 0
5 17 282 1.0035 0 0.9982 -0.0481 0.7234 0.9962 -0.0248 1.1926 0.8155 -0.0365 3.3802 0.0744 0.2454 0
5 18 252 1.0126 0 -0.0775 0.0782 0.9571 0.9763 0.2151 1.6889 0.7018 0.1873 3.5478 -0.1754 0.3766 1
5 19 248 1.0044 0 0.2398 -0.0035 0.732 0.9911 0.073 1.6827 0.7911 0.0217 3.4534 -0.0023 0.2616 0
5 20 266 1.0056 0 0.9816 -0.0949 0.8429 0.9977 -0.0465 1.1434 0.7848 -0.0079 3.3262 0.0042 0.2555 0
5 21 246 1.0123 0 0.779 0.2833 1.3982 0.9965 -0.1445 2.9358 0.7376 -0.0323 3.3051 -0.0613 0.2819 0
5 22 255 1.0046 0 0.9973 0.1034 0.9792 0.9937 0.2652 1.1472 0.7419 0.2362 3.2691 -0.1646 0.278 0
5 23 248 1.005 0 1 -0.074 0.6771 0.9926 -0.1179 2.1444 0.7358 -0.1254 3.9696 0.0535 0.3221 0
5 24 242 1.0036 0 0.9918 -0.015 0.8561 0.9921 0.0217 2.3027 0.72 -0.0995 3.5709 -0.0283 0.3435 0
