cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
6 1 94 1.0065 0 0.8914 -0.3947 3.2496 0.9478 -0.284 1.4119 0
6 2 101 1.0013 0 0.9382 0.111 2.6601 0.9652 0.0249 1.4545 0
6 3 112 1.0052 0 0.931 -0.0699 2.9979 0.9421 -0.0325 1.5344 0
6 4 96 1.0028 0 0.852 0.433 3.0463 0.9604 0.4986 1.4715 0
6 5 88 1.0044 0 0.8397 -1.111 3.7735 0.9427 -0.8756 1.8496 0
6 6 107 1.0024 0 0.8492 0.1396 3.0094 0.9763 0.1378 1.4107 0
6 7 99 1.0041 0 0.9139 -0.8435 3.2773 0.9818 -0.8399 1.4469 0
6 8 113 1.0051 0 0.8978 0.2724 2.9511 0.9676 0.3139 1.4585 0
6 9 93 1.0035 0 0.8762 0.5209 3.2744 0.9468 0.405 1.5111 0
6 10 101 1.0012 0 0.8732 0.1823 3.0922 0.9855 0.2248 1.6749 0
6 11 109 1.0002 0 0.7867 -0.3569 3.3267 0.9672 -0.4948 1.4605 0
6 12 97 1.008 0 0.9096 -0.4374 2.9908 0.9687 -0.3709 1.5187 0
6 13 118 1.0017 0 0.849 0.0076 2.5671 0.9938 -0.0489 1.3703 0
6 14 88 1.0026 0 0.7881 1.0859 3.561 0.9066 0.876 1.987 0
6 15 103 1.0048 0 0.8589 -0.2943 2.9274 0.9709 -0.2939 1.5143 0
6 16 108 1.0026 0 0.9293 0.0397 3.053 0.9801 -0.0387 1.6201 0
6 17 109 1.0017 0 0.8921 -0.0191 2.6812 0.9553 -0.014 1.8184 0
6 18 95 1.0036 0 0.8539 -0.0696 3.2774 0.8794 -0.0974 1.4634 0
6 19 110 1.0017 0 0.8869 -0.2544 2.6275 0.9658 -0.2865 2.2243 0
6 20 95 1.0019 0 0.7954 -0.3526 3.4329 0.9882 -0.0766 1.4401 0
6 21 108 1.0043 0 0.8223 -0.199 3.5531 0.947 -0.1262 1.4768 0
6 22 97 1.0075 0 0.8888 0.139 2.6917 0.9012 -0.0073 1.4845 0
6 23 103 1.0027 0 0.8782 -0.0492 2.6396 0.9499 -0.118 1.4767 0
6 24 97 1.0006 0 0.8301 0.6735 3.5511 0.9842 0.5469 1.4623 0
