cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
8 1 147 1.004 0 0.9466 0.0457 1.6814 0.9089 -0.0901 2.7842 -0.0196 0.3034 0
8 2 152 1.0029 0 0.9701 0.1995 2.7778 0.9095 0.2663 2.2673 -0.023 0.2951 0
8 3 150 1.0024 0 0.9734 -0.2167 1.8363 0.9351 -0.1888 2.5495 -0.0224 0.2785 0
8 4 156 1.007 0 0.9528 0.1184 1.6032 0.9496 0.0204 2.6778 0.0279 0.2741 0
8 5 137 1.0014 0 0.973 0.0039 1.9546 0.9305 0.0371 2.3861 -0.098 0.324 0
8 6 140 1.002 0 0.9732 -0.0953 2.1969 0.9339 -0.086 2.238 -0.102 0.3188 0
8 7 160 1.0018 0 0.9724 -0.0355 1.6349 0.9372 -0.021 2.4805 0.0492 0.2739 0
8 8 137 1.004 0 0.9686 0.0702 1.3607 0.9282 0.0635 2.6591 -0.109 0.3113 0
8 9 175 1.0029 0 0.9762 0.5176 1.6376 0.9379 0.4422 3.2216 0.0811 0.2587 0
8 10 162 1.0059 0 0.9715 -0.1078 2.2919 0.9434 -0.1035 2.5782 0.0619 0.2548 0
8 11 168 1.0038 0 0.9721 -0.035 1.7014 0.9355 0.0264 2.409 0.0938 0.2647 0
8 12 154 1.0047 0 0.9791 -0.2666 1.4789 0.9167 -0.2659 2.4924 0.0249 0.2815 0
8 13 140 1.0042 0 0.9804 -0.1224 1.6747 0.9319 -0.1086 2.4096 -0.0933 0.3224 0
8 14 140 1.0012 0 0.9619 -0.1763 2.3017 0.9212 -0.1876 2.6702 -0.0543 0.3255 0
8 15 161 1.0128 0 0.96 0.12 1.6949 0.9278 0.0756 2.7099 0.0547 0.2688 0
8 16 147 1.0011 0 0.9623 -0.3237 1.9519 0.9385 -0.1703 2.8921 -0.007 0.309 0
8 17 153 1.0057 0 0.9332 0.0536 1.4457 0.9297 0.0475 2.6147 0.0236 0.2992 0
8 18 136 1.0052 0 0.9748 -0.1628 2.283 0.9097 -0.1578 2.4273 -0.1252 0.3178 0
8 19 142 1.0059 0 0.9692 0.2345 1.5947 0.9312 0.1176 2.3957 -0.0869 0.3039 0
8 20 141 1.0027 0 0.9882 0.0717 2.335 0.9105 0.0806 2.1902 -0.0759 0.3279 0
8 21 155 1.0074 0 0.9781 0.0344 1.645 0.9153 -0.0036 2.4997 0.0367 0.2657 0
8 22 144 1.001 0 0.9599 0.0558 1.4788 0.9291 -0.0079 2.6783 -0.0696 0.2976 0
8 23 158 1.0088 0 0.9532 -0.1241 2.2767 0.9196 -0.0336 2.7125 0.028 0.3021 0
8 24 147 1.0069 0 0.966 0.0636 1.6211 0.9321 0.0721 2.4415 -0.0501 0.2789 0
