cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
18 1 1533 1.0063 0 0.6576 -0.0532 2.3158 0.9385 -0.1019 10.7059 0.9791 0.0219 1.6919 1
18 2 1555 1.0036 0 0.8226 0.0132 1.7428 0.9834 -0.1726 7.2128 0.9821 -0.1218 1.9149 1
18 3 1610 1.0052 0 0.916 0.0882 2.312 0.9719 0.4419 6.898 0.9834 0.3021 3.0951 1
18 4 1664 1.3589 66 0.7962 0.1367 4.4539 0.8516 -0.4954 22.5153 0.9516 -0.3162 2.0268 1
18 5 1568 1.005 0 0.7676 0.0193 2.1141 0.9178 -0.3608 12.8211 0.9814 -0.2128 2.0331 1
18 6 1439 1.0059 0 0.638 0.0423 2.0165 0.9747 0.3172 8.995 0.9727 0.3785 2.6474 1
18 7 1632 1.0142 0 0.8829 0.0934 2.2902 0.9812 0.1534 7.8461 0.975 0.1286 3.1284 1
18 8 1596 1.0052 0 0.8875 -0.0674 2.2741 0.9614 0.1713 7.0889 0.9669 0.3077 2.329 1
18 9 1809 1.0023 0 0.6414 -0.0465 2.0146 0.9525 -0.322 8.3593 0.9519 -0.2963 1.9193 1
18 10 1729 1.0052 0 0.6342 -0.0372 1.6226 0.9641 -0.1458 4.9413 0.9699 -0.1535 2.3937 1
18 11 1544 1.01 0 0.595 -0.1291 1.7137 0.9525 0.221 11.2643 0.9773 0.1622 2.3037 1
18 12 1509 1.0093 0 0.6879 -0.0115 1.8002 0.9787 -0.2407 5.1328 0.9791 -0.1428 2.0813 1
18 13 1571 1.0037 0 0.6766 -0.0078 2.0128 0.9482 0.6383 6.4643 0.9673 0.7432 2.9309 1
18 14 1624 1.0087 0 0.8685 -0.0073 1.9565 0.9623 0.5315 7.0772 0.9867 0.2872 2.5924 1
18 15 1545 1.0079 0 0.847 -0.0518 2.2886 0.9596 -0.2151 10.3831 0.9898 -0.3199 2.4864 1
18 16 1490 1.0145 0 0.8736 0.117 2.1094 0.9647 -0.0198 7.7375 0.9811 -0.1014 2.6418 1
18 17 1618 1.0025 0 0.8019 -0.0102 1.8315 0.9739 0.357 6.8885 0.9838 0.4878 2.0618 1
18 18 1487 1.0033 0 0.7182 -0.0442 1.6013 0.9791 0.1791 4.158 0.9873 0.1229 2.1286 1
18 19 1564 1.008 0 0.3068 -0.029 1.742 0.9651 -0.1481 7.3849 0.9657 -0.212 1.9056 1
18 20 1601 1.0076 0 0.6867 -0.0502 2.1975 0.9354 -0.5424 12.668 0.9612 -0.7052 3.0191 1
18 21 1561 1.0057 0 0.6063 0.169 2.2907 0.9458 0.004 5.0531 0.9789 -0.1132 2.5731 1
18 22 1553 1.005 0 0.8722 -0.0229 2.0564 0.9787 -0.2438 5.5443 0.9532 -0.259 2.2525 1
18 23 1542 1.007 0 0.7295 0.0935 2.461 0.9802 0.0112 6.4303 0.9828 0.0247 2.5861 1
18 24 1657 1.0083 0 0.9268 0.0844 2.1502 0.9798 -0.1162 5.7452 0.9676 -0.1004 1.84 1
