cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
10 1 3849 1.0084 0 0.8237 -0.0739 2.1208 0.9845 -0.4396 6.9558 0.9616 -0.2177 2.9477 1
10 2 4233 1.0087 0 0.9715 -0.1224 2.5215 0.9859 0.0722 4.0719 0.9602 -0.0569 2.703 1
10 3 3898 1.0067 0 0.3329 -0.1255 1.9306 0.969 0.7285 18.1889 0.9575 0.2269 2.9527 1
10 4 3782 1.0043 0 0.9686 -0.0133 1.648 0.9872 0.2425 3.5169 0.9601 0.181 3.2869 0
10 5 4068 1.0016 0 0.9919 0.1134 2.7563 0.9805 0.7024 4.1418 0.947 0.7175 3.3067 1
10 6 4451 1.0013 0 0.9577 -0.1076 2.176 0.9903 -0.3512 7.2465 0.9309 -0.6257 4.1232 1
10 7 3478 1.0051 0 0.923 -0.0676 2.1789 0.9949 0.0437 5.9983 0.9242 0.0255 2.7918 1
10 8 3821 1.0061 0 0.8339 0.0604 1.7536 0.9916 -0.3892 3.8767 0.9463 -0.3241 3.7235 0
10 9 3278 1.0041 0 0.3129 -0.0951 2.0188 0.9813 0.7984 9.1802 0.9484 0.7535 3.9107 1
10 10 4217 1.0052 0 0.9813 0.1015 1.9041 0.9944 0.414 3.9031 0.94 0.3269 3.0676 0
10 11 4470 1.0045 0 0.9567 -0.0661 2.5918 0.9959 0.2765 5.3718 0.9639 0.3136 3.591 1
10 12 4201 1.005 0 0.9671 -0.0113 1.7736 0.9942 -0.0153 5.5429 0.9521 -0.0986 3.1502 1
10 13 4083 1.008 0 0.7859 0.049 2.3164 0.9768 0.0013 8.9333 0.9048 -0.3141 3.9378 1
10 14 3801 1.0054 0 0.6807 -0.0286 1.5439 0.9958 0.3694 5.1748 0.9105 0.4189 2.9386 1
10 15 4094 1.0046 0 0.9478 0.0274 1.7621 0.9947 0.1125 6.7701 0.9535 0.0304 2.9757 1
10 16 3677 1.0083 0 0.9601 -0.0295 1.7557 0.9968 0.0677 5.7851 0.9575 0.0355 3.4006 1
10 17 4129 1.0041 0 0.9294 -0.0022 3.8391 0.9174 1.0155 6.2256 0.9548 0.812 4.1872 1
10 18 4404 1.0036 0 0.917 -0.0402 1.9184 0.9957 -0.0624 5.0728 0.9747 -0.1182 3.5213 1
10 19 4328 1.002 0 0.9608 -0.023 2.0874 0.9957 0.1899 4.6772 0.9737 0.0993 4.0664 1
10 20 3984 1.0029 0 0.951 0.0283 2.3316 0.9885 0.2863 5.1293 0.9361 0.3468 2.8982 1
10 21 3679 1.2236 193 0.9822 0.122 2.8135 0.9936 -0.5205 4.1391 0.9288 -0.5713 2.9869 1
10 22 4352 1.0014 0 0.9759 -0.1114 2.0177 0.9973 -0.0217 4.3394 0.9611 -0.1917 3.504 1
10 23 4018 1.0064 0 0.9944 -0.1927 2.0032 0.9946 0.0165 4.74 0.977 -0.0653 3.2364 1
10 24 5550 1.0061 0 0.9076 0.0581 1.6813 0.9978 0.2639 3.5055 0.9753 0.2095 4.0794 1
