cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
20 1 1241 1.0042 0 0.9626 -0.0527 0.613 0.9939 0.0166 1.3361 0.913 -2e-04 2.6351 0.0191 0.1751 0
20 2 1049 1.005 0 0.9158 -0.057 0.5918 0.9932 -0.0687 1.5711 0.9185 0.0012 2.3638 -0.0524 0.1864 0
20 3 1371 1.0043 0 0.958 -0.0421 0.7201 0.9928 -0.052 1.623 0.9046 -0.0936 2.5006 0.0517 0.1764 0
20 4 1079 1.0049 0 0.9311 -0.0458 0.7086 0.9963 -0.0199 1.4035 0.9238 -0.0104 2.3696 -0.0416 0.1889 0
20 5 1770 1.0017 0 0.9587 -0.0885 0.4917 0.9929 0.1567 1.0366 0.9298 0.127 2.8982 0.135 0.1643 0
20 6 1053 1.0064 0 0.8672 -0.1348 0.5353 0.9865 0.0303 3.0503 0.9037 -0.0049 2.5508 -0.0246 0.1965 0
20 7 1093 1.0069 0 0.9431 0.0386 0.5879 0.9946 0.2072 0.9598 0.9238 0.2126 2.4966 -0.0433 0.1852 0
20 8 1563 1.0045 0 0.8562 0.0113 0.5482 0.9948 5e-04 1.4718 0.9221 -0.0366 2.423 0.0505 0.1859 0
20 9 1035 1.0059 0 0.929 -0.0019 0.5957 0.9875 -0.1935 1.0972 0.9098 -0.1772 2.4802 -0.0502 0.186 0
20 10 1271 1.0054 0 0.9528 0.0126 0.6586 0.9899 0.0722 1.5199 0.9167 0.0522 2.7123 0.0512 0.1757 0
20 11 1177 1.0049 0 0.962 -0.0101 0.9064 0.99 0.0085 1.4667 0.9044 0.0255 2.5976 0.0064 0.1958 0
20 12 1322 1.0052 0 0.9517 0.0028 0.5803 0.9928 -0.1663 2.221 0.9107 -0.1089 2.6524 0.0111 0.1924 0
20 13 997 1.0026 0 0.9513 -0.0658 0.5609 0.996 -0.0584 2.2905 0.9132 -0.1112 2.5505 -0.0884 0.1992 0
20 14 1018 1.0025 0 0.9181 0.0138 0.5048 0.9908 0.0438 2.4848 0.9127 -0.0267 2.4843 -0.066 0.1901 0
20 15 1142 1.0067 0 0.9311 -0.0165 0.5758 0.9892 -0.017 1.6862 0.927 -0.0138 2.5395 -0.0061 0.1871 0
20 16 1208 1.0047 0 0.7993 -0.0015 0.581 0.9959 -0.1637 1.7913 0.9187 -0.0843 2.4074 0.0336 0.1822 0
20 17 1290 1.0036 0 0.8958 0.0198 0.6835 0.9924 0.0857 1.386 0.9281 0.1043 2.5489 0.0366 0.1834 0
20 18 1626 1.0054 0 0.8814 0.067 0.5719 0.9959 -0.1115 1.0514 0.9358 -0.0718 2.8382 0.0835 0.1739 0
20 19 1274 1.003 0 0.6141 -0.0378 0.5999 0.9888 -0.0784 4.1483 0.8996 9e-04 2.596 0.0671 0.1743 1
20 20 1107 1.0118 0 0.8831 0.0908 0.6109 0.993 -0.0097 1.167 0.9158 -0.0366 2.4137 0.008 0.1884 0
20 21 1207 1.008 0 0.9045 0.0446 0.5447 0.9852 0.0849 2.9503 0.9145 0.0413 2.5681 0.0259 0.1844 0
20 22 997 1.0064 0 0.8144 -0.0206 0.6182 0.9908 -0.0656 2.2813 0.9186 -0.0888 2.5065 -0.107 0.1955 0
20 23 1011 1.0032 0 0.9149 -0.0539 0.5851 0.9941 -0.105 2.6408 0.8905 -0.1474 2.4307 -0.1136 0.2102 0
20 24 1152 1.0071 0 0.9509 0.0198 0.541 0.9926 0.1699 2.1637 0.8989 0.1831 2.5127 -0.0133 0.1846 0
