cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
11 1 113 1.0079 0 0.6401 0.0586 1.9524 0.9393 0.0019 6.0387 0.8953 -0.036 2.6404 0.1263 0.4803 1
11 2 89 1.0028 0 0.7406 0.0771 1.9358 0.8927 0.2413 12.5669 0.8932 0.174 2.6863 -0.0462 0.6343 1
11 3 135 1.0019 0 -0.5579 0.0948 1.9737 0.9068 0.4056 4.8241 0.8867 0.3082 2.6832 0.1593 0.5073 1
11 4 81 1.0022 0 0.6173 0.0286 2.6724 0.9504 0.0353 15.4387 0.8832 0.0214 3.0035 -0.0707 0.6672 1
11 5 104 1.0036 0 0.0972 -0.1938 2.0682 0.9214 -0.1003 17.4678 0.8079 0.1997 3.3477 -0.1331 0.8569 1
11 6 90 1.004 0 0.2638 0.0764 2.2198 0.9204 0.3101 13.1716 0.8693 0.1222 2.7062 -0.0228 0.6114 1
11 7 127 1.0063 0 -0.0729 -0.0488 1.9376 0.8865 -0.0502 8.6353 0.8479 0.0144 2.7347 0.0672 0.6363 1
11 8 80 1.0052 0 -0.1297 -0.3003 2.2289 0.9723 0.1556 20.5526 0.7893 -0.0374 3.4515 -0.2283 0.9576 1
11 9 100 1.0015 0 0.6566 -0.0508 1.6512 0.8212 0.1476 23.4093 0.9316 0.1338 3.0699 0.0718 0.6037 1
11 10 88 1.0021 0 0.0446 0.3011 2.3226 0.9447 0.1336 5.578 0.9204 0.1306 2.5308 -0.0668 0.5428 1
11 11 80 1.0036 0 0.5995 0.2106 2.0674 0.9648 0.0871 4.4083 0.9285 0.1544 2.4408 -0.1123 0.5951 1
11 12 79 1.0043 0 0.4704 -0.1142 1.741 0.946 -0.5129 8.5328 0.8774 -0.337 2.6836 -0.4087 0.791 1
11 13 164 1.0049 0 -0.0527 -0.1238 2.0872 0.9543 0.3354 4.713 0.9072 0.3667 3.2773 0.2263 0.4416 1
11 14 79 1.0009 0 0.6873 -0.0533 1.957 0.9466 0.1361 9.9373 0.8836 0.1487 2.5694 -0.1652 0.5968 1
11 15 116 1.0052 0 0.0406 -0.1622 1.8354 0.9306 -0.4504 14.0514 0.8657 -0.299 3.2007 0.0732 0.6213 1
11 16 75 1.0044 0 0.7215 -0.0328 2.0516 0.9325 -0.0313 9.233 0.8909 -0.0718 2.5718 -0.2125 0.6517 1
11 17 90 1.0082 0 0.3425 -0.0344 1.7769 0.9332 0.2126 13.2329 0.9187 0.0489 2.5313 0.004 0.5428 1
11 18 134 1.016 0 0.6805 -0.0218 2.1236 0.9185 -0.6697 11.8251 0.8337 -0.6316 3.4273 0.0808 0.7908 1
11 19 76 1.0022 0 0.7267 -0.0135 1.9043 0.9362 0.1105 28.0661 0.8917 -0.238 2.6702 -0.2219 0.6635 1
11 20 119 1.0024 0 0.5313 -0.0941 1.9538 0.9354 0.157 6.9598 0.914 0.0689 3.0268 0.1319 0.4938 1
11 21 76 1.0046 0 0.0149 0.0881 2.2143 0.9139 -0.0289 12.4734 0.8086 -0.0182 2.5483 -0.1948 0.6361 1
11 22 117 1.0068 0 0.5891 -0.058 2.5287 0.9181 0.0186 11.1809 0.8948 -0.1283 2.9199 -0.0643 0.7193 1
11 23 99 1.0042 0 0.8043 -0.1669 1.6081 0.9334 -0.284 12.6158 0.8399 -0.1682 3.0428 0.0243 0.6971 1
11 24 84 1.004 0 0.5506 0.0288 1.7327 0.9548 0.3308 8.3502 0.8038 0.2614 3.0103 -0.1073 0.7986 1
