cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
4 1 168 1.0124 0 0.9627 -0.1676 1.2522 0.9914 -0.0664 2.6917 0.7707 -0.0351 3.9725 0.0333 0.3978 0
4 2 178 1.0032 0 0.3137 -0.1068 0.9402 0.9866 0.1426 2.416 0.75 0.1054 3.5852 -0.0309 0.3384 0
4 3 226 1.0069 0 0.8915 -0.4048 0.8419 0.995 0.1162 3.1894 0.8325 0.0238 4.4217 0.187 0.3079 1
4 4 165 1.0071 0 -0.2899 -0.0277 1.3916 0.9745 -0.2503 3.267 0.6992 -0.1236 3.6885 -0.014 0.3642 1
4 5 192 1.0123 0 0.9366 0.0013 0.9346 0.9956 0.2493 1.3062 0.7643 0.2275 3.5363 0.1003 0.3039 0
4 6 173 1.0038 0 0.4689 -0.0748 0.9628 0.9772 0.3008 1.3299 0.7827 0.2512 3.3249 -0.0901 0.3491 0
4 7 178 1.0016 0 0.9068 0.0274 0.9121 0.9948 -0.002 1.7606 0.7348 -0.0885 3.6331 0.0517 0.3152 0
4 8 190 1.0063 0 -0.2438 -0.2059 0.7392 0.9948 -0.2396 2.9323 0.7604 0.0058 3.7951 0.1481 0.2771 1
4 9 165 1.0031 0 0.9669 -0.1565 0.9957 0.9976 0.067 3.1674 0.7112 0.051 3.7031 -0.0919 0.4016 0
4 10 173 1.0095 0 0.7618 -0.086 0.9924 0.9929 0.01 2.1772 0.6748 0.0741 3.6846 -0.0221 0.374 0
4 11 192 1.0042 0 0.2614 -0.2546 0.8534 0.9917 -0.1629 1.8153 0.7997 -0.2195 3.4202 0.031 0.3059 0
4 12 183 1.0059 0 0.9807 -0.1718 1.0066 0.9944 0.2437 3.7132 0.8082 -0.0179 3.7592 0.0762 0.345 0
4 13 162 1.0056 0 0.7007 0.0894 0.9982 0.9978 -0.0361 2.4223 0.7564 -0.0347 3.6097 -0.0711 0.3126 0
4 14 166 1.0055 0 0.8783 -0.2123 1.0253 0.9923 -0.0899 2.7251 0.6996 -0.0833 3.6503 -0.0546 0.4026 0
4 15 189 1.0036 0 0.9999 -0.0795 0.9157 0.9972 0.0401 2.3471 0.7782 0.2225 3.8674 0.071 0.3106 0
4 16 174 1.0015 0 0.9932 0.1237 1.5707 0.9896 -0.331 2.8783 0.7653 -0.137 3.4804 -0.0548 0.3326 0
4 17 161 1.0269 0 0.9746 -0.0964 1.7697 0.9782 -0.2139 3.5029 0.6329 -0.1998 3.7675 -0.2376 0.6511 0
4 18 197 1.0101 0 0.9773 -0.1398 0.7183 0.9942 -0.0256 1.7907 0.7968 -0.0272 3.6873 0.13 0.2889 0
4 19 178 1.0048 0 -0.6709 -0.1124 0.7449 0.9927 0.099 2.5898 0.7189 0.0402 3.737 0.048 0.3802 1
4 20 182 1.0041 0 0.9972 0.055 1.0353 0.9966 0.0789 1.5479 0.7817 0.1171 3.2632 0.0171 0.2887 0
4 21 163 1.0031 0 -0.9993 0.0587 0.9866 0.9607 0.2166 2.4391 0.6614 -0.0046 3.5938 -0.1378 0.4479 1
4 22 166 1.0041 0 0.5489 -0.0265 0.9532 0.986 -0.0413 2.0085 0.7483 0.0403 3.556 -0.1672 0.4237 0
4 23 172 1.0102 0 0.5537 0.0035 0.973 0.998 -0.0588 1.2628 0.8109 -0.0223 3.3453 -0.0381 0.3784 0
4 24 178 1.0052 0 0.7143 -0.0208 0.8638 0.9672 0.0235 2.0487 0.7094 -0.0526 3.7192 0.079 0.3423 0
