cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
20 1 10232 1.0135 0 0.8932 0.054 2.0452 0.9795 -0.3356 6.5954 0.9689 -0.2874 1.8982 1
20 2 9385 1.007 0 0.5745 -0.097 1.4524 0.9831 -0.0651 8.0052 0.9832 0.0552 2.1904 1
20 3 9101 1.0047 0 0.8852 0.0919 1.7657 0.9887 0.2734 3.9572 0.9759 0.308 2.0579 0
20 4 9682 1.01 0 0.9364 -0.0538 1.8411 0.9852 -0.0761 5.6261 0.966 0.0556 2.0653 1
20 5 10159 1.0057 0 0.7077 -0.099 1.6571 0.9919 0.0526 4.3894 0.9838 0.0123 2.3062 1
20 6 8837 1.0086 0 0.2894 0.0324 1.6657 0.9797 -0.0171 4.7336 0.9582 0.0972 2.4366 1
20 7 10292 1.0108 0 0.8279 -0.0516 1.9373 0.9251 0.119 9.6266 0.9515 0.0591 2.4855 1
20 8 9733 1.006 0 0.8804 -0.0817 1.4947 0.9889 -0.2284 4.2426 0.9733 -0.2994 2.6665 1
20 9 9406 1.0086 0 0.8496 0.0708 1.6453 0.9932 -0.4514 3.5747 0.9899 -0.4815 3.2396 0
20 10 9614 1.0095 0 0.8566 -0.0175 1.7119 0.9866 -0.3824 3.4562 0.9812 -0.3854 2.4733 0
20 11 9310 1.0099 0 0.7822 -0.015 1.6594 0.9939 0.0764 5.116 0.9631 0.0433 2.7791 1
20 12 9372 1.0047 0 0.8786 -0.0252 1.6059 0.9864 0.0442 4.0818 0.9767 -0.0318 3.1839 1
20 13 8947 1.0054 0 0.8147 -0.0784 1.5691 0.9886 0.2868 6.8635 0.9771 0.4076 2.5059 1
20 14 9440 1.008 0 0.9096 0.0513 1.9282 0.9812 -0.2779 5.3328 0.9605 -0.2481 3.0215 1
20 15 9770 1.0103 0 0.8607 -0.1151 1.7326 0.9604 0.433 8.0128 0.9592 0.4756 2.0039 1
20 16 9619 1.0091 0 0.7676 -0.2705 1.6366 0.9944 0.081 7.0922 0.9723 0.037 2.914 1
20 17 10400 1.0035 0 0.9672 -0.0831 2.0013 0.9937 0.2448 4.1322 0.9782 0.2235 2.17 1
20 18 9958 1.0108 0 0.9415 -0.0442 2.6043 0.9833 0.1231 6.0999 0.9652 0.1747 2.0707 1
20 19 9650 1.0059 0 0.7926 0.0064 1.9707 0.9599 -0.7888 6.5503 0.9701 -0.6667 2.3073 1
20 20 9132 1.0075 0 0.5221 0.0187 1.4871 0.9845 -0.0381 4.0859 0.9727 -0.0612 3.4117 1
20 21 9299 1.0123 0 0.922 -0.0853 1.6159 0.9964 0.4228 4.2203 0.9824 0.483 3.2106 1
20 22 9152 1.007 0 0.6245 0.0299 1.9094 0.949 -0.1464 8.2134 0.9596 -0.0611 1.8245 1
20 23 9216 1.0142 0 0.9441 -0.0594 1.7292 0.9934 0.1543 3.5247 0.9716 0.0974 2.0565 0
20 24 11816 1.0132 0 0.929 -0.0092 2.5327 0.9757 -0.3955 6.8342 0.9735 -0.3038 3.2999 1
