cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
10 1 499 1.0025 0 0.3972 -0.009 0.5525 0.9953 0.0018 1.4461 0.8352 -0.0201 2.9977 -0.0888 0.2335 0
10 2 606 1.0063 0 0.9793 -0.0038 0.7766 0.9894 0.0833 2.0904 0.8513 0.0789 3.1816 0.0376 0.2033 0
10 3 554 1.0055 0 0.8708 0.0379 0.6763 0.9905 -0.0164 1.0834 0.8515 0.0204 2.9803 0.0345 0.2034 0
10 4 537 1.0062 0 0.9764 -0.0837 0.595 0.9948 0.0938 1.6031 0.841 -0.0013 3.1409 0.0622 0.2138 0
10 5 555 1.0048 0 0.6691 -0.054 0.5516 0.9904 -0.014 1.7206 0.8302 -0.0529 3.4041 0.0989 0.2138 0
10 6 511 1.0083 0 0.9927 0.0265 0.8221 0.9979 0.0513 1.5406 0.8777 0.0128 2.8509 -0.076 0.2076 0
10 7 502 1.0023 0 0.9607 -0.0358 0.5958 0.9906 -0.0959 1.6943 0.8213 -0.1189 3.2448 0.017 0.2181 0
10 8 496 1.0054 0 0.8729 0.006 0.7027 0.9872 0.1343 1.3945 0.848 0.1364 3.1688 -0.0336 0.2298 0
10 9 503 1.0017 0 -0.4764 0.0116 0.5119 0.9909 0.0517 1.7401 0.7919 0.1159 3.3598 0.0223 0.2405 1
10 10 752 1.0034 0 0.9809 0.0346 0.6864 0.9952 -0.0321 1.1941 0.8795 -0.0242 3.1478 0.0932 0.193 0
10 11 522 1.0035 0 0.9624 0.0426 0.7068 0.9941 0.1005 1.3804 0.8598 0.1826 2.8806 -0.0212 0.2107 0
10 12 491 1.0024 0 0.8971 0.0636 0.6458 0.9886 -0.1454 1.5304 0.8365 -0.1902 3.1183 -0.0551 0.2299 0
10 13 491 1.0034 0 0.8823 -0.0251 0.7265 0.9952 0.2014 1.6481 0.8337 0.1152 3.1256 0.0107 0.2419 0
10 14 540 1.0047 0 0.9572 -0.0491 0.7825 0.9871 0.0091 2.5999 0.8691 0.0356 2.9358 0.0287 0.2136 0
10 15 506 1.0015 0 0.9108 0.0859 0.6975 0.9905 0.0128 1.195 0.884 -0.0496 2.7896 -0.0399 0.1891 0
10 16 502 1.0039 0 0.8683 0.0425 0.5653 0.9975 0.0235 1.4984 0.8226 0.0068 2.9668 -0.0098 0.2358 0
10 17 520 1.0036 0 0.8164 0.0798 0.5728 0.9934 -0.0755 1.3653 0.8513 -0.0321 2.9064 -0.0378 0.2383 0
10 18 539 1.0032 0 0.9723 -0.1256 0.6725 0.9938 -0.0946 2.2571 0.8453 -0.0372 3.1184 0.0078 0.2252 0
10 19 518 1.0057 0 0.7957 -0.1693 0.5785 0.996 -0.1222 1.0952 0.8719 -0.1411 2.7715 -0.0177 0.2182 0
10 20 503 1.0036 0 0.9316 0.0418 0.6581 0.991 -0.0831 1.2152 0.8494 -0.0115 2.6857 -0.0933 0.2238 0
10 21 539 1.0075 0 0.792 0.0209 0.6271 0.9907 0.1355 1.763 0.8409 0.0368 3.1277 0.0252 0.2265 0
10 22 576 1.0074 0 0.7935 -0.0041 0.6043 0.996 -0.1152 1.6688 0.8671 -0.068 2.7998 2e-04 0.2146 0
10 23 497 1.004 0 0.2255 0.0418 0.5663 0.9957 0.0396 1.4621 0.8407 0.0205 3.0317 -0.0135 0.2197 0
10 24 498 1.0042 0 0.9351 0.0274 0.8265 0.9888 0.095 2.1185 0.838 0.0668 2.9486 -0.0613 0.2306 0
