cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
8 1 181 1.0045 0 0.7709 0.0161 0.9831 0.9867 -0.1475 4.0441 0.8211 -0.2486 2.9877 -0.0417 0.3996 1
8 2 260 1.01 0 0.8587 0.036 1.1562 0.9726 -0.2145 2.434 0.8221 -0.2186 3.3633 0.0897 0.4104 0
8 3 187 1.0071 0 0.6747 0.1334 1.1642 0.9647 0.1394 2.0249 0.8908 0.1236 2.8542 -0.0749 0.3529 0
8 4 198 1.0037 0 0.7836 -0.0098 1.0969 0.9649 -0.3144 3.9757 0.8249 -0.2228 3.1887 0.0633 0.3862 0
8 5 205 1.0046 0 0.6759 -0.0337 1.04 0.988 0.2074 3.9989 0.8286 0.1546 2.9649 -0.0131 0.3543 0
8 6 174 1.0027 0 0.7263 0.1242 1.03 0.9788 -0.0787 3.6622 0.8356 -0.0671 2.9341 -0.1179 0.351 0
8 7 190 1.0051 0 0.8199 0.1015 1.1291 0.9608 0.0376 2.6333 0.8673 0.0264 2.7482 -0.0537 0.3463 0
8 8 184 1.0045 0 0.9165 -0.1185 1.2547 0.9923 -0.2239 3.1196 0.8607 -0.1676 3.1016 -0.0769 0.4209 0
8 9 197 1.0047 0 0.9442 0.197 1.2442 0.9754 0.0067 3.7516 0.8508 0.0382 3.0887 0.0228 0.3461 0
8 10 208 1.0043 0 0.9831 -0.0881 1.0167 0.9862 -0.1668 2.378 0.8889 -0.1523 2.8121 0.0892 0.2798 0
8 11 204 1.004 0 0.7835 -0.1198 0.8791 0.9838 -0.291 5.5816 0.8272 -0.2062 3.658 0.1503 0.3218 1
8 12 191 1.0028 0 0.8031 -0.1044 1.0452 0.9283 -0.2566 8.8088 0.8085 -0.1448 3.3409 0.0532 0.3324 1
8 13 185 1.0015 0 0.7688 0.137 1.0905 0.9861 -0.2519 2.8235 0.8548 -0.3244 2.7385 -0.0781 0.3173 0
8 14 197 1.0026 0 0.6248 -0.069 0.9504 0.9828 -0.1818 2.5403 0.8447 -0.1333 3.2126 0.0319 0.3476 0
8 15 199 1.0035 0 0.677 -0.0726 1.065 0.9865 0.0102 2.9431 0.8457 -0.0448 3.0845 0.0868 0.3282 0
8 16 170 1.0024 0 0.7775 -0.1125 1.2468 0.9045 0.7871 21.9089 0.8056 0.1673 3.2902 -0.0875 0.4535 1
8 17 215 1.0087 0 0.9203 0.0135 0.8658 0.9856 -0.2496 1.929 0.8525 -0.2681 3.118 0.0494 0.3891 0
8 18 178 1.003 0 0.3907 0.0045 0.9624 0.9828 -0.0697 4.2895 0.8041 -0.1356 2.9903 -0.11 0.3711 1
8 19 179 1.0017 0 0.5732 0.0432 1.1178 0.9589 0.3161 8.9322 0.7697 0.0437 3.1216 -0.1494 0.4593 1
8 20 178 1.0038 0 0.5392 -0.1227 1.1124 0.979 0.0227 4.1767 0.7838 0.011 3.261 -0.0692 0.458 1
8 21 182 1.0082 0 0.8096 0.0814 1.4464 0.9918 0.0018 3.4012 0.8625 -0.0915 2.7231 -0.0508 0.3301 0
8 22 185 1.0018 0 0.3191 0.1348 1.0863 0.9797 -0.1457 3.9309 0.8502 -0.0643 2.9751 -0.095 0.3773 0
8 23 214 1.0052 0 0.8721 0.035 1.0098 0.9764 -0.1933 2.8532 0.875 -0.2031 3.2583 0.0645 0.3706 0
8 24 179 1.0045 0 0.9625 0.0583 1.084 0.9846 0.0046 2.5139 0.8303 0.026 2.883 -0.0598 0.3331 0
