cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
7 1 270 1.0027 0 0.9322 -0.2589 1.7765 0.987 -0.2144 1.3773 0
7 2 268 1.0023 0 0.9231 0.4247 2.8776 0.9638 0.3557 1.9695 0
7 3 248 1.0042 0 0.9311 0.1503 2.65 0.961 0.1153 1.507 0
7 4 245 1.0018 0 0.898 0.0146 3.0496 0.9323 0.0222 1.4531 0
7 5 252 1.0011 0 0.9181 -0.0767 2.5777 0.9614 -0.0958 1.5752 0
7 6 280 1.0067 0 0.9411 0.6584 2.1455 0.9729 0.5776 1.6789 0
7 7 256 1.0009 0 0.9573 0.2276 2.5345 0.9569 0.2755 1.4036 0
7 8 226 1.0031 0 0.9356 -0.1341 2.785 0.9819 -0.1423 1.5322 0
7 9 247 1.0122 0 0.9174 -0.1883 2.7014 0.9777 -0.1684 1.3968 0
7 10 249 1.0057 0 0.9384 -0.3163 3.1573 0.9841 -0.2256 1.4798 0
7 11 224 1.0074 0 0.8629 -0.7063 3.5473 0.9913 -0.4807 2.0279 0
7 12 238 1.0029 0 0.882 0.1624 3.125 0.9449 0.032 1.3719 0
7 13 252 1.0041 0 0.878 -0.2212 2.998 0.9903 -0.0322 1.4698 0
7 14 231 1.0061 0 0.8952 -0.4295 2.9771 0.9457 -0.3354 1.3138 0
7 15 221 1.0061 0 0.8788 0.3166 3.0373 0.9492 0.4297 1.1262 0
7 16 265 1.0011 0 0.9636 0.0462 2.3737 0.9763 0.0716 1.5274 0
7 17 285 1.0041 0 0.9629 0.5292 2.0045 0.9877 0.4792 1.6502 0
7 18 271 1.005 0 0.8945 -0.1069 3.0266 0.953 -0.1536 1.7878 0
7 19 270 1.0039 0 0.9575 0.5865 2.1287 0.9888 0.4886 1.7309 0
7 20 255 1.0075 0 0.8919 0.1311 3.1765 0.9699 0.2442 1.5955 0
7 21 261 1.0063 0 0.8787 -0.2372 2.6688 0.9637 -0.2512 1.6475 0
7 22 263 1.0027 0 0.9085 -0.1064 2.6906 0.9702 -0.093 1.7531 0
7 23 251 1.0086 0 0.9065 0.0143 3.2458 0.9814 -0.0445 1.4135 0
7 24 208 1.0045 0 0.8802 -1.3502 3.4137 0.9401 -1.3219 3.6277 0
